"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"86841","26-01-26 07:40","Australia","A-League","2025/2026","Melbourne Victory","Sydney FC","2.34","3.68","3.02","1.02","13.70","1.20","4.56","1.71","2.21","2.65","1.49","4.87","1.18","1.59","2.36"
"85180","25-01-26 09:00","Australia","A-League","2025/2026","WS Wanderers","Perth Glory","2.03","4.00","3.49","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","1.64","2.26"
"84240","24-01-26 09:35","Australia","A-League","2025/2026","Macarthur FC","Melbourne City","3.28","3.33","2.35","1.06","9.57","1.28","3.72","1.96","1.90","3.12","1.37","6.18","1.12","1.67","2.21"
"84239","24-01-26 07:00","Australia","A-League","2025/2026","Brisbane Roar","Adelaide United","2.00","3.85","3.69","1.02","13.70","1.23","4.21","1.78","2.10","2.82","1.43","5.36","1.16","1.64","2.26"
"84238","24-01-26 05:00","Australia","A-League","2025/2026","Auckland FC","Central Coast Mariners","1.34","6.01","8.46","1.01","15.50","1.19","4.74","1.57","2.42","2.38","1.58","4.34","1.22","1.94","1.86"
"83913","23-01-26 09:35","Australia","A-League","2025/2026","Newcastle Jets","Wellington Phoenix","1.66","4.89","4.44","1.01","25.00","1.10","7.00","1.32","3.40","1.86","2.00","2.78","1.45","1.38","3.04"
"79671","18-01-26 07:00","Australia","A-League","2025/2026","Sydney FC","Wellington Phoenix","1.60","4.57","5.35","1.03","17.00","1.16","5.26","1.53","2.50","2.29","1.63","4.06","1.24","1.59","2.36"
"79670","18-01-26 04:00","Australia","A-League","2025/2026","Central Coast Mariners","Macarthur FC","4.47","3.73","1.86","1.04","11.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.70","2.14"
"79582","17-01-26 09:35","Australia","A-League","2025/2026","Adelaide United","Melbourne Victory","3.36","3.91","2.09","1.01","16.00","1.18","4.79","1.55","2.45","2.36","1.59","4.03","1.25","1.51","2.55"
"79581","17-01-26 07:00","Australia","A-League","2025/2026","WS Wanderers","Newcastle Jets","2.34","4.08","2.80","1.02","20.00","1.11","6.50","1.39","3.00","2.08","1.80","3.13","1.37","1.38","3.04"
"79564","16-01-26 11:45","Australia","A-League","2025/2026","Perth Glory","Brisbane Roar","2.02","3.78","3.69","1.03","11.70","1.28","3.72","1.84","2.03","3.12","1.37","5.76","1.14","1.70","2.14"
"79563","16-01-26 09:35","Australia","A-League","2025/2026","Melbourne City","Auckland FC","2.68","3.26","2.86","1.07","8.51","1.35","3.19","2.16","1.74","4.03","1.25","7.93","1.08","1.89","1.92"
"79010","11-01-26 07:00","Australia","A-League","2025/2026","Melbourne City","Newcastle Jets","1.77","4.56","4.05","1.02","20.00","1.13","6.00","1.45","2.75","2.19","1.73","3.53","1.30","1.48","2.68"
"79009","11-01-26 03:00","Australia","A-League","2025/2026","Wellington Phoenix","Adelaide United","2.78","4.02","2.37","1.03","17.00","1.16","5.26","1.49","2.63","2.20","1.68","3.77","1.27","1.57","2.41"
"77834","10-01-26 11:45","Australia","A-League","2025/2026","Perth Glory","Central Coast Mariners","1.74","4.11","4.65","1.02","13.70","1.23","4.21","1.78","2.10","2.98","1.39","5.36","1.16","1.74","2.09"
"77833","10-01-26 09:35","Australia","A-League","2025/2026","Macarthur FC","Sydney FC","2.88","3.70","2.42","1.01","14.60","1.19","4.74","1.61","2.32","2.47","1.54","4.34","1.22","1.58","2.37"
"77832","10-01-26 07:00","Australia","A-League","2025/2026","Melbourne Victory","WS Wanderers","2.08","3.91","3.40","1.03","17.00","1.16","5.32","1.48","2.66","2.18","1.69","3.73","1.28","1.48","2.66"
"76524","09-01-26 09:35","Australia","A-League","2025/2026","Brisbane Roar","Auckland FC","4.10","3.50","1.99","1.06","9.57","1.32","3.41","2.16","1.74","3.73","1.28","7.30","1.09","1.89","1.92"
"75798","06-01-26 09:00","Australia","A-League","2025/2026","Melbourne City","Brisbane Roar","1.77","3.84","4.87","1.05","10.50","1.28","3.68","1.86","2.01","3.15","1.36","6.24","1.12","1.81","2.00"
