"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"72362","31-05-25 11:40","Australia","A-League","2024/2025","Melbourne City","Melbourne Victory","1.95","3.51","3.91","1.04","11.50","1.26","3.91","1.88","1.99","3.01","1.39","5.87","1.14","1.67","2.21"
"72363","24-05-25 11:35","Australia","A-League","2024/2025","Melbourne City","Western United","1.82","4.03","3.92","1.01","16.50","1.16","5.32","1.48","2.66","2.18","1.69","3.73","1.28","1.53","2.53"
"72364","24-05-25 08:00","Australia","A-League","2024/2025","Auckland FC","Melbourne Victory","1.93","3.65","3.85","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.24"
"72365","17-05-25 11:35","Australia","A-League","2024/2025","Melbourne Victory","Auckland FC","2.53","3.29","2.83","1.04","11.50","1.26","3.91","1.88","1.99","3.18","1.36","6.30","1.12","1.68","2.18"
"72366","16-05-25 11:35","Australia","A-League","2024/2025","Western United","Melbourne City","3.34","3.61","2.10","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.60","2.34"
"72367","10-05-25 11:35","Australia","A-League","2024/2025","WS Wanderers","Melbourne Victory","2.19","3.76","3.03","1.02","22.00","1.12","6.25","1.42","2.86","2.10","1.78","3.39","1.32","1.41","2.94"
"72368","09-05-25 11:35","Australia","A-League","2024/2025","Western United","Adelaide United","2.07","3.72","3.32","1.02","20.00","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.41","2.94"
"72369","04-05-25 09:00","Australia","A-League","2024/2025","Melbourne Victory","Newcastle Jets","1.55","4.81","5.01","1.01","26.00","1.07","8.51","1.25","3.99","1.66","2.23","2.45","1.55","1.36","3.17"
"72370","04-05-25 07:00","Australia","A-League","2024/2025","Wellington Phoenix","Perth Glory","2.12","3.96","3.05","1.02","20.00","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.41","2.94"
"72371","03-05-25 11:35","Australia","A-League","2024/2025","Macarthur FC","WS Wanderers","3.58","4.39","1.83","1.01","26.00","1.06","9.00","1.27","3.75","1.67","2.20","2.59","1.50","1.30","3.58"
