"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"75080","07-12-25 20:00","Brazil","Serie A Betano","2025","Atletico-MG","Vasco","1.56","4.31","6.36","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.81","2.00"
"75081","07-12-25 20:00","Brazil","Serie A Betano","2025","Botafogo RJ","Fortaleza","1.81","4.03","4.34","1.02","15.00","1.23","4.33","1.69","2.20","2.63","1.50","4.68","1.20","1.65","2.25"
"75082","07-12-25 20:00","Brazil","Serie A Betano","2025","Ceara","Palmeiras","2.11","3.50","3.67","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.90","1.90"
"75083","07-12-25 20:00","Brazil","Serie A Betano","2025","Corinthians","Juventude","1.80","3.46","5.36","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","2.04","1.78"
"75084","07-12-25 20:00","Brazil","Serie A Betano","2025","Fluminense","Bahia","1.80","3.57","5.10","1.06","10.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.83","1.98"
"75085","07-12-25 20:00","Brazil","Serie A Betano","2025","Internacional","Bragantino","1.66","3.99","5.61","1.03","13.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.83","1.98"
"75086","07-12-25 20:00","Brazil","Serie A Betano","2025","Santos","Cruzeiro","1.41","4.86","8.69","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","2.14","1.71"
"75087","07-12-25 20:00","Brazil","Serie A Betano","2025","Sport Recife","Gremio","3.88","3.68","1.99","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.65","2.25"
"75088","07-12-25 20:00","Brazil","Serie A Betano","2025","Vitoria","Sao Paulo","2.49","3.27","3.09","1.07","9.00","1.36","3.20","2.21","1.73","3.71","1.29","7.24","1.10","1.83","1.98"
"75012","06-12-25 22:30","Brazil","Serie A Betano","2025","Mirassol","Flamengo RJ","1.38","5.31","8.44","1.02","15.00","1.21","4.50","1.69","2.20","2.63","1.50","4.68","1.20","1.89","1.92"
"74984","04-12-25 23:30","Brazil","Serie A Betano","2025","Cruzeiro","Botafogo RJ","1.78","3.66","5.09","1.06","9.57","1.33","3.41","2.09","1.81","3.82","1.28","7.62","1.09","1.94","1.86"
"74985","04-12-25 01:30","Brazil","Serie A Betano","2025","Atletico-MG","Palmeiras","3.96","3.15","2.17","1.08","8.42","1.34","3.37","2.21","1.73","3.85","1.27","7.69","1.09","1.81","2.00"
"74986","04-12-25 01:30","Brazil","Serie A Betano","2025","Flamengo RJ","Ceara","1.24","6.69","13.50","1.02","15.00","1.21","4.50","1.63","2.30","2.63","1.50","4.68","1.20","2.14","1.71"
"74987","04-12-25 00:00","Brazil","Serie A Betano","2025","Bahia","Sport Recife","1.23","7.28","12.80","1.01","16.50","1.13","6.32","1.37","3.16","2.01","1.88","3.21","1.36","1.93","1.87"
"74988","04-12-25 00:00","Brazil","Serie A Betano","2025","Sao Paulo","Internacional","2.54","3.17","3.12","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.81","2.00"
"74968","03-12-25 23:30","Brazil","Serie A Betano","2025","Juventude","Santos","5.94","4.00","1.63","1.04","11.60","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.81","2.00"
"74969","03-12-25 23:00","Brazil","Serie A Betano","2025","Bragantino","Vitoria","1.89","3.54","4.57","1.07","9.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.94","1.86"
"74970","03-12-25 23:00","Brazil","Serie A Betano","2025","Fortaleza","Corinthians","1.96","3.38","4.44","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.94","1.86"
"74971","03-12-25 01:30","Brazil","Serie A Betano","2025","Gremio","Fluminense","3.19","3.13","2.52","1.10","7.45","1.42","2.93","2.30","1.63","4.41","1.22","8.94","1.07","1.89","1.92"
"74951","02-12-25 23:00","Brazil","Serie A Betano","2025","Vasco","Mirassol","2.15","3.49","3.58","1.06","10.00","1.31","3.50","2.10","1.80","3.60","1.30","6.80","1.11","1.74","2.09"
"74892","30-11-25 22:30","Brazil","Serie A Betano","2025","Fortaleza","Atletico-MG","2.38","3.33","3.22","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.74","2.09"
"74893","30-11-25 20:00","Brazil","Serie A Betano","2025","Corinthians","Botafogo RJ","2.23","3.35","3.53","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.98","1.83"
"74894","30-11-25 01:00","Brazil","Serie A Betano","2025","Ceara","Cruzeiro","2.81","3.26","2.72","1.10","7.00","1.50","2.63","2.53","1.54","4.68","1.20","10.60","1.05","2.00","1.82"
"74801","29-11-25 20:00","Brazil","Serie A Betano","2025","Vitoria","Mirassol","2.55","3.37","2.92","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.89","1.92"
"74802","29-11-25 01:30","Brazil","Serie A Betano","2025","Santos","Sport Recife","1.34","5.85","8.57","1.01","17.50","1.16","5.50","1.46","2.75","2.21","1.73","3.60","1.30","1.67","2.21"
"74783","28-11-25 23:30","Brazil","Serie A Betano","2025","Vasco","Internacional","2.50","3.17","3.17","1.08","8.42","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","1.74","2.09"
"74784","28-11-25 23:00","Brazil","Serie A Betano","2025","Juventude","Bahia","3.58","3.37","2.21","1.05","10.50","1.29","3.68","2.01","1.88","3.21","1.36","6.48","1.12","1.86","1.94"
"74785","28-11-25 00:30","Brazil","Serie A Betano","2025","Fluminense","Sao Paulo","1.57","4.03","6.89","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","2.14","1.71"
"74762","26-11-25 23:00","Brazil","Serie A Betano","2025","Bragantino","Fortaleza","1.88","3.83","4.21","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.67","2.21"
"74763","26-11-25 01:30","Brazil","Serie A Betano","2025","Atletico-MG","Flamengo RJ","4.21","3.28","2.05","1.10","7.37","1.46","2.77","2.41","1.58","5.01","1.18","10.10","1.06","2.05","1.78"
"74764","26-11-25 01:30","Brazil","Serie A Betano","2025","Gremio","Palmeiras","2.46","3.23","3.18","1.09","8.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"74740","25-11-25 01:00","Brazil","Serie A Betano","2025","Internacional","Santos","1.97","3.41","4.34","1.06","9.47","1.34","3.37","2.21","1.73","3.85","1.27","7.69","1.09","1.89","1.92"
"74728","24-11-25 23:00","Brazil","Serie A Betano","2025","Mirassol","Ceara","1.81","3.69","4.85","1.08","8.42","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","1.89","1.92"
"74729","24-11-25 00:30","Brazil","Serie A Betano","2025","Cruzeiro","Corinthians","1.71","3.84","5.38","1.07","9.00","1.36","3.20","2.21","1.73","3.71","1.29","8.08","1.09","1.94","1.86"
"74678","23-11-25 22:30","Brazil","Serie A Betano","2025","Sport Recife","Vitoria","3.54","3.34","2.23","1.07","9.00","1.33","3.40","2.10","1.80","3.60","1.30","7.24","1.10","1.83","1.98"
"74679","23-11-25 20:00","Brazil","Serie A Betano","2025","Bahia","Vasco","1.75","3.92","4.91","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.78","2.04"
"74680","23-11-25 20:00","Brazil","Serie A Betano","2025","Sao Paulo","Juventude","1.75","3.52","5.67","1.07","9.00","1.33","3.40","2.21","1.73","3.71","1.29","7.24","1.10","1.94","1.86"
"74681","23-11-25 01:30","Brazil","Serie A Betano","2025","Flamengo RJ","Bragantino","1.36","5.54","8.88","1.03","13.00","1.23","4.33","1.69","2.20","2.82","1.45","5.26","1.17","1.94","1.86"
"74682","23-11-25 01:30","Brazil","Serie A Betano","2025","Palmeiras","Fluminense","1.58","3.86","7.21","1.08","8.42","1.34","3.37","2.21","1.73","3.85","1.27","7.69","1.09","2.14","1.71"
"74587","22-11-25 23:30","Brazil","Serie A Betano","2025","Botafogo RJ","Gremio","1.68","3.84","5.67","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.74","2.09"
"74569","21-11-25 01:30","Brazil","Serie A Betano","2025","Ceara","Internacional","2.20","3.28","3.68","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.89","1.92"
"74561","20-11-25 23:30","Brazil","Serie A Betano","2025","Corinthians","Sao Paulo","2.53","2.86","3.50","1.17","5.32","1.71","2.23","3.18","1.37","6.42","1.12","13.20","1.03","2.31","1.62"
"74562","20-11-25 22:00","Brazil","Serie A Betano","2025","Bahia","Fortaleza","1.59","4.44","5.61","1.02","15.00","1.21","4.50","1.63","2.30","2.63","1.50","4.68","1.20","1.70","2.14"
