"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"23088","08-12-24 20:00","Brazil","Serie A Betano","2024","Atletico-MG","Athletico-PR","2.06","3.17","4.24","1.09","7.00","1.50","2.63","2.53","1.54","4.68","1.20","10.60","1.05","2.06","1.76"
"23089","08-12-24 20:00","Brazil","Serie A Betano","2024","Bahia","Atletico GO","1.46","4.85","6.90","1.03","13.80","1.21","4.50","1.63","2.30","2.63","1.50","4.68","1.20","1.83","1.98"
"23090","08-12-24 20:00","Brazil","Serie A Betano","2024","Botafogo RJ","Sao Paulo","1.30","5.22","13.10","1.05","9.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","2.33","1.61"
"23091","08-12-24 20:00","Brazil","Serie A Betano","2024","Bragantino","Criciuma","1.42","4.85","7.94","1.03","11.50","1.21","4.54","1.74","2.20","2.70","1.48","5.03","1.18","1.94","1.86"
"23092","08-12-24 20:00","Brazil","Serie A Betano","2024","Cuiaba","Vasco","3.63","3.23","2.22","1.06","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.98","1.83"
"23093","08-12-24 20:00","Brazil","Serie A Betano","2024","Flamengo RJ","Vitoria","1.40","5.11","7.89","1.03","13.80","1.21","4.50","1.60","2.38","2.53","1.54","4.37","1.22","1.83","1.98"
"23094","08-12-24 20:00","Brazil","Serie A Betano","2024","Fortaleza","Internacional","2.62","3.23","2.90","1.05","9.00","1.36","3.20","2.21","1.73","3.71","1.29","8.08","1.09","1.76","2.06"
"23095","08-12-24 20:00","Brazil","Serie A Betano","2024","Gremio","Corinthians","2.77","3.46","2.58","1.02","12.40","1.27","3.83","1.97","1.91","3.14","1.37","6.08","1.14","1.74","2.10"
"23096","08-12-24 20:00","Brazil","Serie A Betano","2024","Juventude","Cruzeiro","2.14","3.46","3.57","1.03","11.00","1.31","3.50","2.10","1.80","3.37","1.34","6.80","1.11","1.78","2.04"
"23097","08-12-24 20:00","Brazil","Serie A Betano","2024","Palmeiras","Fluminense","1.51","4.39","6.85","1.03","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.90","1.90"
"23098","06-12-24 00:00","Brazil","Serie A Betano","2024","Athletico-PR","Bragantino","2.14","3.26","3.82","1.06","8.42","1.37","3.16","2.21","1.73","3.85","1.27","7.69","1.09","1.90","1.90"
