"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"85220","25-01-26 20:45","France","Ligue 1","2025/2026","Lille","Strasbourg","2.46","3.28","3.13","1.06","9.47","1.30","3.58","2.11","1.80","3.53","1.31","6.90","1.11","1.74","2.09"
"85208","25-01-26 17:15","France","Ligue 1","2025/2026","Brest","Toulouse","3.01","3.01","2.73","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.90","1.90"
"85209","25-01-26 17:15","France","Ligue 1","2025/2026","Metz","Lyon","5.73","3.84","1.68","1.06","10.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.76","2.06"
"85210","25-01-26 17:15","France","Ligue 1","2025/2026","Paris FC","Angers","1.92","3.33","4.79","1.09","8.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"85194","25-01-26 15:00","France","Ligue 1","2025/2026","Nantes","Nice","2.76","3.38","2.69","1.05","11.00","1.26","4.00","1.97","1.91","3.18","1.37","6.32","1.13","1.70","2.15"
"84324","24-01-26 21:05","France","Ligue 1","2025/2026","Marseille","Lens","2.04","3.90","3.51","1.02","18.50","1.20","4.76","1.60","2.38","2.46","1.56","4.26","1.23","1.50","2.61"
"84314","24-01-26 19:00","France","Ligue 1","2025/2026","Le Havre","Monaco","4.12","4.02","1.86","1.02","17.50","1.18","5.00","1.60","2.38","2.44","1.57","4.37","1.22","1.62","2.31"
"84304","24-01-26 17:00","France","Ligue 1","2025/2026","Rennes","Lorient","1.86","3.76","4.40","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.72","2.12"
"83917","23-01-26 20:00","France","Ligue 1","2025/2026","Auxerre","PSG","8.66","5.09","1.39","1.02","15.80","1.20","4.74","1.58","2.42","2.41","1.58","4.45","1.22","1.83","1.98"
"79704","18-01-26 20:45","France","Ligue 1","2025/2026","Lyon","Brest","1.66","3.96","5.67","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.83","1.98"
