"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"15300","17-05-25 21:00","France","Ligue 1","2024/2025","Lens","Monaco","2.70","3.91","2.47","1.01","22.00","1.14","6.00","1.41","3.00","2.13","1.80","3.43","1.34","1.38","3.04"
"15301","17-05-25 21:00","France","Ligue 1","2024/2025","Lille","Reims","1.40","4.86","9.21","1.05","11.00","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","2.04","1.78"
"15302","17-05-25 21:00","France","Ligue 1","2024/2025","Lyon","Angers","1.18","8.68","14.10","1.01","29.00","1.08","9.00","1.26","4.00","1.70","2.20","2.47","1.57","1.68","2.18"
"15303","17-05-25 21:00","France","Ligue 1","2024/2025","Marseille","Rennes","1.61","4.52","5.33","1.01","22.00","1.15","5.84","1.48","2.75","2.14","1.79","3.40","1.34","1.55","2.45"
"15304","17-05-25 21:00","France","Ligue 1","2024/2025","Nantes","Montpellier","1.59","4.45","5.64","1.05","11.00","1.29","3.75","1.90","2.00","3.24","1.37","6.00","1.14","1.98","1.83"
"15305","17-05-25 21:00","France","Ligue 1","2024/2025","Nice","Brest","1.54","4.61","6.14","1.01","20.00","1.16","5.50","1.48","2.75","2.24","1.73","3.79","1.29","1.62","2.31"
"15306","17-05-25 21:00","France","Ligue 1","2024/2025","PSG","Auxerre","1.14","10.00","20.00","1.01","29.00","1.08","8.84","1.24","4.24","1.59","2.43","2.30","1.65","1.83","1.98"
"15307","17-05-25 21:00","France","Ligue 1","2024/2025","St Etienne","Toulouse","2.37","3.91","2.83","1.02","17.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.52","2.54"
"15308","17-05-25 21:00","France","Ligue 1","2024/2025","Strasbourg","Le Havre","1.57","5.10","5.10","1.02","25.00","1.14","6.00","1.41","3.00","2.13","1.80","3.24","1.37","1.52","2.54"
"15309","10-05-25 21:00","France","Ligue 1","2024/2025","Angers","Strasbourg","4.43","3.83","1.84","1.05","11.00","1.29","3.75","1.90","2.00","3.24","1.37","6.00","1.14","1.72","2.12"
"15310","10-05-25 21:00","France","Ligue 1","2024/2025","Auxerre","Nantes","2.83","3.39","2.62","1.06","10.00","1.32","3.50","2.13","1.80","3.43","1.34","7.06","1.11","1.78","2.04"
"15311","10-05-25 21:00","France","Ligue 1","2024/2025","Brest","Lille","4.68","4.16","1.74","1.04","13.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.65","2.24"
"15312","10-05-25 21:00","France","Ligue 1","2024/2025","Le Havre","Marseille","5.71","4.67","1.56","1.03","15.00","1.22","4.50","1.65","2.30","2.66","1.50","4.80","1.20","1.78","2.04"
"15313","10-05-25 21:00","France","Ligue 1","2024/2025","Monaco","Lyon","1.86","4.31","3.86","1.01","26.00","1.13","6.32","1.42","2.98","1.98","1.92","3.13","1.38","1.38","3.04"
