"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"85213","25-01-26 17:30","Germany","Bundesliga","2025/2026","Freiburg","FC Koln","2.05","3.79","3.58","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.60","2.34"
"85200","25-01-26 15:30","Germany","Bundesliga","2025/2026","B. Monchengladbach","Stuttgart","2.94","3.78","2.35","1.02","16.00","1.17","5.26","1.54","2.50","2.32","1.63","4.16","1.24","1.49","2.64"
"84309","24-01-26 18:30","Germany","Bundesliga","2025/2026","Union Berlin","Dortmund","3.47","3.36","2.25","1.06","9.57","1.30","3.62","2.09","1.81","3.50","1.31","6.83","1.11","1.76","2.06"
"84264","24-01-26 15:30","Germany","Bundesliga","2025/2026","Bayer Leverkusen","Werder Bremen","1.60","4.41","5.60","1.01","19.50","1.16","5.50","1.50","2.63","2.21","1.73","3.71","1.29","1.57","2.42"
"84265","24-01-26 15:30","Germany","Bundesliga","2025/2026","Bayern Munich","Augsburg","1.14","10.50","17.80","1.01","34.00","1.06","9.47","1.24","4.21","1.58","2.42","2.32","1.63","1.76","2.06"
"84266","24-01-26 15:30","Germany","Bundesliga","2025/2026","Eintracht Frankfurt","Hoffenheim","3.10","3.72","2.28","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","1.57","2.41"
"84267","24-01-26 15:30","Germany","Bundesliga","2025/2026","Heidenheim","RB Leipzig","4.49","4.49","1.71","1.01","21.00","1.16","5.50","1.46","2.75","2.21","1.73","3.60","1.30","1.52","2.54"
"84268","24-01-26 15:30","Germany","Bundesliga","2025/2026","Mainz","Wolfsburg","2.34","3.47","3.16","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.68","2.18"
"83923","23-01-26 20:30","Germany","Bundesliga","2025/2026","St. Pauli","Hamburger SV","2.88","2.98","2.88","1.11","6.84","1.46","2.77","2.50","1.54","5.01","1.18","10.10","1.06","2.00","1.82"
"79697","18-01-26 17:30","Germany","Bundesliga","2025/2026","Augsburg","Freiburg","2.62","3.33","2.87","1.05","10.60","1.29","3.72","1.98","1.90","3.40","1.33","6.42","1.12","1.72","2.12"
"79688","18-01-26 15:30","Germany","Bundesliga","2025/2026","Stuttgart","Union Berlin","1.64","4.10","5.64","1.03","13.70","1.21","4.56","1.73","2.21","2.69","1.48","5.01","1.18","1.72","2.12"
"79652","17-01-26 18:30","Germany","Bundesliga","2025/2026","RB Leipzig","Bayern Munich","4.50","4.47","1.71","1.02","29.00","1.10","7.00","1.36","3.20","1.97","1.91","3.01","1.40","1.43","2.82"
"79605","17-01-26 15:30","Germany","Bundesliga","2025/2026","Dortmund","St. Pauli","1.37","4.93","10.40","1.05","11.00","1.26","4.00","1.89","2.00","3.18","1.37","5.81","1.14","2.16","1.70"
"79606","17-01-26 15:30","Germany","Bundesliga","2025/2026","FC Koln","Mainz","2.20","3.48","3.48","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.70","2.15"
"79607","17-01-26 15:30","Germany","Bundesliga","2025/2026","Hamburger SV","B. Monchengladbach","2.50","3.57","2.86","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.62","2.31"
"79608","17-01-26 15:30","Germany","Bundesliga","2025/2026","Hoffenheim","Bayer Leverkusen","2.38","3.85","2.84","1.02","17.50","1.17","5.26","1.50","2.63","2.23","1.68","3.85","1.27","1.46","2.74"
"79609","17-01-26 15:30","Germany","Bundesliga","2025/2026","Wolfsburg","Heidenheim","1.70","4.19","4.86","1.02","15.00","1.21","4.50","1.63","2.30","2.53","1.54","4.68","1.20","1.60","2.34"
"79571","16-01-26 20:30","Germany","Bundesliga","2025/2026","Werder Bremen","Eintracht Frankfurt","2.87","3.70","2.43","1.03","13.70","1.21","4.56","1.73","2.21","2.69","1.48","5.01","1.18","1.60","2.34"
"79561","15-01-26 20:30","Germany","Bundesliga","2025/2026","Augsburg","Union Berlin","2.75","3.30","2.75","1.08","8.42","1.37","3.16","2.21","1.73","3.85","1.27","7.69","1.09","1.83","1.98"
"79554","14-01-26 20:30","Germany","Bundesliga","2025/2026","FC Koln","Bayern Munich","12.20","7.75","1.22","1.01","34.00","1.06","9.57","1.21","4.61","1.57","2.45","2.21","1.69","1.50","2.61"
"79555","14-01-26 20:30","Germany","Bundesliga","2025/2026","Hoffenheim","B. Monchengladbach","2.00","3.99","3.58","1.01","17.00","1.21","4.50","1.63","2.30","2.53","1.54","4.68","1.20","1.57","2.41"
"79556","14-01-26 20:30","Germany","Bundesliga","2025/2026","RB Leipzig","Freiburg","1.76","4.00","4.68","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","1.60","2.34"
