"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"14242","17-05-25 15:30","Germany","Bundesliga","2024/2025","St. Pauli","Bochum","1.77","4.19","4.43","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.80","1.20","1.65","2.25"
"14241","17-05-25 15:30","Germany","Bundesliga","2024/2025","RB Leipzig","Stuttgart","1.89","4.59","3.54","1.01","26.00","1.09","8.00","1.32","3.50","1.90","2.00","2.86","1.45","1.34","3.26"
"14240","17-05-25 15:30","Germany","Bundesliga","2024/2025","Mainz","Bayer Leverkusen","2.57","3.99","2.56","1.01","23.00","1.16","5.50","1.48","2.75","2.24","1.73","3.79","1.29","1.43","2.82"
"14239","17-05-25 15:30","Germany","Bundesliga","2024/2025","Hoffenheim","Bayern Munich","4.83","4.58","1.65","1.01","23.00","1.11","7.00","1.34","3.40","1.90","2.00","2.86","1.45","1.38","3.04"
"14238","17-05-25 15:30","Germany","Bundesliga","2024/2025","Heidenheim","Werder Bremen","2.67","4.00","2.46","1.02","25.00","1.16","5.50","1.48","2.75","2.24","1.73","3.79","1.29","1.43","2.82"
"14237","17-05-25 15:30","Germany","Bundesliga","2024/2025","Freiburg","Eintracht Frankfurt","2.36","3.69","2.98","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.48","1.22","1.49","2.64"
"14236","17-05-25 15:30","Germany","Bundesliga","2024/2025","Dortmund","Holstein Kiel","1.16","9.79","15.50","1.01","34.00","1.06","10.60","1.20","4.79","1.50","2.66","2.14","1.74","1.70","2.16"
"14235","17-05-25 15:30","Germany","Bundesliga","2024/2025","B. Monchengladbach","Wolfsburg","2.31","4.21","2.78","1.01","23.00","1.11","7.00","1.34","3.40","1.99","1.91","3.06","1.40","1.34","3.26"
"14234","17-05-25 15:30","Germany","Bundesliga","2024/2025","Augsburg","Union Berlin","1.98","3.76","3.87","1.03","13.70","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.67","2.20"
"14243","11-05-25 19:30","Germany","Bundesliga","2024/2025","Stuttgart","Augsburg","1.57","4.61","5.64","1.02","25.00","1.16","5.50","1.48","2.75","2.24","1.73","3.67","1.30","1.57","2.42"
"14244","11-05-25 17:30","Germany","Bundesliga","2024/2025","Eintracht Frankfurt","St. Pauli","1.59","4.45","5.64","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.72","2.12"
"14245","11-05-25 15:30","Germany","Bundesliga","2024/2025","Bayer Leverkusen","Dortmund","2.72","3.89","2.46","1.01","23.00","1.16","5.50","1.48","2.75","2.24","1.73","3.79","1.29","1.41","2.94"
"14246","10-05-25 18:30","Germany","Bundesliga","2024/2025","Bayern Munich","B. Monchengladbach","1.14","11.70","14.30","1.01","34.00","1.04","13.00","1.16","5.50","1.41","3.00","1.99","1.91","1.57","2.41"
"14250","10-05-25 15:30","Germany","Bundesliga","2024/2025","Werder Bremen","RB Leipzig","2.00","4.12","3.47","1.02","28.00","1.13","6.50","1.41","3.00","1.99","1.91","3.24","1.37","1.38","3.04"
"14249","10-05-25 15:30","Germany","Bundesliga","2024/2025","Union Berlin","Heidenheim","2.05","3.69","3.69","1.04","13.00","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","1.60","2.34"
"14248","10-05-25 15:30","Germany","Bundesliga","2024/2025","Holstein Kiel","Freiburg","3.51","3.82","2.06","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.48","1.22","1.53","2.53"
"14247","10-05-25 15:30","Germany","Bundesliga","2024/2025","Bochum","Mainz","3.22","3.91","2.15","1.01","19.50","1.19","5.00","1.61","2.38","2.37","1.62","4.14","1.25","1.49","2.64"
"14251","09-05-25 20:30","Germany","Bundesliga","2024/2025","Wolfsburg","Hoffenheim","2.79","3.73","2.47","1.01","21.00","1.16","5.50","1.51","2.63","2.26","1.67","4.14","1.25","1.44","2.79"
"14252","04-05-25 19:30","Germany","Bundesliga","2024/2025","Mainz","Eintracht Frankfurt","2.31","3.80","2.98","1.02","17.00","1.22","4.50","1.65","2.30","2.57","1.54","4.48","1.22","1.52","2.54"
"14253","04-05-25 17:30","Germany","Bundesliga","2024/2025","Freiburg","Bayer Leverkusen","3.20","3.61","2.27","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.53","2.53"
"14254","04-05-25 15:30","Germany","Bundesliga","2024/2025","Augsburg","Holstein Kiel","1.81","4.03","4.34","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.65","2.25"
"14255","03-05-25 18:30","Germany","Bundesliga","2024/2025","Dortmund","Wolfsburg","1.30","6.41","9.62","1.01","23.00","1.11","7.00","1.34","3.40","1.90","2.00","2.86","1.45","1.65","2.25"
"14258","03-05-25 15:30","Germany","Bundesliga","2024/2025","St. Pauli","Stuttgart","2.88","3.50","2.52","1.04","13.00","1.25","4.19","1.83","2.10","2.82","1.46","5.27","1.18","1.65","2.25"
"14259","03-05-25 15:30","Germany","Bundesliga","2024/2025","Union Berlin","Werder Bremen","3.07","3.58","2.35","1.05","11.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.74","2.10"
"14257","03-05-25 15:30","Germany","Bundesliga","2024/2025","RB Leipzig","Bayern Munich","4.11","4.45","1.78","1.01","20.00","1.09","8.00","1.32","3.50","1.90","2.00","2.86","1.45","1.34","3.26"
"14256","03-05-25 15:30","Germany","Bundesliga","2024/2025","B. Monchengladbach","Hoffenheim","2.30","3.89","2.94","1.02","28.00","1.13","6.50","1.41","3.00","1.99","1.91","3.24","1.37","1.38","3.04"
"14260","02-05-25 20:30","Germany","Bundesliga","2024/2025","Heidenheim","Bochum","2.40","3.48","3.06","1.05","11.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.68","2.18"
"14261","27-04-25 17:30","Germany","Bundesliga","2024/2025","Werder Bremen","St. Pauli","1.95","3.68","4.05","1.05","11.00","1.26","4.00","1.90","2.00","3.24","1.37","6.00","1.14","1.68","2.18"
"14262","27-04-25 15:30","Germany","Bundesliga","2024/2025","Bochum","Union Berlin","2.44","3.39","3.06","1.05","11.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.68","2.18"
"14263","26-04-25 18:30","Germany","Bundesliga","2024/2025","Eintracht Frankfurt","RB Leipzig","2.03","4.05","3.45","1.02","25.00","1.16","5.50","1.48","2.75","2.24","1.73","3.67","1.30","1.48","2.68"
"14264","26-04-25 15:30","Germany","Bundesliga","2024/2025","Bayer Leverkusen","Augsburg","1.52","4.81","6.07","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.80","1.20","1.78","2.04"
"14265","26-04-25 15:30","Germany","Bundesliga","2024/2025","Bayern Munich","Mainz","1.27","7.12","9.66","1.01","25.00","1.07","9.37","1.25","4.17","1.65","2.29","2.47","1.57","1.57","2.41"
"14266","26-04-25 15:30","Germany","Bundesliga","2024/2025","Hoffenheim","Dortmund","4.25","3.98","1.84","1.02","17.00","1.19","5.00","1.56","2.50","2.37","1.62","4.14","1.25","1.52","2.54"
