"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"86845","26-01-26 20:45","Italy","Serie A","2025/2026","Verona","Udinese","2.98","2.98","2.78","1.13","6.32","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.02","1.80"
"85221","25-01-26 20:45","Italy","Serie A","2025/2026","AS Roma","AC Milan","2.94","2.98","2.82","1.08","8.51","1.33","3.41","2.19","1.74","3.82","1.28","7.62","1.09","1.74","2.09"
"85214","25-01-26 18:00","Italy","Serie A","2025/2026","Juventus","Napoli","1.98","3.23","4.67","1.11","6.84","1.43","2.90","2.41","1.58","4.45","1.22","9.03","1.07","2.06","1.76"
"85195","25-01-26 15:00","Italy","Serie A","2025/2026","Atalanta","Parma","1.37","5.02","10.00","1.04","11.60","1.24","4.21","1.80","2.10","2.86","1.43","5.53","1.15","2.06","1.76"
"85196","25-01-26 15:00","Italy","Serie A","2025/2026","Genoa","Bologna","3.34","3.08","2.46","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.96","1.85"
"85182","25-01-26 12:30","Italy","Serie A","2025/2026","Sassuolo","Cremonese","2.05","3.37","4.09","1.08","8.42","1.43","2.90","2.23","1.68","4.16","1.24","8.40","1.08","1.96","1.85"
"84320","24-01-26 20:45","Italy","Serie A","2025/2026","Lecce","Lazio","5.18","3.01","1.98","1.14","5.85","1.57","2.45","2.83","1.44","5.48","1.16","11.00","1.05","2.33","1.61"
"84306","24-01-26 18:00","Italy","Serie A","2025/2026","Fiorentina","Cagliari","1.81","3.69","4.85","1.06","10.00","1.31","3.50","1.97","1.91","3.37","1.34","6.80","1.11","1.76","2.06"
"84257","24-01-26 15:00","Italy","Serie A","2025/2026","Como","Torino","1.54","4.18","6.97","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.90","1.90"
"83926","23-01-26 20:45","Italy","Serie A","2025/2026","Inter","Pisa","1.28","6.27","11.50","1.01","19.50","1.18","5.00","1.54","2.50","2.34","1.62","4.05","1.25","1.90","1.90"
"81003","19-01-26 20:45","Italy","Serie A","2025/2026","Lazio","Como","2.98","2.96","2.79","1.13","6.32","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.02","1.80"
"81000","19-01-26 18:30","Italy","Serie A","2025/2026","Cremonese","Verona","2.48","3.09","3.30","1.08","8.42","1.34","3.37","2.21","1.73","3.85","1.27","7.69","1.09","1.78","2.03"
"79705","18-01-26 20:45","Italy","Serie A","2025/2026","AC Milan","Lecce","1.31","5.35","12.20","1.04","11.60","1.26","3.95","1.88","2.01","3.21","1.36","6.02","1.14","2.44","1.56"
"79698","18-01-26 18:00","Italy","Serie A","2025/2026","Torino","AS Roma","4.59","3.37","1.94","1.06","9.57","1.33","3.41","2.09","1.81","3.82","1.28","7.62","1.09","1.87","1.94"
"79684","18-01-26 15:00","Italy","Serie A","2025/2026","Bologna","Fiorentina","2.32","3.35","3.31","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.60","2.34"
"79673","18-01-26 12:30","Italy","Serie A","2025/2026","Parma","Genoa","3.01","2.73","3.01","1.17","5.24","1.54","2.50","2.77","1.46","5.53","1.15","11.10","1.05","1.96","1.85"
"79663","17-01-26 20:45","Italy","Serie A","2025/2026","Cagliari","Juventus","7.08","4.10","1.55","1.06","9.47","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","2.16","1.70"
"79648","17-01-26 18:00","Italy","Serie A","2025/2026","Napoli","Sassuolo","1.47","4.41","8.13","1.06","9.57","1.33","3.41","2.09","1.81","3.82","1.28","7.62","1.09","2.33","1.61"
"79598","17-01-26 15:00","Italy","Serie A","2025/2026","Udinese","Inter","7.16","4.60","1.49","1.02","15.00","1.26","4.00","1.80","2.10","3.01","1.40","5.81","1.14","1.98","1.83"
"79574","16-01-26 20:45","Italy","Serie A","2025/2026","Pisa","Atalanta","6.68","4.06","1.58","1.04","11.60","1.24","4.21","1.80","2.10","2.86","1.43","5.53","1.15","1.86","1.95"
"79562","15-01-26 20:45","Italy","Serie A","2025/2026","Como","AC Milan","3.17","3.28","2.44","1.06","9.57","1.30","3.62","2.09","1.81","3.50","1.31","6.83","1.11","1.74","2.09"
"79560","15-01-26 18:30","Italy","Serie A","2025/2026","Verona","Bologna","4.12","3.16","2.12","1.08","8.42","1.37","3.16","2.23","1.68","4.16","1.24","8.40","1.08","1.90","1.90"
"79557","14-01-26 20:45","Italy","Serie A","2025/2026","Inter","Lecce","1.18","8.24","15.40","1.02","18.50","1.18","5.00","1.54","2.50","2.44","1.57","4.37","1.22","2.33","1.61"
"79553","14-01-26 18:30","Italy","Serie A","2025/2026","Napoli","Parma","1.33","5.35","11.20","1.05","11.00","1.28","3.75","1.89","2.00","3.18","1.37","5.81","1.14","2.33","1.61"
"79547","12-01-26 20:45","Italy","Serie A","2025/2026","Juventus","Cremonese","1.28","6.27","11.50","1.02","15.80","1.20","4.74","1.58","2.42","2.50","1.54","4.45","1.22","2.06","1.76"
