"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"85206","25-01-26 16:45","Netherlands","Eredivisie","2025/2026","Feyenoord","Heracles","1.25","7.70","10.30","1.01","27.00","1.10","7.00","1.35","3.25","2.06","1.83","3.01","1.40","1.78","2.04"
"85207","25-01-26 16:45","Netherlands","Eredivisie","2025/2026","Utrecht","Sparta Rotterdam","2.05","3.58","3.79","1.05","11.00","1.28","3.75","2.06","1.83","3.18","1.37","6.32","1.13","1.74","2.10"
"85190","25-01-26 14:30","Netherlands","Eredivisie","2025/2026","Groningen","Sittard","1.52","4.27","6.59","1.01","12.00","1.22","3.54","1.87","1.98","2.89","1.32","5.45","1.08","1.92","1.79"
"85181","25-01-26 12:15","Netherlands","Eredivisie","2025/2026","Telstar","AZ Alkmaar","3.48","3.56","2.17","1.02","16.00","1.21","4.61","1.67","2.23","2.66","1.49","4.96","1.18","1.51","2.55"
"84321","24-01-26 21:00","Netherlands","Eredivisie","2025/2026","Twente","Excelsior","1.30","6.08","10.60","1.01","17.50","1.14","5.85","1.49","2.66","2.21","1.69","3.82","1.28","1.89","1.92"
"84318","24-01-26 20:00","Netherlands","Eredivisie","2025/2026","PSV","NAC Breda","1.41","5.33","7.49","1.02","20.00","1.16","5.50","1.50","2.63","2.24","1.67","4.05","1.25","1.74","2.10"
"84313","24-01-26 18:45","Netherlands","Eredivisie","2025/2026","Nijmegen","Zwolle","1.52","4.82","6.04","1.02","21.00","1.12","6.50","1.46","2.75","2.21","1.73","3.37","1.34","1.57","2.42"
"84302","24-01-26 16:30","Netherlands","Eredivisie","2025/2026","Ajax","FC Volendam","1.31","5.92","9.20","1.01","21.00","1.07","5.80","1.37","2.68","2.12","1.75","3.30","1.25","1.69","2.05"
"83896","21-01-26 18:45","Netherlands","Eredivisie","2025/2026","AZ Alkmaar","Excelsior","1.36","5.64","8.64","1.02","19.50","1.14","5.79","1.46","2.77","2.13","1.73","3.85","1.27","1.74","2.09"
"79692","18-01-26 16:45","Netherlands","Eredivisie","2025/2026","Feyenoord","Sparta Rotterdam","1.53","4.54","6.38","1.01","20.00","1.14","6.00","1.50","2.63","2.24","1.67","3.71","1.29","1.62","2.31"
