"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"54657","25-05-25 18:00","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Twente","1.69","4.23","4.91","1.03","15.00","1.22","4.50","1.68","2.25","2.66","1.50","4.80","1.20","1.65","2.24"
"54658","22-05-25 21:00","Netherlands","Eredivisie","2024/2025","Twente","Nijmegen","1.76","3.95","4.75","1.03","15.00","1.23","4.33","1.77","2.10","2.86","1.45","5.41","1.17","1.65","2.24"
"54659","22-05-25 18:45","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Heerenveen","1.34","5.77","9.00","1.03","15.00","1.19","5.00","1.56","2.50","2.47","1.57","4.48","1.22","1.83","1.98"
"54660","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Ajax","Twente","1.43","5.62","6.45","1.01","25.00","1.11","7.00","1.41","3.00","2.08","1.83","3.24","1.37","1.57","2.42"
"54661","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Almere City","1.25","7.20","10.80","1.01","29.00","1.11","7.00","1.36","3.25","2.08","1.83","3.24","1.37","1.76","2.06"
"54662","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Heerenveen","Feyenoord","3.55","4.29","1.94","1.01","24.00","1.13","6.50","1.48","2.75","2.24","1.73","3.67","1.30","1.43","2.82"
"54663","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Heracles","Nijmegen","2.38","3.57","3.02","1.04","13.00","1.23","4.33","1.77","2.10","2.86","1.45","5.41","1.17","1.62","2.31"
"54664","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","NAC Breda","Willem II","1.75","3.91","4.89","1.03","15.00","1.23","4.33","1.70","2.20","2.66","1.50","5.11","1.18","1.65","2.25"
"54665","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Sittard","Utrecht","3.34","3.68","2.18","1.03","15.00","1.19","5.00","1.68","2.25","2.57","1.54","4.80","1.20","1.52","2.54"
"54666","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Sparta Rotterdam","PSV","9.74","6.17","1.30","1.01","25.00","1.08","9.00","1.29","3.75","1.70","2.20","2.57","1.54","1.48","2.68"
"54667","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Waalwijk","G.A. Eagles","2.61","4.14","2.46","1.01","25.00","1.11","7.00","1.41","3.00","2.08","1.83","3.24","1.37","1.38","3.04"
"54668","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Zwolle","Groningen","2.03","3.66","3.76","1.04","13.00","1.26","4.00","1.82","2.10","2.86","1.45","5.41","1.17","1.65","2.25"
"54669","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Almere City","Sittard","1.87","3.83","4.26","1.04","13.00","1.26","4.00","1.90","2.00","3.06","1.40","6.00","1.14","1.74","2.10"
"54670","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Feyenoord","Waalwijk","1.20","8.64","12.20","1.01","29.00","1.06","10.00","1.26","4.00","1.68","2.25","2.47","1.57","1.70","2.15"
"54671","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","G.A. Eagles","Heerenveen","2.45","3.77","2.80","1.02","17.00","1.19","5.00","1.56","2.50","2.47","1.57","4.48","1.22","1.48","2.68"
"54672","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Groningen","Ajax","5.87","4.30","1.59","1.05","11.00","1.29","3.75","1.90","2.00","3.24","1.37","6.00","1.14","1.76","2.06"
"54673","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Nijmegen","NAC Breda","1.47","4.92","6.74","1.03","15.00","1.22","4.50","1.68","2.25","2.66","1.50","4.80","1.20","1.83","1.98"
"54674","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","PSV","Heracles","1.06","13.00","29.00","1.01","34.00","1.04","13.00","1.16","5.50","1.48","2.75","2.08","1.83","1.78","2.04"
"54675","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Twente","AZ Alkmaar","2.78","3.32","2.70","1.06","10.00","1.32","3.50","2.13","1.80","3.67","1.30","7.54","1.10","1.78","2.04"
"54676","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Utrecht","Sparta Rotterdam","1.81","3.83","4.61","1.02","17.00","1.19","5.00","1.61","2.38","2.57","1.54","4.48","1.22","1.57","2.42"
"54677","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Willem II","Zwolle","2.97","3.38","2.51","1.04","13.00","1.26","4.00","1.90","2.00","3.06","1.40","6.00","1.14","1.65","2.25"
"54678","11-05-25 16:45","Netherlands","Eredivisie","2024/2025","Ajax","Nijmegen","1.23","7.09","12.70","1.02","24.00","1.14","6.00","1.48","2.75","2.24","1.73","3.67","1.30","1.98","1.83"
"54679","11-05-25 16:45","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Groningen","1.77","3.89","4.80","1.05","11.00","1.29","3.75","2.08","1.83","3.43","1.34","6.54","1.13","1.83","1.98"
"54680","11-05-25 14:30","Netherlands","Eredivisie","2024/2025","Feyenoord","PSV","3.23","4.03","2.11","1.02","25.00","1.11","7.00","1.36","3.25","2.08","1.83","3.24","1.37","1.38","3.04"
"54681","11-05-25 14:30","Netherlands","Eredivisie","2024/2025","Twente","Utrecht","1.88","3.99","4.04","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","5.11","1.18","1.60","2.34"
"54682","11-05-25 12:15","Netherlands","Eredivisie","2024/2025","Zwolle","G.A. Eagles","2.41","4.10","2.69","1.01","20.00","1.16","5.50","1.51","2.63","2.26","1.67","4.14","1.25","1.48","2.68"
"54683","10-05-25 21:00","Netherlands","Eredivisie","2024/2025","Almere City","Sparta Rotterdam","2.79","3.61","2.53","1.03","15.00","1.23","4.33","1.70","2.20","2.66","1.50","5.11","1.18","1.57","2.42"
"54684","10-05-25 18:45","Netherlands","Eredivisie","2024/2025","Sittard","NAC Breda","1.80","3.80","4.69","1.05","11.00","1.32","3.50","2.08","1.83","3.43","1.34","7.06","1.11","1.76","2.06"
"54685","10-05-25 16:30","Netherlands","Eredivisie","2024/2025","Waalwijk","Heerenveen","3.39","4.01","2.06","1.01","20.00","1.14","6.00","1.51","2.63","2.26","1.67","3.79","1.29","1.48","2.68"
"54686","09-05-25 20:00","Netherlands","Eredivisie","2024/2025","Willem II","Heracles","2.59","3.59","2.73","1.04","13.00","1.26","4.00","1.90","2.00","3.06","1.40","6.00","1.14","1.60","2.34"
"54687","04-05-25 14:30","Netherlands","Eredivisie","2024/2025","G.A. Eagles","AZ Alkmaar","3.76","4.01","1.94","1.02","17.00","1.19","5.00","1.61","2.38","2.57","1.54","4.48","1.22","1.57","2.42"
"54688","04-05-25 14:30","Netherlands","Eredivisie","2024/2025","Sparta Rotterdam","Twente","2.48","3.62","2.85","1.04","13.00","1.26","4.00","1.90","2.00","3.06","1.40","5.41","1.17","1.57","2.41"
