"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"86849","26-01-26 21:15","Portugal","Liga Portugal","2025/2026","FC Porto","Gil Vicente","1.40","4.65","9.82","1.06","9.47","1.29","3.68","1.96","1.92","3.43","1.33","6.48","1.12","2.16","1.70"
"85224","25-01-26 21:30","Portugal","Liga Portugal","2025/2026","Braga","Alverca","1.46","4.45","8.23","1.04","11.70","1.26","3.99","1.94","1.94","3.18","1.37","6.42","1.12","2.00","1.82"
"85218","25-01-26 19:00","Portugal","Liga Portugal","2025/2026","Benfica","Estrela","1.20","7.97","13.80","1.02","17.50","1.18","5.00","1.60","2.38","2.53","1.54","4.68","1.20","2.33","1.61"
"85219","25-01-26 19:00","Portugal","Liga Portugal","2025/2026","Famalicao","Tondela","1.64","4.10","5.64","1.06","10.00","1.31","3.50","2.06","1.83","3.60","1.30","6.80","1.11","1.90","1.90"
"85205","25-01-26 16:30","Portugal","Liga Portugal","2025/2026","Nacional","Rio Ave","1.96","3.70","4.01","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.70","2.15"
"84325","24-01-26 21:30","Portugal","Liga Portugal","2025/2026","Estoril","Vitoria Guimaraes","2.43","3.58","2.94","1.03","13.70","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.67","2.20"
"84315","24-01-26 19:00","Portugal","Liga Portugal","2025/2026","Arouca","Sporting CP","8.57","5.85","1.34","1.02","17.50","1.18","5.00","1.60","2.38","2.53","1.54","4.37","1.22","1.90","1.90"
"84303","24-01-26 16:30","Portugal","Liga Portugal","2025/2026","Moreirense","Santa Clara","2.99","2.92","2.82","1.09","5.30","1.64","2.38","2.64","1.38","5.20","1.10","11.00","1.01","2.18","1.61"
"83929","23-01-26 21:15","Portugal","Liga Portugal","2025/2026","Casa Pia","AFS","2.12","3.21","4.04","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.96","1.85"
"81006","19-01-26 21:15","Portugal","Liga Portugal","2025/2026","Estrela","Estoril","2.85","3.51","2.54","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.65","2.25"
"79708","18-01-26 21:30","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","FC Porto","7.31","4.28","1.51","1.06","9.47","1.33","3.42","2.11","1.80","3.85","1.27","7.69","1.09","2.16","1.70"
"79703","18-01-26 19:00","Portugal","Liga Portugal","2025/2026","Tondela","Braga","6.75","4.15","1.56","1.05","10.60","1.30","3.62","1.98","1.90","3.50","1.31","6.83","1.11","2.02","1.80"
"79691","18-01-26 16:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Famalicao","3.08","3.08","2.62","1.12","6.50","1.54","2.50","2.63","1.50","5.26","1.17","10.60","1.05","2.02","1.80"
"79669","17-01-26 21:30","Portugal","Liga Portugal","2025/2026","Rio Ave","Benfica","10.40","5.47","1.33","1.02","16.00","1.19","4.79","1.59","2.39","2.48","1.55","4.41","1.22","1.90","1.90"
"79657","17-01-26 19:00","Portugal","Liga Portugal","2025/2026","AFS","Arouca","2.73","3.12","2.91","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.82","1.07","1.83","1.98"
"79658","17-01-26 19:00","Portugal","Liga Portugal","2025/2026","Alverca","Moreirense","2.44","2.98","3.50","1.14","6.00","1.54","2.50","2.82","1.45","5.26","1.17","11.70","1.04","2.02","1.80"
"79645","17-01-26 16:30","Portugal","Liga Portugal","2025/2026","Gil Vicente","Nacional","1.81","3.51","5.17","1.07","9.00","1.35","3.25","2.32","1.67","4.05","1.25","8.08","1.09","2.04","1.78"
"79578","16-01-26 21:15","Portugal","Liga Portugal","2025/2026","Sporting CP","Casa Pia","1.20","7.78","14.40","1.02","18.50","1.16","5.50","1.54","2.50","2.44","1.57","4.37","1.22","2.31","1.62"
"79030","11-01-26 19:00","Portugal","Liga Portugal","2025/2026","Moreirense","Tondela","2.39","3.12","3.43","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.90","1.90"
"79024","11-01-26 16:30","Portugal","Liga Portugal","2025/2026","Nacional","Santa Clara","2.81","3.02","2.91","1.13","6.32","1.54","2.50","2.69","1.48","5.53","1.15","11.10","1.05","2.06","1.76"
"75785","04-01-26 21:30","Portugal","Liga Portugal","2025/2026","Alverca","Famalicao","3.75","3.38","2.14","1.07","9.00","1.40","3.00","2.32","1.67","4.05","1.25","8.82","1.07","1.90","1.90"
"75780","04-01-26 19:00","Portugal","Liga Portugal","2025/2026","Santa Clara","FC Porto","7.70","3.72","1.58","1.11","6.84","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.44","1.56"
"75770","04-01-26 16:30","Portugal","Liga Portugal","2025/2026","Rio Ave","Casa Pia","2.53","3.31","3.00","1.10","7.45","1.42","2.93","2.30","1.63","4.41","1.22","8.94","1.07","1.90","1.90"
"75738","03-01-26 21:30","Portugal","Liga Portugal","2025/2026","AFS","Moreirense","3.72","3.31","2.17","1.08","8.42","1.37","3.16","2.23","1.68","4.16","1.24","8.40","1.08","1.90","1.90"
"75725","03-01-26 19:00","Portugal","Liga Portugal","2025/2026","Benfica","Estoril","1.22","7.49","12.80","1.01","19.50","1.16","5.50","1.50","2.63","2.24","1.67","3.71","1.29","1.98","1.83"
"75726","03-01-26 19:00","Portugal","Liga Portugal","2025/2026","Estrela","Braga","4.92","3.73","1.79","1.06","9.47","1.37","3.16","2.21","1.73","3.85","1.27","7.69","1.09","1.96","1.85"
"75718","03-01-26 16:30","Portugal","Liga Portugal","2025/2026","Tondela","Arouca","2.40","3.26","3.26","1.09","8.00","1.40","3.00","2.43","1.62","4.37","1.22","8.82","1.07","1.90","1.90"
"75697","02-01-26 21:45","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Nacional","1.98","3.31","4.48","1.08","8.42","1.43","2.90","2.23","1.68","4.16","1.24","9.03","1.07","1.96","1.85"
"75692","02-01-26 19:45","Portugal","Liga Portugal","2025/2026","Gil Vicente","Sporting CP","7.55","4.30","1.50","1.05","10.60","1.29","3.72","1.94","1.94","3.18","1.37","6.42","1.12","1.94","1.86"
"75636","29-12-25 21:15","Portugal","Liga Portugal","2025/2026","FC Porto","AFS","1.12","10.70","21.00","1.01","20.00","1.13","6.32","1.43","2.90","2.11","1.80","3.43","1.33","2.44","1.56"
"75579","28-12-25 21:30","Portugal","Liga Portugal","2025/2026","Sporting CP","Rio Ave","1.09","12.90","27.00","1.01","21.00","1.12","6.50","1.46","2.75","2.21","1.73","3.60","1.30","2.71","1.46"
"75580","28-12-25 19:00","Portugal","Liga Portugal","2025/2026","Braga","Benfica","4.43","3.23","2.02","1.08","8.42","1.37","3.16","2.31","1.67","4.16","1.24","8.40","1.08","1.89","1.92"
"75581","28-12-25 16:30","Portugal","Liga Portugal","2025/2026","Arouca","Gil Vicente","4.69","3.34","1.93","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","2.02","1.80"
"75582","28-12-25 16:30","Portugal","Liga Portugal","2025/2026","Casa Pia","Vitoria Guimaraes","3.42","2.98","2.49","1.13","6.32","1.54","2.50","2.69","1.48","5.53","1.15","11.10","1.05","2.06","1.76"
"75564","27-12-25 21:30","Portugal","Liga Portugal","2025/2026","Estoril","Alverca","2.14","3.45","3.65","1.05","10.50","1.29","3.68","1.96","1.92","3.21","1.36","6.48","1.12","1.68","2.18"
"75565","27-12-25 19:00","Portugal","Liga Portugal","2025/2026","Famalicao","Estrela","1.51","4.16","7.81","1.06","10.00","1.31","3.50","2.06","1.83","3.60","1.30","6.80","1.11","2.02","1.80"
"75502","23-12-25 21:45","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Sporting CP","6.25","4.51","1.54","1.04","11.70","1.29","3.72","1.94","1.94","3.18","1.37","6.42","1.12","1.94","1.86"
"75496","22-12-25 21:45","Portugal","Liga Portugal","2025/2026","Benfica","Famalicao","1.36","5.36","9.18","1.02","15.80","1.24","4.21","1.73","2.21","2.69","1.48","5.01","1.18","1.96","1.85"
"75497","22-12-25 19:45","Portugal","Liga Portugal","2025/2026","Alverca","FC Porto","9.36","5.20","1.37","1.04","11.70","1.29","3.72","1.94","1.94","3.40","1.33","6.42","1.12","2.22","1.66"
"75477","21-12-25 21:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Arouca","1.86","3.35","5.16","1.11","6.84","1.46","2.77","2.50","1.54","4.74","1.20","10.10","1.06","2.16","1.70"
"75478","21-12-25 19:00","Portugal","Liga Portugal","2025/2026","Tondela","Casa Pia","2.32","3.19","3.50","1.10","7.00","1.50","2.63","2.53","1.54","4.68","1.20","9.48","1.06","1.96","1.85"
"75479","21-12-25 16:30","Portugal","Liga Portugal","2025/2026","AFS","Nacional","2.71","3.41","2.71","1.07","9.00","1.35","3.25","2.21","1.73","3.71","1.29","7.24","1.10","1.83","1.98"
"75442","20-12-25 21:30","Portugal","Liga Portugal","2025/2026","Estrela","Moreirense","2.83","3.09","2.83","1.10","7.00","1.50","2.63","2.53","1.54","4.97","1.18","10.60","1.05","1.96","1.85"
