"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"75114","07-12-25 17:00","Russia","Premier League","2025/2026","Baltika","Krylya Sovetov","1.53","4.07","7.64","1.08","8.06","1.40","2.94","2.22","1.71","3.84","1.26","9.14","1.06","2.25","1.65"
"75115","07-12-25 17:00","Russia","Premier League","2025/2026","Krasnodar","CSKA Moscow","1.64","4.32","5.32","1.04","11.00","1.23","4.15","1.77","2.13","2.75","1.45","4.70","1.19","1.69","2.18"
"75116","07-12-25 14:30","Russia","Premier League","2025/2026","Sochi","Lokomotiv Moscow","6.13","4.24","1.58","1.05","10.60","1.25","3.96","1.85","2.02","2.89","1.42","4.96","1.18","1.81","2.01"
"75117","07-12-25 12:00","Russia","Premier League","2025/2026","Dynamo Makhachkala","Pari NN","1.92","3.37","4.72","1.12","6.23","1.53","2.50","2.39","1.58","4.77","1.18","12.50","1.03","2.25","1.65"
"75060","06-12-25 17:30","Russia","Premier League","2025/2026","Zenit","Akron Togliatti","1.28","6.01","12.70","1.03","12.00","1.22","4.29","1.70","2.17","2.66","1.48","4.77","1.18","2.28","1.63"
"75061","06-12-25 14:45","Russia","Premier League","2025/2026","Spartak Moscow","Dynamo Moscow","2.20","3.60","3.35","1.03","11.90","1.22","4.30","1.77","2.13","2.72","1.46","5.01","1.17","1.60","2.34"
"75062","06-12-25 12:00","Russia","Premier League","2025/2026","FK Rostov","Rubin Kazan","2.25","3.16","3.72","1.13","5.95","1.60","2.34","2.59","1.50","5.16","1.17","14.20","1.02","2.11","1.73"
"75006","05-12-25 17:00","Russia","Premier League","2025/2026","Akhmat Grozny","Orenburg","2.05","3.79","3.59","1.05","10.40","1.29","3.62","1.94","1.92","3.10","1.37","6.08","1.13","1.69","2.18"
"74947","01-12-25 17:30","Russia","Premier League","2025/2026","Sochi","Dynamo Makhachkala","3.20","3.00","2.60","1.15","5.41","1.65","2.25","2.81","1.44","5.70","1.14","15.00","1.01","2.36","1.59"
"74924","30-11-25 17:00","Russia","Premier League","2025/2026","Zenit","Rubin Kazan","1.35","4.93","11.30","1.05","10.60","1.31","3.47","1.93","1.93","3.13","1.37","5.66","1.14","2.44","1.56"
"74925","30-11-25 14:30","Russia","Premier League","2025/2026","Akhmat Grozny","Dynamo Moscow","2.86","3.57","2.50","1.05","10.60","1.25","4.00","1.83","2.04","2.85","1.43","5.16","1.17","1.66","2.22"
"74926","30-11-25 14:30","Russia","Premier League","2025/2026","FK Rostov","Lokomotiv Moscow","2.55","3.47","2.86","1.05","10.60","1.27","3.76","1.93","1.93","3.06","1.38","5.91","1.13","1.70","2.15"
"74927","30-11-25 12:00","Russia","Premier League","2025/2026","Krasnodar","Krylya Sovetov","1.32","5.69","10.20","1.02","14.00","1.20","4.59","1.58","2.39","2.39","1.58","4.10","1.24","1.96","1.85"
"74871","29-11-25 17:30","Russia","Premier League","2025/2026","Baltika","Spartak Moscow","3.71","3.17","2.24","1.11","6.60","1.56","2.43","2.60","1.50","5.49","1.15","14.00","1.02","2.34","1.60"
"74872","29-11-25 14:30","Russia","Premier League","2025/2026","CSKA Moscow","Orenburg","1.43","5.11","7.35","1.02","13.50","1.18","4.77","1.57","2.42","2.32","1.61","3.88","1.26","1.78","2.04"
"74873","29-11-25 12:00","Russia","Premier League","2025/2026","Akron Togliatti","Pari NN","1.94","3.78","3.98","1.05","10.60","1.27","3.80","1.90","1.96","3.00","1.39","5.91","1.13","1.72","2.12"
"74707","23-11-25 17:45","Russia","Premier League","2025/2026","Lokomotiv Moscow","Krasnodar","3.09","3.58","2.34","1.04","11.00","1.25","3.99","1.87","1.99","2.95","1.40","5.70","1.14","1.63","2.28"
