"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"67365","24-05-25 15:30","Russia","Premier League","2024/2025","Akron Togliatti","Lokomotiv Moscow","2.61","4.01","2.51","1.03","14.00","1.18","5.14","1.50","2.68","2.16","1.78","3.58","1.31","1.44","2.81"
"67366","24-05-25 15:30","Russia","Premier League","2024/2025","CSKA Moscow","Pari NN","1.43","4.85","7.87","1.05","12.00","1.23","4.34","1.79","2.14","2.78","1.46","5.06","1.18","2.01","1.81"
"67367","24-05-25 15:30","Russia","Premier League","2024/2025","Dynamo Makhachkala","FK Rostov","2.37","3.48","3.12","1.06","9.65","1.32","3.54","2.08","1.84","3.40","1.34","7.10","1.11","1.81","2.01"
"67368","24-05-25 15:30","Russia","Premier League","2024/2025","Fakel Voronezh","Krylya Sovetov","2.66","3.26","2.86","1.10","7.65","1.41","3.02","2.19","1.76","4.11","1.26","8.72","1.06","1.90","1.90"
"67369","24-05-25 15:30","Russia","Premier League","2024/2025","Krasnodar","Dynamo Moscow","1.65","4.73","4.68","1.01","21.00","1.16","5.55","1.49","2.73","2.19","1.76","3.51","1.32","1.54","2.48"
"67370","24-05-25 15:30","Russia","Premier League","2024/2025","Rubin Kazan","Orenburg","1.79","4.33","4.13","1.01","21.00","1.16","5.55","1.49","2.73","2.16","1.78","3.58","1.31","1.47","2.70"
"67371","24-05-25 15:30","Russia","Premier League","2024/2025","Spartak Moscow","Khimki","1.43","5.35","6.86","1.02","16.00","1.18","5.26","1.46","2.78","2.14","1.79","3.27","1.36","1.68","2.19"
"67372","24-05-25 15:30","Russia","Premier League","2024/2025","Zenit","Akhmat Grozny","1.18","7.74","17.10","1.01","20.00","1.16","5.55","1.50","2.68","2.20","1.70","3.62","1.31","2.00","1.81"
"67373","19-05-25 19:30","Russia","Premier League","2024/2025","Lokomotiv Moscow","CSKA Moscow","3.13","3.43","2.38","1.06","10.70","1.28","3.83","1.95","1.95","3.13","1.38","6.32","1.13","1.70","2.16"
"67374","18-05-25 18:00","Russia","Premier League","2024/2025","FK Rostov","Zenit","9.87","5.43","1.34","1.05","12.00","1.24","4.26","1.71","2.18","2.68","1.50","4.56","1.22","1.85","1.95"
