"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"85201","25-01-26 16:00","Scotland","Premiership","2025/2026","Hearts","Celtic","3.43","3.46","2.17","1.03","11.00","1.26","3.75","1.93","1.91","3.08","1.37","5.91","1.13","1.63","2.25"
"85202","25-01-26 16:00","Scotland","Premiership","2025/2026","Rangers","Dundee FC","1.33","5.37","9.71","1.02","14.40","1.17","5.00","1.57","2.38","2.37","1.57","4.17","1.22","1.97","1.82"
"84297","24-01-26 16:00","Scotland","Premiership","2025/2026","Aberdeen","Livingston","1.84","3.88","4.18","1.03","11.00","1.24","4.00","1.85","2.00","2.91","1.40","5.45","1.14","1.77","2.03"
"84298","24-01-26 16:00","Scotland","Premiership","2025/2026","Falkirk","Hibernian","2.82","3.18","2.69","1.07","8.00","1.34","3.20","2.16","1.73","3.56","1.29","7.42","1.09","1.82","1.97"
"84299","24-01-26 16:00","Scotland","Premiership","2025/2026","Motherwell","Kilmarnock","1.53","4.02","7.22","1.05","10.00","1.30","3.50","1.93","1.91","3.25","1.34","6.32","1.11","2.03","1.77"
"82054","20-01-26 20:45","Scotland","Premiership","2025/2026","Livingston","St. Mirren","3.06","3.26","2.45","1.06","9.00","1.31","3.40","2.06","1.80","3.46","1.30","6.71","1.10","1.77","2.03"
"79558","14-01-26 20:45","Scotland","Premiership","2025/2026","Falkirk","Celtic","6.45","4.60","1.50","1.03","12.40","1.21","4.33","1.66","2.20","2.55","1.50","4.97","1.17","1.74","2.08"
"79559","14-01-26 20:45","Scotland","Premiership","2025/2026","Hearts","St. Mirren","1.48","4.25","7.63","1.03","11.00","1.24","4.00","1.85","2.00","3.08","1.37","5.45","1.14","1.93","1.86"
"79028","11-01-26 17:30","Scotland","Premiership","2025/2026","Aberdeen","Rangers","4.63","3.75","1.79","1.03","11.60","1.19","4.56","1.70","2.21","2.61","1.49","4.73","1.18","1.66","2.19"
"79019","11-01-26 15:00","Scotland","Premiership","2025/2026","Dundee FC","Hearts","6.65","3.94","1.57","1.03","11.00","1.24","4.00","1.85","2.00","2.91","1.40","5.45","1.14","1.82","1.97"
"77848","10-01-26 16:00","Scotland","Premiership","2025/2026","Celtic","Dundee Utd","1.24","6.59","12.20","1.01","17.50","1.12","6.00","1.38","3.00","2.06","1.80","3.25","1.34","1.82","1.97"
