"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"70030","18-05-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Hearts","2.40","3.43","2.90","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.25"
"70031","18-05-25 16:00","Scotland","Premiership","2024/2025","Ross County","Motherwell","1.82","3.93","4.03","1.03","13.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.83","1.98"
"70032","18-05-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Dundee FC","3.35","3.65","2.08","1.03","13.00","1.25","4.00","1.78","2.10","2.78","1.45","5.11","1.17","1.65","2.25"
"70033","17-05-25 13:30","Scotland","Premiership","2024/2025","Celtic","St. Mirren","1.24","6.97","9.96","1.02","20.00","1.11","6.50","1.35","3.20","1.95","1.91","3.13","1.37","1.72","2.12"
"70034","17-05-25 13:30","Scotland","Premiership","2024/2025","Dundee Utd","Aberdeen","2.58","3.53","2.63","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.65","2.25"
"70035","17-05-25 13:30","Scotland","Premiership","2024/2025","Hibernian","Rangers","3.64","4.07","1.88","1.01","19.00","1.11","6.50","1.39","3.00","2.08","1.80","3.13","1.37","1.43","2.82"
"70036","14-05-25 21:00","Scotland","Premiership","2024/2025","Aberdeen","Celtic","3.56","3.60","2.03","1.01","13.00","1.15","4.20","1.60","2.13","2.58","1.50","4.45","1.15","1.54","2.41"
"70037","14-05-25 20:45","Scotland","Premiership","2024/2025","Dundee FC","Ross County","1.97","3.63","3.73","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.70","2.15"
"70038","14-05-25 20:45","Scotland","Premiership","2024/2025","Hearts","St Johnstone","1.67","3.79","5.30","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.83","1.98"
"70039","14-05-25 20:45","Scotland","Premiership","2024/2025","Motherwell","Kilmarnock","2.75","3.01","2.81","1.06","9.00","1.32","3.40","2.19","1.73","3.64","1.29","6.97","1.10","1.78","2.04"
"70040","14-05-25 20:45","Scotland","Premiership","2024/2025","Rangers","Dundee Utd","1.28","6.08","9.74","1.01","21.00","1.10","7.00","1.32","3.40","1.95","1.91","2.96","1.40","1.70","2.15"
"70041","14-05-25 20:45","Scotland","Premiership","2024/2025","St. Mirren","Hibernian","2.58","3.34","2.74","1.04","11.00","1.27","3.75","1.95","1.91","3.30","1.34","6.11","1.13","1.74","2.10"
"70042","11-05-25 13:00","Scotland","Premiership","2024/2025","Rangers","Aberdeen","1.47","4.61","6.40","1.01","15.50","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","1.65","2.25"
"70043","10-05-25 16:00","Scotland","Premiership","2024/2025","Hearts","Motherwell","1.63","4.03","5.28","1.03","13.00","1.22","4.33","1.78","2.10","2.78","1.45","5.11","1.17","1.78","2.04"
"70044","10-05-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Dundee FC","1.91","3.60","4.00","1.04","11.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.70","2.15"
"70045","10-05-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Ross County","1.98","3.43","3.94","1.05","10.00","1.32","3.40","2.08","1.80","3.53","1.30","6.55","1.11","1.83","1.98"
"70046","10-05-25 16:00","Scotland","Premiership","2024/2025","Celtic","Hibernian","1.34","5.52","8.03","1.01","16.50","1.15","5.50","1.45","2.75","2.21","1.67","3.64","1.29","1.78","2.04"
"70047","10-05-25 16:00","Scotland","Premiership","2024/2025","Dundee Utd","St. Mirren","2.37","3.52","2.90","1.05","10.00","1.32","3.40","2.08","1.80","3.64","1.29","6.97","1.10","1.83","1.98"
"70048","04-05-25 13:00","Scotland","Premiership","2024/2025","Rangers","Celtic","2.97","3.77","2.22","1.01","16.00","1.15","5.50","1.49","2.63","2.21","1.67","3.96","1.25","1.44","2.79"
"70049","03-05-25 16:00","Scotland","Premiership","2024/2025","Dundee FC","Motherwell","2.02","3.43","3.78","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.74","2.10"
"70050","03-05-25 16:00","Scotland","Premiership","2024/2025","Ross County","Hearts","4.34","3.56","1.85","1.06","9.00","1.35","3.20","2.19","1.73","3.64","1.29","7.73","1.09","1.98","1.83"
"70051","03-05-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Kilmarnock","2.94","3.34","2.43","1.05","10.00","1.32","3.40","2.19","1.73","3.64","1.29","6.97","1.10","1.83","1.98"
"70052","03-05-25 16:00","Scotland","Premiership","2024/2025","Hibernian","Dundee Utd","1.68","4.07","4.77","1.03","13.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.83","1.98"
"70053","03-05-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Aberdeen","2.40","3.37","2.96","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.70","2.15"
"70054","26-04-25 16:00","Scotland","Premiership","2024/2025","Hearts","Dundee FC","1.55","4.25","5.81","1.04","11.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.98","1.83"
"70055","26-04-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Ross County","1.79","3.48","4.86","1.08","8.00","1.39","3.00","2.29","1.67","4.27","1.22","8.41","1.07","2.10","1.74"
"70056","26-04-25 16:00","Scotland","Premiership","2024/2025","Motherwell","St Johnstone","2.03","3.34","3.85","1.06","9.00","1.32","3.40","2.08","1.80","3.53","1.30","6.97","1.10","1.83","1.98"
"70057","26-04-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Hibernian","2.46","3.44","2.82","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.74","2.10"
"70058","26-04-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Rangers","3.78","4.14","1.83","1.02","15.00","1.22","4.33","1.67","2.20","2.78","1.45","5.11","1.17","1.70","2.15"
"70059","26-04-25 13:30","Scotland","Premiership","2024/2025","Dundee Utd","Celtic","8.10","5.31","1.35","1.01","16.00","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.78","2.04"
"70060","13-04-25 15:30","Scotland","Premiership","2024/2025","Hibernian","Dundee FC","1.51","4.55","5.83","1.02","15.00","1.21","4.50","1.62","2.30","2.50","1.54","4.56","1.20","1.78","2.04"
"70061","13-04-25 13:00","Scotland","Premiership","2024/2025","Aberdeen","Rangers","2.48","3.77","2.61","1.03","14.00","1.16","5.26","1.53","2.50","2.29","1.63","4.06","1.24","1.49","2.64"
"70062","12-04-25 16:00","Scotland","Premiership","2024/2025","Dundee Utd","St Johnstone","1.86","3.56","4.27","1.06","9.00","1.35","3.20","2.19","1.73","3.96","1.25","7.73","1.09","1.90","1.90"
"70063","12-04-25 16:00","Scotland","Premiership","2024/2025","Motherwell","Hearts","4.33","3.75","1.80","1.04","11.00","1.27","3.75","1.95","1.91","3.30","1.34","6.11","1.13","1.83","1.98"
"70064","12-04-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Ross County","1.56","4.04","6.06","1.06","9.00","1.32","3.40","2.19","1.73","3.64","1.29","6.97","1.10","2.15","1.70"
"70065","12-04-25 13:30","Scotland","Premiership","2024/2025","Celtic","Kilmarnock","1.18","7.02","15.00","1.02","19.00","1.13","6.00","1.45","2.75","2.08","1.80","3.30","1.34","1.98","1.83"
"70066","06-04-25 15:30","Scotland","Premiership","2024/2025","Hearts","Dundee Utd","1.76","3.92","4.36","1.05","10.00","1.32","3.40","2.08","1.80","3.53","1.30","6.55","1.11","1.98","1.83"
"70067","06-04-25 13:00","Scotland","Premiership","2024/2025","St Johnstone","Celtic","17.80","7.04","1.17","1.01","16.00","1.16","5.26","1.45","2.77","2.20","1.68","3.77","1.27","2.22","1.66"
"70068","05-04-25 16:00","Scotland","Premiership","2024/2025","Dundee FC","St. Mirren","2.73","3.44","2.53","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.74","2.10"
"70069","05-04-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Motherwell","1.78","3.66","4.58","1.02","10.00","1.32","3.40","2.08","1.80","3.53","1.30","6.55","1.06","1.98","1.83"
"70070","05-04-25 16:00","Scotland","Premiership","2024/2025","Rangers","Hibernian","1.49","4.82","5.81","1.02","14.40","1.17","5.00","1.53","2.50","2.31","1.62","3.96","1.25","1.70","2.15"
"70071","05-04-25 16:00","Scotland","Premiership","2024/2025","Ross County","Aberdeen","3.79","3.54","1.98","1.05","10.00","1.32","3.40","2.08","1.80","3.53","1.30","6.55","1.11","1.83","1.98"
"70072","30-03-25 15:30","Scotland","Premiership","2024/2025","Ross County","Dundee Utd","3.06","3.16","2.45","1.06","9.00","1.35","3.20","2.19","1.73","3.96","1.25","7.73","1.09","1.83","1.98"
"70073","29-03-25 18:30","Scotland","Premiership","2024/2025","Dundee FC","Rangers","6.07","5.82","1.40","1.01","16.00","1.16","5.26","1.45","2.77","2.10","1.73","3.46","1.31","1.74","2.09"
"70074","29-03-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Motherwell","1.68","3.77","5.27","1.04","11.00","1.27","3.75","1.95","1.91","3.30","1.34","6.11","1.13","1.90","1.90"
"70075","29-03-25 16:00","Scotland","Premiership","2024/2025","Celtic","Hearts","1.22","7.10","10.70","1.02","20.00","1.11","6.50","1.39","3.00","2.08","1.80","3.13","1.37","1.90","1.90"
"70076","29-03-25 16:00","Scotland","Premiership","2024/2025","Hibernian","St Johnstone","1.62","3.92","5.52","1.06","9.00","1.35","3.20","2.19","1.73","3.96","1.25","7.73","1.09","2.10","1.74"
"70077","29-03-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Kilmarnock","2.33","3.29","3.14","1.06","9.00","1.35","3.20","2.19","1.73","3.96","1.25","7.73","1.09","1.90","1.90"
"70078","16-03-25 16:00","Scotland","Premiership","2024/2025","Dundee Utd","Dundee FC","1.82","3.74","4.24","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.78","2.04"
"70079","16-03-25 13:30","Scotland","Premiership","2024/2025","Celtic","Rangers","1.65","4.11","4.96","1.02","13.70","1.20","4.56","1.61","2.32","2.47","1.54","4.34","1.22","1.65","2.24"
"70080","15-03-25 16:00","Scotland","Premiership","2024/2025","Hearts","Ross County","1.45","4.40","7.32","1.04","11.00","1.27","3.75","1.95","1.91","3.30","1.34","6.11","1.13","2.10","1.74"
"70081","15-03-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Hibernian","2.37","3.33","3.03","1.06","9.00","1.35","3.20","2.19","1.73","3.64","1.29","6.97","1.10","1.83","1.98"
"70082","15-03-25 16:00","Scotland","Premiership","2024/2025","Motherwell","St. Mirren","2.83","3.14","2.63","1.08","8.00","1.39","3.00","2.31","1.62","4.27","1.22","8.41","1.07","1.98","1.83"
"70083","15-03-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Aberdeen","2.94","3.24","2.48","1.06","9.00","1.32","3.40","2.08","1.80","3.53","1.30","6.97","1.10","1.83","1.98"
"70084","02-03-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Dundee Utd","2.04","3.46","3.67","1.04","11.00","1.27","3.75","1.95","1.91","3.30","1.34","6.11","1.13","1.78","2.04"
"70085","02-03-25 13:30","Scotland","Premiership","2024/2025","Hibernian","Hearts","2.43","3.33","2.94","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.68","2.18"
"70086","01-03-25 18:30","Scotland","Premiership","2024/2025","St. Mirren","Celtic","7.97","5.73","1.33","1.02","15.00","1.21","4.50","1.62","2.30","2.59","1.50","4.56","1.20","2.04","1.78"
"70087","01-03-25 16:00","Scotland","Premiership","2024/2025","Dundee FC","St Johnstone","2.32","3.33","3.13","1.05","10.00","1.30","3.50","1.95","1.91","3.30","1.34","6.55","1.11","1.78","2.04"
"70088","01-03-25 16:00","Scotland","Premiership","2024/2025","Rangers","Motherwell","1.14","8.07","20.00","1.02","19.00","1.11","6.50","1.35","3.20","1.95","1.91","3.13","1.37","2.15","1.70"
"70089","01-03-25 16:00","Scotland","Premiership","2024/2025","Ross County","Kilmarnock","3.10","3.10","2.45","1.08","8.00","1.39","3.00","2.31","1.62","4.27","1.22","8.41","1.07","1.98","1.83"
"70090","26-02-25 21:00","Scotland","Premiership","2024/2025","Kilmarnock","Rangers","6.77","4.50","1.46","1.02","15.00","1.21","4.50","1.62","2.30","2.50","1.54","4.56","1.20","1.78","2.04"
"70091","26-02-25 20:45","Scotland","Premiership","2024/2025","Dundee Utd","Hibernian","2.84","3.28","2.53","1.06","9.00","1.39","3.00","2.29","1.67","4.27","1.22","8.41","1.07","1.90","1.90"
"70092","26-02-25 20:45","Scotland","Premiership","2024/2025","Hearts","St. Mirren","1.78","3.78","4.41","1.04","11.00","1.30","3.50","1.95","1.91","3.30","1.34","6.55","1.11","1.90","1.90"
"70093","26-02-25 20:45","Scotland","Premiership","2024/2025","Motherwell","Dundee FC","2.32","3.43","3.03","1.05","10.00","1.30","3.50","2.08","1.80","3.53","1.30","6.55","1.11","1.78","2.04"
"70094","26-02-25 20:45","Scotland","Premiership","2024/2025","St Johnstone","Ross County","2.45","3.10","3.10","1.08","8.00","1.45","2.75","2.31","1.62","4.27","1.22","8.41","1.07","1.98","1.83"
"70095","25-02-25 21:00","Scotland","Premiership","2024/2025","Celtic","Aberdeen","1.14","9.22","14.80","1.01","22.00","1.10","7.00","1.32","3.40","1.86","2.00","2.78","1.45","1.96","1.85"
"70096","23-02-25 13:00","Scotland","Premiership","2024/2025","St Johnstone","Hearts","4.25","3.54","1.87","","","1.25","3.95","1.86","2.01","3.25","1.27","5.82","1.05","1.72","2.12"
"70097","22-02-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Kilmarnock","2.11","3.31","3.61","1.04","10.00","1.30","3.50","1.95","1.91","3.30","1.34","6.55","1.11","1.78","2.04"
"70098","22-02-25 16:00","Scotland","Premiership","2024/2025","Dundee Utd","Motherwell","1.72","3.65","5.06","1.04","10.00","1.27","3.75","1.95","1.91","3.30","1.34","6.11","1.13","1.90","1.90"
"70099","22-02-25 16:00","Scotland","Premiership","2024/2025","Rangers","St. Mirren","1.18","6.65","17.40","1.01","16.50","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","2.10","1.74"
"70100","22-02-25 16:00","Scotland","Premiership","2024/2025","Ross County","Dundee FC","2.32","3.22","3.22","1.05","9.00","1.32","3.40","2.19","1.73","3.64","1.29","7.73","1.09","1.83","1.98"
"70101","22-02-25 13:30","Scotland","Premiership","2024/2025","Hibernian","Celtic","7.42","4.27","1.46","1.03","13.30","1.19","4.74","1.61","2.32","2.47","1.54","4.34","1.22","1.78","2.03"
"70102","16-02-25 15:00","Scotland","Premiership","2024/2025","St. Mirren","Hibernian","2.79","3.13","2.67","1.06","8.00","1.39","3.00","2.29","1.67","3.96","1.25","7.73","1.09","1.90","1.90"
"70103","16-02-25 13:00","Scotland","Premiership","2024/2025","Hearts","Rangers","5.34","4.14","1.61","1.02","14.30","1.19","4.74","1.57","2.42","2.38","1.58","4.34","1.22","1.65","2.24"
"70104","15-02-25 16:00","Scotland","Premiership","2024/2025","Celtic","Dundee Utd","1.20","7.09","13.20","1.01","17.50","1.13","6.00","1.39","3.00","2.08","1.80","3.30","1.34","2.04","1.78"
"70105","15-02-25 16:00","Scotland","Premiership","2024/2025","Dundee FC","Aberdeen","2.66","3.55","2.54","1.02","13.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.70","2.15"
"70106","15-02-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","St Johnstone","1.86","3.46","4.41","1.06","8.00","1.39","3.00","2.29","1.67","3.96","1.25","7.73","1.09","2.04","1.78"
"70107","15-02-25 16:00","Scotland","Premiership","2024/2025","Motherwell","Ross County","2.05","3.07","4.20","1.06","8.00","1.35","3.20","2.29","1.67","3.96","1.25","7.73","1.09","1.90","1.90"
"70108","05-02-25 20:45","Scotland","Premiership","2024/2025","Celtic","Dundee FC","1.08","11.10","29.00","1.01","27.00","1.06","9.00","1.25","4.00","1.67","2.20","2.41","1.57","2.22","1.66"
"70109","02-02-25 16:00","Scotland","Premiership","2024/2025","Motherwell","Celtic","12.50","7.53","1.19","1.01","16.50","1.17","5.00","1.49","2.63","2.21","1.67","3.64","1.29","2.15","1.70"
"70110","02-02-25 16:00","Scotland","Premiership","2024/2025","Rangers","Ross County","1.10","10.30","22.00","1.01","22.00","1.11","6.50","1.35","3.20","1.95","1.91","2.96","1.40","2.42","1.57"
"70111","01-02-25 18:45","Scotland","Premiership","2024/2025","Kilmarnock","Dundee Utd","2.38","3.50","2.89","1.03","11.00","1.30","3.50","2.08","1.80","3.53","1.30","6.55","1.11","1.85","1.96"
"70112","01-02-25 16:00","Scotland","Premiership","2024/2025","Dundee FC","Hearts","3.26","3.41","2.21","1.03","11.00","1.25","4.00","1.95","1.91","3.13","1.37","6.11","1.13","1.74","2.10"
"70113","01-02-25 16:00","Scotland","Premiership","2024/2025","Hibernian","Aberdeen","1.78","3.66","4.58","1.03","11.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","1.78","2.04"
"70114","01-02-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","St Johnstone","1.83","3.46","4.58","1.05","9.00","1.35","3.20","2.29","1.67","3.96","1.25","7.73","1.09","2.04","1.78"
"70115","26-01-25 13:00","Scotland","Premiership","2024/2025","Dundee Utd","Rangers","5.56","4.25","1.57","1.03","13.80","1.19","4.74","1.57","2.42","2.38","1.58","4.06","1.24","1.65","2.24"
"70116","25-01-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","St. Mirren","1.99","3.60","3.68","1.01","9.75","1.26","3.32","1.94","1.86","3.25","1.27","6.40","1.05","1.76","2.01"
"70117","25-01-25 16:00","Scotland","Premiership","2024/2025","Hearts","Kilmarnock","1.89","3.60","4.10","1.02","8.30","1.30","3.08","2.01","1.80","3.32","1.26","6.25","1.06","1.85","1.91"
"70118","25-01-25 16:00","Scotland","Premiership","2024/2025","Ross County","Hibernian","3.92","3.54","1.94","1.02","8.10","1.31","3.02","2.06","1.76","3.48","1.24","6.55","1.05","1.86","1.90"
"70119","25-01-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Motherwell","2.10","3.28","3.69","1.04","7.10","1.36","2.78","2.20","1.67","3.72","1.21","7.20","1.04","1.90","1.86"
"70120","15-01-25 21:00","Scotland","Premiership","2024/2025","Rangers","Aberdeen","1.20","7.09","12.70","1.02","19.00","1.11","6.50","1.39","3.00","2.08","1.80","3.13","1.37","1.90","1.90"
"70121","14-01-25 21:00","Scotland","Premiership","2024/2025","Dundee FC","Celtic","11.70","7.05","1.21","1.01","17.50","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","2.02","1.80"
"70122","12-01-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Hearts","2.62","3.43","2.65","1.03","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.70","2.15"
"70123","12-01-25 16:00","Scotland","Premiership","2024/2025","Rangers","St Johnstone","1.12","8.70","21.00","1.01","23.00","1.08","8.00","1.30","3.50","1.86","2.00","2.78","1.45","2.10","1.74"
"70124","11-01-25 16:00","Scotland","Premiership","2024/2025","Hibernian","Motherwell","1.50","4.39","6.33","1.02","13.00","1.25","4.00","1.78","2.10","2.96","1.40","5.11","1.17","1.90","1.90"
"70125","11-01-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Dundee Utd","2.63","3.04","2.91","1.09","7.00","1.45","2.75","2.41","1.57","4.56","1.20","9.01","1.06","1.98","1.83"
"70126","11-01-25 13:30","Scotland","Premiership","2024/2025","Ross County","Celtic","14.70","6.08","1.22","1.01","16.50","1.17","5.00","1.49","2.63","2.31","1.62","3.96","1.25","2.10","1.74"
"70127","09-01-25 21:00","Scotland","Premiership","2024/2025","Dundee FC","Rangers","9.24","6.04","1.29","1.01","16.50","1.15","5.50","1.45","2.75","2.19","1.73","3.53","1.30","1.76","2.06"
"70128","08-01-25 20:45","Scotland","Premiership","2024/2025","Celtic","Dundee Utd","1.14","8.19","18.50","1.02","19.50","1.12","6.28","1.36","3.14","1.99","1.88","3.17","1.36","2.16","1.70"
"70129","08-01-25 20:45","Scotland","Premiership","2024/2025","Kilmarnock","Motherwell","1.85","3.54","4.39","1.05","9.00","1.35","3.20","2.19","1.73","3.64","1.29","7.73","1.09","1.90","1.90"
"70130","05-01-25 16:00","Scotland","Premiership","2024/2025","Celtic","St. Mirren","1.15","9.09","13.10","1.02","18.50","1.14","5.76","1.42","2.88","2.10","1.79","3.38","1.32","2.22","1.66"
"70131","05-01-25 16:00","Scotland","Premiership","2024/2025","Dundee Utd","Hearts","2.48","3.29","2.90","1.05","9.00","1.32","3.40","2.08","1.80","3.64","1.29","6.97","1.10","1.83","1.98"
"70132","05-01-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Ross County","1.60","3.93","5.84","1.05","9.00","1.32","3.40","2.08","1.80","3.64","1.29","6.97","1.10","2.10","1.74"
"70133","05-01-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Dundee FC","2.57","3.32","2.77","1.03","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.70","2.15"
"70134","05-01-25 15:30","Scotland","Premiership","2024/2025","Motherwell","Aberdeen","2.86","3.26","2.53","1.04","10.00","1.30","3.50","2.08","1.80","3.53","1.30","6.55","1.11","1.72","2.12"
"70135","05-01-25 13:00","Scotland","Premiership","2024/2025","Hibernian","Rangers","6.16","4.48","1.54","1.02","14.30","1.20","4.71","1.55","2.49","2.43","1.58","4.18","1.24","1.68","2.18"
"70136","02-01-25 18:30","Scotland","Premiership","2024/2025","Dundee FC","Dundee Utd","3.07","3.48","2.37","1.03","11.50","1.24","4.19","1.81","2.10","2.88","1.43","5.56","1.15","1.60","2.34"
"70137","02-01-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Ross County","1.73","3.86","5.06","1.02","11.50","1.24","4.19","1.81","2.10","2.88","1.43","5.56","1.15","1.72","2.12"
"70138","02-01-25 16:00","Scotland","Premiership","2024/2025","Hearts","Motherwell","1.72","3.86","5.15","1.03","11.50","1.26","3.93","1.89","2.00","3.23","1.36","6.05","1.14","1.83","1.98"
"70139","02-01-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","St. Mirren","2.26","3.28","3.48","1.05","9.00","1.33","3.40","2.21","1.73","3.71","1.29","7.24","1.10","1.76","2.06"
"70140","02-01-25 16:00","Scotland","Premiership","2024/2025","Rangers","Celtic","3.30","3.70","2.16","1.02","14.30","1.17","5.29","1.54","2.51","2.31","1.63","4.14","1.24","1.49","2.64"
"70141","02-01-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Hibernian","4.07","3.51","1.98","1.03","11.50","1.26","3.93","1.89","2.00","3.05","1.39","6.05","1.14","1.70","2.14"
