"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"86848","26-01-26 21:00","Spain","LaLiga","2025/2026","Girona","Getafe","2.14","3.09","4.16","1.13","6.32","1.54","2.50","2.69","1.48","5.53","1.15","11.10","1.05","2.16","1.70"
"85222","25-01-26 21:00","Spain","LaLiga","2025/2026","Alaves","Betis","2.85","3.08","2.81","1.12","6.67","1.54","2.50","2.66","1.49","4.92","1.18","9.98","1.06","1.96","1.85"
"85216","25-01-26 18:30","Spain","LaLiga","2025/2026","Real Sociedad","Celta Vigo","2.20","3.38","3.58","1.07","9.00","1.36","3.20","2.21","1.73","3.71","1.29","7.24","1.10","1.76","2.06"
"85203","25-01-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Oviedo","1.12","10.90","21.00","1.01","34.00","1.07","9.00","1.26","4.00","1.69","2.20","2.44","1.57","1.83","1.98"
"85188","25-01-26 14:00","Spain","LaLiga","2025/2026","Atl. Madrid","Mallorca","1.33","5.56","10.10","1.03","13.70","1.21","4.56","1.73","2.21","2.86","1.43","5.01","1.18","2.06","1.76"
"84322","24-01-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Real Madrid","4.09","4.10","1.84","1.02","23.00","1.15","5.71","1.43","2.86","2.22","1.73","3.54","1.31","1.45","2.75"
"84310","24-01-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Ath Bilbao","2.68","2.99","3.10","1.11","6.91","1.45","2.79","2.39","1.59","4.41","1.22","8.94","1.07","1.96","1.85"
"84300","24-01-26 16:15","Spain","LaLiga","2025/2026","Valencia","Espanyol","2.45","3.17","3.26","1.10","7.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.98","1.83"
"84255","24-01-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Osasuna","2.27","3.20","3.61","1.10","7.37","1.37","3.16","2.23","1.68","4.16","1.24","8.40","1.08","1.90","1.90"
"83928","23-01-26 21:00","Spain","LaLiga","2025/2026","Levante","Elche","2.35","3.41","3.20","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.65","2.24"
"81005","19-01-26 21:00","Spain","LaLiga","2025/2026","Elche","Sevilla","2.42","3.16","3.31","1.10","7.00","1.46","2.75","2.53","1.54","4.68","1.20","9.48","1.06","1.96","1.85"
"79706","18-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Barcelona","4.92","4.45","1.66","1.01","21.00","1.16","5.50","1.50","2.63","2.21","1.73","3.71","1.29","1.49","2.64"
