"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"13854","25-05-25 21:00","Spain","LaLiga","2024/2025","Ath Bilbao","Barcelona","3.49","4.00","2.03","1.01","22.00","1.14","6.00","1.48","2.75","2.13","1.80","3.43","1.34","1.41","2.94"
"13855","25-05-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Sevilla","1.75","4.42","4.30","1.02","17.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.57","2.41"
"13856","25-05-25 14:00","Spain","LaLiga","2024/2025","Girona","Atl. Madrid","3.48","3.57","2.16","1.02","17.00","1.19","5.00","1.61","2.38","2.37","1.62","4.14","1.25","1.50","2.58"
"13857","24-05-25 21:00","Spain","LaLiga","2024/2025","Alaves","Osasuna","3.46","3.29","2.28","1.09","8.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.90","1.90"
"13858","24-05-25 21:00","Spain","LaLiga","2024/2025","Getafe","Celta Vigo","4.85","3.88","1.77","1.06","10.00","1.34","3.40","2.13","1.80","3.67","1.30","7.54","1.10","1.90","1.90"
"13859","24-05-25 21:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Mallorca","1.53","4.19","7.29","1.08","9.00","1.34","3.40","2.13","1.80","3.67","1.30","7.54","1.10","2.06","1.76"
"13860","24-05-25 18:30","Spain","LaLiga","2024/2025","Espanyol","Las Palmas","1.44","5.13","7.18","1.03","15.00","1.22","4.50","1.65","2.30","2.66","1.50","4.80","1.20","1.83","1.98"
"13861","24-05-25 18:30","Spain","LaLiga","2024/2025","Leganes","Valladolid","1.36","5.60","8.65","1.02","17.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.83","1.98"
"13862","24-05-25 16:15","Spain","LaLiga","2024/2025","Real Madrid","Real Sociedad","1.40","5.64","7.18","1.01","23.00","1.11","7.00","1.34","3.40","1.90","2.00","2.86","1.45","1.52","2.54"
"13863","23-05-25 21:00","Spain","LaLiga","2024/2025","Betis","Valencia","1.94","3.98","3.78","1.02","17.00","1.19","5.00","1.61","2.38","2.37","1.62","4.14","1.25","1.49","2.64"
"13864","18-05-25 19:00","Spain","LaLiga","2024/2025","Atl. Madrid","Betis","1.57","4.44","5.90","1.03","15.00","1.22","4.50","1.65","2.30","2.66","1.50","4.80","1.20","1.68","2.18"
"13865","18-05-25 19:00","Spain","LaLiga","2024/2025","Barcelona","Villarreal","1.70","4.60","4.41","1.01","26.00","1.08","9.00","1.26","4.00","1.65","2.30","2.47","1.57","1.30","3.54"
"13866","18-05-25 19:00","Spain","LaLiga","2024/2025","Celta Vigo","Rayo Vallecano","1.94","3.58","4.20","1.06","10.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.72","2.12"
"13867","18-05-25 19:00","Spain","LaLiga","2024/2025","Las Palmas","Leganes","3.11","3.57","2.33","1.04","13.00","1.26","4.00","1.90","2.00","3.06","1.40","6.00","1.14","1.70","2.15"
"13868","18-05-25 19:00","Spain","LaLiga","2024/2025","Mallorca","Getafe","2.62","2.95","3.23","1.19","5.00","1.82","2.10","3.24","1.37","7.06","1.11","14.10","1.03","2.42","1.57"
"13869","18-05-25 19:00","Spain","LaLiga","2024/2025","Osasuna","Espanyol","1.99","3.37","4.30","1.08","9.00","1.34","3.40","2.13","1.80","3.67","1.30","7.54","1.10","1.76","2.06"
"13870","18-05-25 19:00","Spain","LaLiga","2024/2025","Real Sociedad","Girona","1.77","3.69","5.13","1.04","13.00","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","1.70","2.15"
"13871","18-05-25 19:00","Spain","LaLiga","2024/2025","Sevilla","Real Madrid","3.35","3.80","2.13","1.02","17.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.49","2.64"
"13872","18-05-25 19:00","Spain","LaLiga","2024/2025","Valencia","Ath Bilbao","2.57","2.98","3.28","1.11","7.00","1.48","2.75","2.47","1.57","4.48","1.22","9.99","1.06","1.90","1.90"
"13873","18-05-25 19:00","Spain","LaLiga","2024/2025","Valladolid","Alaves","6.15","3.79","1.66","1.08","9.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","2.10","1.74"
"13874","15-05-25 21:30","Spain","LaLiga","2024/2025","Espanyol","Barcelona","8.11","5.91","1.35","1.01","29.00","1.11","7.00","1.34","3.40","1.90","2.00","2.86","1.45","1.61","2.33"
"13875","15-05-25 21:30","Spain","LaLiga","2024/2025","Getafe","Ath Bilbao","3.34","2.66","2.81","1.22","4.51","1.92","1.98","3.64","1.30","8.13","1.09","15.70","1.03","2.55","1.52"
"13876","15-05-25 19:00","Spain","LaLiga","2024/2025","Osasuna","Atl. Madrid","3.77","3.49","2.09","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","7.06","1.11","1.72","2.12"
"13877","15-05-25 19:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Betis","3.41","3.33","2.29","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","6.54","1.13","1.68","2.18"
"13878","14-05-25 21:30","Spain","LaLiga","2024/2025","Real Madrid","Mallorca","1.46","4.87","7.01","1.03","15.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.72","2.12"
"13879","14-05-25 19:00","Spain","LaLiga","2024/2025","Alaves","Valencia","2.38","2.94","3.70","1.15","5.79","1.59","2.42","2.91","1.43","5.71","1.15","11.90","1.05","2.22","1.66"
"13880","14-05-25 19:00","Spain","LaLiga","2024/2025","Villarreal","Leganes","1.33","6.13","8.69","1.03","17.00","1.19","5.00","1.51","2.63","2.37","1.62","4.14","1.25","1.83","1.98"
"13881","13-05-25 21:30","Spain","LaLiga","2024/2025","Sevilla","Las Palmas","1.73","3.88","5.17","1.05","11.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.76","2.06"
"13882","13-05-25 20:00","Spain","LaLiga","2024/2025","Real Sociedad","Celta Vigo","2.30","3.33","3.38","1.06","10.00","1.29","3.75","1.99","1.91","3.24","1.37","6.54","1.13","1.68","2.18"
"13883","13-05-25 19:00","Spain","LaLiga","2024/2025","Valladolid","Girona","4.63","4.11","1.75","","","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","1.68","2.18"
"13884","11-05-25 21:00","Spain","LaLiga","2024/2025","Betis","Osasuna","1.65","4.19","5.36","1.04","13.00","1.23","4.33","1.70","2.20","2.86","1.45","5.41","1.17","1.68","2.18"
"13885","11-05-25 18:30","Spain","LaLiga","2024/2025","Ath Bilbao","Alaves","2.06","2.99","4.75","1.19","5.00","1.82","2.10","3.24","1.37","7.06","1.11","15.10","1.03","2.44","1.56"
"13886","11-05-25 16:15","Spain","LaLiga","2024/2025","Barcelona","Real Madrid","1.94","4.43","3.48","1.01","26.00","1.07","9.47","1.25","4.21","1.64","2.32","2.45","1.58","1.29","3.63"
"13887","11-05-25 14:00","Spain","LaLiga","2024/2025","Leganes","Espanyol","2.42","3.29","3.19","1.08","9.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","1.83","1.98"
"13888","10-05-25 21:00","Spain","LaLiga","2024/2025","Atl. Madrid","Real Sociedad","1.78","3.62","5.18","1.08","9.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","1.89","1.92"
"13889","10-05-25 18:30","Spain","LaLiga","2024/2025","Girona","Villarreal","3.03","3.73","2.31","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.53","2.53"
"13890","10-05-25 18:30","Spain","LaLiga","2024/2025","Mallorca","Valladolid","1.35","5.56","9.11","1.05","11.00","1.29","3.75","1.90","2.00","3.24","1.37","6.00","1.14","2.16","1.70"
"13891","10-05-25 16:15","Spain","LaLiga","2024/2025","Celta Vigo","Sevilla","1.89","3.66","4.41","1.06","9.65","1.34","3.43","2.02","1.89","3.27","1.36","6.68","1.12","1.78","2.03"
"13892","10-05-25 14:00","Spain","LaLiga","2024/2025","Valencia","Getafe","2.01","3.17","4.61","1.12","6.84","1.47","2.77","2.45","1.58","4.57","1.22","9.52","1.07","2.02","1.80"
"13893","09-05-25 21:00","Spain","LaLiga","2024/2025","Las Palmas","Rayo Vallecano","2.70","3.19","2.88","1.09","8.00","1.37","3.20","2.35","1.67","4.14","1.25","8.45","1.09","1.83","1.98"
"13894","05-05-25 21:00","Spain","LaLiga","2024/2025","Girona","Mallorca","2.10","3.34","3.91","1.08","9.00","1.37","3.20","2.35","1.67","4.14","1.25","8.45","1.09","1.90","1.90"
"13895","04-05-25 21:00","Spain","LaLiga","2024/2025","Real Sociedad","Ath Bilbao","2.65","2.98","3.16","1.13","6.32","1.51","2.63","2.73","1.48","5.15","1.18","10.70","1.06","2.06","1.76"
"13896","04-05-25 18:30","Spain","LaLiga","2024/2025","Espanyol","Betis","3.49","3.16","2.34","1.08","9.00","1.34","3.40","2.13","1.80","3.67","1.30","7.54","1.10","1.72","2.12"
"13897","04-05-25 16:15","Spain","LaLiga","2024/2025","Sevilla","Leganes","1.68","3.81","5.84","1.09","8.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","2.02","1.80"
"13898","04-05-25 14:00","Spain","LaLiga","2024/2025","Real Madrid","Celta Vigo","1.38","5.86","7.50","1.01","28.00","1.13","6.50","1.34","3.40","1.99","1.91","3.06","1.40","1.53","2.53"
"13899","03-05-25 21:00","Spain","LaLiga","2024/2025","Valladolid","Barcelona","9.22","5.41","1.36","1.01","23.00","1.14","6.00","1.48","2.75","2.24","1.73","3.67","1.30","1.65","2.24"
"13900","03-05-25 18:30","Spain","LaLiga","2024/2025","Las Palmas","Valencia","2.62","3.18","2.98","1.08","9.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","1.76","2.06"
"13901","03-05-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Osasuna","1.46","4.87","7.18","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.48","1.22","1.76","2.06"
"13902","03-05-25 14:00","Spain","LaLiga","2024/2025","Alaves","Atl. Madrid","4.15","3.34","2.04","1.09","8.00","1.48","2.75","2.37","1.62","4.48","1.22","9.26","1.07","1.96","1.85"
"13903","02-05-25 21:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Getafe","2.42","3.05","3.46","1.14","6.00","1.61","2.38","2.86","1.45","6.00","1.14","12.50","1.04","2.16","1.70"
"13904","27-04-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Espanyol","1.43","5.39","6.91","1.02","17.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.76","2.06"
"13905","24-04-25 21:30","Spain","LaLiga","2024/2025","Atl. Madrid","Rayo Vallecano","1.53","4.23","7.06","1.05","11.50","1.28","3.91","1.92","1.98","3.12","1.39","6.29","1.14","1.90","1.90"
"13906","24-04-25 21:30","Spain","LaLiga","2024/2025","Betis","Valladolid","1.16","9.68","15.70","1.02","25.00","1.13","6.50","1.37","3.20","1.99","1.91","3.24","1.37","1.90","1.90"
"13907","24-04-25 19:00","Spain","LaLiga","2024/2025","Leganes","Girona","3.34","3.08","2.46","1.09","8.00","1.37","3.20","2.24","1.73","3.79","1.29","8.45","1.09","1.76","2.06"
"13908","24-04-25 19:00","Spain","LaLiga","2024/2025","Osasuna","Sevilla","2.35","3.07","3.58","1.12","6.84","1.47","2.77","2.45","1.58","4.57","1.22","10.70","1.06","2.02","1.80"
"13909","23-04-25 21:30","Spain","LaLiga","2024/2025","Alaves","Real Sociedad","2.41","3.16","3.34","1.13","6.50","1.56","2.50","2.66","1.50","5.41","1.17","11.20","1.05","2.06","1.76"
"13910","23-04-25 21:30","Spain","LaLiga","2024/2025","Getafe","Real Madrid","6.50","3.81","1.63","1.09","8.42","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","2.06","1.76"
"13911","23-04-25 19:00","Spain","LaLiga","2024/2025","Ath Bilbao","Las Palmas","1.42","5.13","7.70","1.05","11.00","1.29","3.75","1.90","2.00","3.24","1.37","6.54","1.13","2.16","1.70"
"13912","23-04-25 19:00","Spain","LaLiga","2024/2025","Celta Vigo","Villarreal","2.43","3.57","2.96","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.80","1.20","1.53","2.53"
"13913","22-04-25 21:30","Spain","LaLiga","2024/2025","Barcelona","Mallorca","1.32","5.74","10.40","1.03","15.00","1.19","5.00","1.61","2.38","2.47","1.57","4.48","1.22","1.83","1.98"
"13914","22-04-25 19:00","Spain","LaLiga","2024/2025","Valencia","Espanyol","2.01","3.39","4.21","1.09","8.00","1.41","3.00","2.35","1.67","4.14","1.25","8.45","1.09","1.89","1.92"
"13915","21-04-25 21:00","Spain","LaLiga","2024/2025","Girona","Betis","2.81","3.39","2.64","1.05","11.00","1.26","4.00","1.90","2.00","3.06","1.40","6.00","1.14","1.65","2.24"
"13916","20-04-25 21:00","Spain","LaLiga","2024/2025","Real Madrid","Ath Bilbao","1.46","4.63","7.71","1.05","11.60","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.90","1.90"
"13917","20-04-25 18:30","Spain","LaLiga","2024/2025","Sevilla","Alaves","2.09","3.05","4.45","1.13","6.32","1.51","2.63","2.54","1.54","5.15","1.18","10.70","1.06","2.06","1.76"
"13918","20-04-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Real Sociedad","1.70","4.18","4.90","1.03","13.70","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.72","2.12"
"13919","20-04-25 14:00","Spain","LaLiga","2024/2025","Valladolid","Osasuna","5.60","3.58","1.74","1.10","7.62","1.40","3.05","2.36","1.66","3.99","1.26","7.94","1.09","1.89","1.92"
"13920","19-04-25 21:00","Spain","LaLiga","2024/2025","Las Palmas","Atl. Madrid","5.94","4.00","1.63","1.06","10.50","1.30","3.68","1.90","2.01","3.27","1.36","6.73","1.12","1.90","1.90"
"13921","19-04-25 18:30","Spain","LaLiga","2024/2025","Mallorca","Leganes","1.89","3.09","5.66","1.15","5.79","1.69","2.32","2.91","1.43","6.23","1.14","13.50","1.03","2.44","1.56"
"13922","19-04-25 16:15","Spain","LaLiga","2024/2025","Barcelona","Celta Vigo","1.26","7.12","10.10","1.01","26.00","1.09","8.42","1.27","3.95","1.74","2.21","2.54","1.54","1.60","2.34"
"13923","19-04-25 14:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Valencia","2.46","3.25","3.17","1.09","8.42","1.38","3.16","2.24","1.73","3.94","1.27","8.82","1.08","1.90","1.90"
"13924","18-04-25 21:00","Spain","LaLiga","2024/2025","Espanyol","Getafe","2.82","2.69","3.28","1.18","5.26","1.74","2.21","3.27","1.36","7.18","1.11","14.40","1.03","2.31","1.62"
"13925","14-04-25 21:00","Spain","LaLiga","2024/2025","Atl. Madrid","Valladolid","1.09","9.00","26.00","1.02","15.80","1.15","5.79","1.44","2.90","2.14","1.80","3.61","1.31","2.71","1.46"
"13926","13-04-25 21:00","Spain","LaLiga","2024/2025","Ath Bilbao","Rayo Vallecano","1.88","3.20","5.37","1.12","6.84","1.47","2.77","2.45","1.58","4.57","1.22","9.52","1.07","2.06","1.76"
"13927","13-04-25 18:30","Spain","LaLiga","2024/2025","Betis","Villarreal","2.14","3.58","3.51","1.03","13.70","1.25","4.21","1.82","2.10","2.91","1.43","5.15","1.18","1.60","2.34"
"13928","13-04-25 16:15","Spain","LaLiga","2024/2025","Alaves","Real Madrid","5.20","3.91","1.71","1.05","11.60","1.27","3.95","1.82","2.10","3.09","1.39","5.71","1.15","1.76","2.06"
"13929","13-04-25 14:00","Spain","LaLiga","2024/2025","Osasuna","Girona","2.58","3.30","3.09","1.03","7.70","1.36","2.95","2.24","1.76","3.82","1.23","7.50","1.04","1.84","1.92"
"13930","12-04-25 21:00","Spain","LaLiga","2024/2025","Leganes","Barcelona","10.20","6.98","1.27","1.01","21.00","1.15","5.79","1.44","2.90","2.14","1.80","3.50","1.33","1.86","1.95"
"13931","12-04-25 18:30","Spain","LaLiga","2024/2025","Celta Vigo","Espanyol","1.67","3.83","5.89","1.07","9.47","1.31","3.58","2.03","1.88","3.50","1.33","7.18","1.11","1.96","1.85"
"13932","12-04-25 16:15","Spain","LaLiga","2024/2025","Getafe","Las Palmas","1.70","3.81","5.63","1.09","8.42","1.38","3.16","2.26","1.67","4.26","1.24","8.82","1.08","2.16","1.70"
"13933","12-04-25 14:00","Spain","LaLiga","2024/2025","Real Sociedad","Mallorca","2.04","3.24","4.33","1.14","6.19","1.56","2.50","2.70","1.49","5.70","1.16","11.80","1.05","2.06","1.76"
"13934","11-04-25 21:00","Spain","LaLiga","2024/2025","Valencia","Sevilla","2.33","3.16","3.50","1.10","7.37","1.44","2.90","2.45","1.58","4.57","1.22","9.52","1.07","1.96","1.85"
