"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"86842","26-01-26 18:00","Turkey","Super Lig","2025/2026","Eyupspor","Besiktas","9.58","6.57","1.29","1.01","21.00","1.10","6.84","1.36","3.16","1.98","1.88","3.15","1.36","1.70","2.16"
"85215","25-01-26 18:00","Turkey","Super Lig","2025/2026","Fenerbahce","Goztepe","1.46","4.62","7.56","1.02","13.70","1.23","4.21","1.78","2.10","2.82","1.43","5.36","1.16","1.81","2.00"
"85198","25-01-26 15:00","Turkey","Super Lig","2025/2026","Antalyaspor","Genclerbirligi","2.83","3.39","2.62","1.06","9.00","1.39","3.00","2.29","1.67","3.96","1.25","8.41","1.07","1.90","1.90"
"85199","25-01-26 15:00","Turkey","Super Lig","2025/2026","Rizespor","Alanyaspor","1.94","3.58","4.20","1.06","9.00","1.32","3.40","2.08","1.80","3.53","1.30","6.97","1.10","1.90","1.90"
"85183","25-01-26 12:30","Turkey","Super Lig","2025/2026","Gaziantep","Konyaspor","2.21","3.53","3.39","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.25"
"84307","24-01-26 18:00","Turkey","Super Lig","2025/2026","Karagumruk","Galatasaray","11.50","7.09","1.25","1.01","22.00","1.13","5.91","1.46","2.73","2.11","1.78","3.33","1.33","1.85","1.95"
"84263","24-01-26 15:00","Turkey","Super Lig","2025/2026","Samsunspor","Kocaelispor","2.38","3.09","3.47","1.13","6.00","1.58","2.38","2.78","1.45","5.63","1.14","11.00","1.04","2.14","1.71"
"84241","24-01-26 12:30","Turkey","Super Lig","2025/2026","Kayserispor","Basaksehir","3.51","3.59","2.14","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.59","2.36"
"83914","23-01-26 18:00","Turkey","Super Lig","2025/2026","Trabzonspor","Kasimpasa","1.63","4.25","5.46","1.01","14.60","1.16","5.32","1.58","2.39","2.36","1.59","4.03","1.25","1.59","2.36"
"80998","19-01-26 18:00","Turkey","Super Lig","2025/2026","Besiktas","Kayserispor","1.42","5.26","7.27","1.02","21.00","1.12","6.32","1.42","2.90","2.09","1.80","3.36","1.33","1.56","2.43"
"80999","19-01-26 18:00","Turkey","Super Lig","2025/2026","Goztepe","Rizespor","2.06","3.19","4.33","1.09","7.37","1.42","2.90","2.38","1.58","4.34","1.22","8.58","1.07","1.95","1.85"
"80997","19-01-26 15:00","Turkey","Super Lig","2025/2026","Konyaspor","Eyupspor","1.44","4.99","7.35","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","2.05","1.77"
"79699","18-01-26 18:00","Turkey","Super Lig","2025/2026","Alanyaspor","Fenerbahce","5.72","4.48","1.58","1.03","11.70","1.28","3.72","1.92","1.94","3.33","1.33","6.18","1.12","1.95","1.85"
"79686","18-01-26 15:00","Turkey","Super Lig","2025/2026","Genclerbirligi","Samsunspor","2.37","3.19","3.39","1.08","8.00","1.45","2.75","2.41","1.57","4.27","1.22","9.01","1.06","1.96","1.85"
"79687","18-01-26 15:00","Turkey","Super Lig","2025/2026","Kocaelispor","Trabzonspor","2.66","3.42","2.77","1.06","9.00","1.34","3.25","2.19","1.73","3.64","1.29","7.73","1.09","1.85","1.96"
"79674","18-01-26 12:30","Turkey","Super Lig","2025/2026","Kasimpasa","Antalyaspor","2.11","3.31","3.92","1.08","8.00","1.39","3.00","2.29","1.67","3.96","1.25","8.41","1.07","1.81","2.00"
"79649","17-01-26 18:00","Turkey","Super Lig","2025/2026","Galatasaray","Gaziantep","1.20","7.97","14.60","1.01","23.00","1.10","7.00","1.34","3.25","2.04","1.83","3.13","1.37","1.85","1.96"
"79604","17-01-26 15:00","Turkey","Super Lig","2025/2026","Basaksehir","Karagumruk","1.50","4.65","6.72","1.02","15.00","1.21","4.50","1.67","2.20","2.59","1.50","4.84","1.18","1.85","1.96"
"75499","22-12-25 18:00","Turkey","Super Lig","2025/2026","Genclerbirligi","Trabzonspor","3.37","3.47","2.25","1.04","11.60","1.25","3.95","1.94","1.92","3.15","1.36","5.82","1.14","1.64","2.26"
"75500","22-12-25 15:00","Turkey","Super Lig","2025/2026","Basaksehir","Gaziantep","1.65","4.25","5.33","1.01","14.60","1.19","4.74","1.61","2.32","2.47","1.54","4.34","1.22","1.59","2.36"
"75492","21-12-25 18:00","Turkey","Super Lig","2025/2026","Galatasaray","Kasimpasa","1.25","8.07","9.68","1.01","27.00","1.08","8.00","1.32","3.40","1.95","1.91","2.96","1.40","1.77","2.05"
"75493","21-12-25 18:00","Turkey","Super Lig","2025/2026","Goztepe","Samsunspor","2.26","3.00","3.92","1.13","6.00","1.58","2.38","2.78","1.45","5.63","1.14","11.00","1.04","2.25","1.65"
"75494","21-12-25 12:30","Turkey","Super Lig","2025/2026","Alanyaspor","Karagumruk","1.78","3.62","5.18","1.06","9.00","1.32","3.40","2.19","1.73","3.64","1.29","6.97","1.10","1.90","1.90"
"75456","20-12-25 18:00","Turkey","Super Lig","2025/2026","Besiktas","Rizespor","1.83","4.04","4.25","1.01","15.50","1.16","5.26","1.53","2.50","2.29","1.63","4.06","1.24","1.48","2.66"
"75457","20-12-25 15:00","Turkey","Super Lig","2025/2026","Eyupspor","Fenerbahce","6.76","4.88","1.48","1.01","14.60","1.19","4.74","1.61","2.32","2.47","1.54","4.61","1.20","1.81","2.01"
"75458","20-12-25 12:30","Turkey","Super Lig","2025/2026","Konyaspor","Kayserispor","2.08","3.65","3.63","1.03","13.00","1.22","4.33","1.74","2.10","2.78","1.45","5.11","1.17","1.62","2.31"
"75377","19-12-25 18:00","Turkey","Super Lig","2025/2026","Kocaelispor","Antalyaspor","1.74","3.70","5.38","1.08","8.00","1.45","2.75","2.41","1.57","4.56","1.20","9.01","1.06","2.14","1.71"
"75360","15-12-25 18:00","Turkey","Super Lig","2025/2026","Fenerbahce","Konyaspor","1.24","7.48","11.30","1.02","20.00","1.16","5.32","1.48","2.66","2.27","1.64","3.73","1.28","1.95","1.85"
"75345","14-12-25 18:00","Turkey","Super Lig","2025/2026","Samsunspor","Basaksehir","2.12","3.61","3.54","1.03","13.00","1.25","4.00","1.95","1.91","3.13","1.37","6.11","1.13","1.70","2.15"
"75346","14-12-25 18:00","Turkey","Super Lig","2025/2026","Trabzonspor","Besiktas","2.74","3.50","2.63","1.02","13.70","1.20","4.56","1.66","2.21","2.65","1.49","4.87","1.18","1.56","2.43"
"75347","14-12-25 15:00","Turkey","Super Lig","2025/2026","Karagumruk","Kocaelispor","3.91","3.13","2.19","1.10","7.00","1.49","2.63","2.50","1.54","4.84","1.18","9.97","1.05","2.05","1.77"
"75348","14-12-25 12:30","Turkey","Super Lig","2025/2026","Gaziantep","Goztepe","3.70","3.37","2.16","1.06","9.00","1.32","3.40","2.08","1.80","3.53","1.30","6.97","1.10","1.70","2.16"
"75304","13-12-25 18:00","Turkey","Super Lig","2025/2026","Antalyaspor","Galatasaray","7.75","5.52","1.39","1.02","19.00","1.15","5.50","1.53","2.50","2.41","1.57","3.96","1.25","1.77","2.05"
"75305","13-12-25 15:00","Turkey","Super Lig","2025/2026","Kayserispor","Alanyaspor","2.94","3.41","2.52","1.05","10.00","1.32","3.40","2.19","1.73","3.64","1.29","6.97","1.10","1.85","1.96"
"75306","13-12-25 12:30","Turkey","Super Lig","2025/2026","Rizespor","Eyupspor","1.83","3.84","4.48","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.64","2.26"
"75217","12-12-25 18:00","Turkey","Super Lig","2025/2026","Kasimpasa","Genclerbirligi","2.70","3.42","2.72","1.05","10.00","1.30","3.50","2.04","1.83","3.30","1.34","6.55","1.11","1.77","2.05"
"75149","08-12-25 18:00","Turkey","Super Lig","2025/2026","Alanyaspor","Antalyaspor","1.76","3.73","5.18","1.05","10.00","1.30","3.50","2.08","1.80","3.53","1.30","6.97","1.10","1.90","1.90"
"75150","08-12-25 18:00","Turkey","Super Lig","2025/2026","Besiktas","Gaziantep","1.42","5.52","7.01","1.02","19.00","1.13","6.00","1.49","2.63","2.21","1.67","3.64","1.29","1.64","2.26"
"75128","07-12-25 18:00","Turkey","Super Lig","2025/2026","Goztepe","Trabzonspor","2.19","3.42","3.55","1.05","10.00","1.32","3.40","2.08","1.80","3.53","1.30","6.97","1.10","1.77","2.06"
"75129","07-12-25 15:00","Turkey","Super Lig","2025/2026","Kocaelispor","Kasimpasa","1.73","3.87","5.16","1.06","9.00","1.34","3.25","2.19","1.73","3.96","1.25","7.73","1.09","1.95","1.85"
"75130","07-12-25 12:30","Turkey","Super Lig","2025/2026","Genclerbirligi","Karagumruk","2.05","3.50","3.89","1.05","10.00","1.30","3.50","2.08","1.80","3.53","1.30","6.97","1.10","1.77","2.05"
"75075","06-12-25 18:00","Turkey","Super Lig","2025/2026","Basaksehir","Fenerbahce","4.22","3.70","1.91","1.03","13.00","1.25","4.00","1.78","2.10","2.78","1.45","5.11","1.17","1.59","2.36"
"75076","06-12-25 15:00","Turkey","Super Lig","2025/2026","Konyaspor","Rizespor","3.01","3.37","2.49","1.04","11.00","1.27","3.75","2.04","1.83","3.30","1.34","6.55","1.11","1.64","2.26"
"75077","06-12-25 12:30","Turkey","Super Lig","2025/2026","Eyupspor","Kayserispor","2.01","3.61","3.91","1.04","11.60","1.25","3.95","1.86","2.01","2.98","1.39","5.82","1.14","1.64","2.26"
"75008","05-12-25 18:00","Turkey","Super Lig","2025/2026","Galatasaray","Samsunspor","1.48","4.65","7.07","1.03","18.00","1.14","5.85","1.48","2.66","2.18","1.69","3.73","1.28","1.59","2.36"
"74949","01-12-25 18:00","Turkey","Super Lig","2025/2026","Fenerbahce","Galatasaray","2.43","3.61","2.92","1.03","13.00","1.22","4.33","1.74","2.10","2.78","1.45","4.84","1.18","1.51","2.55"
