"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"60806","01-06-25 18:00","Turkey","Super Lig","2024/2025","Bodrumspor","Besiktas","4.80","4.15","1.66","1.01","16.50","1.17","5.00","1.58","2.38","2.41","1.57","4.27","1.22","1.57","2.41"
"60807","01-06-25 18:00","Turkey","Super Lig","2024/2025","Samsunspor","Kayserispor","1.30","5.28","10.50","1.02","21.00","1.13","6.00","1.49","2.63","2.19","1.73","3.64","1.29","1.78","2.04"
"60808","31-05-25 18:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Gaziantep","5.77","5.55","1.43","1.01","34.00","1.05","10.00","1.25","4.00","1.65","2.25","2.41","1.57","1.41","2.92"
"60809","31-05-25 18:00","Turkey","Super Lig","2024/2025","Alanyaspor","Sivasspor","1.86","4.27","3.56","1.01","21.00","1.11","6.50","1.45","2.75","2.19","1.73","3.30","1.34","1.43","2.82"
"60810","31-05-25 15:00","Turkey","Super Lig","2024/2025","Fenerbahce","Konyaspor","1.29","5.80","9.56","1.01","26.00","1.08","8.00","1.34","3.25","1.95","1.91","2.96","1.40","1.60","2.34"
"60811","31-05-25 15:00","Turkey","Super Lig","2024/2025","Rizespor","Hatayspor","1.27","7.05","8.16","","","1.04","11.00","1.17","5.00","1.49","2.63","2.19","1.73","1.48","2.68"
"60812","30-05-25 19:00","Turkey","Super Lig","2024/2025","Antalyaspor","Trabzonspor","3.09","3.44","2.29","1.02","15.00","1.22","4.33","1.74","2.10","2.78","1.45","5.11","1.17","1.57","2.41"
"60813","30-05-25 19:00","Turkey","Super Lig","2024/2025","Galatasaray","Basaksehir","1.45","5.55","5.57","1.01","27.00","1.08","8.00","1.32","3.40","1.86","2.00","2.78","1.45","1.48","2.68"
"60814","30-05-25 19:00","Turkey","Super Lig","2024/2025","Kasimpasa","Goztepe","2.72","3.80","2.37","1.01","17.50","1.13","6.00","1.45","2.75","2.19","1.73","3.53","1.30","1.43","2.82"
"60815","26-05-25 19:00","Turkey","Super Lig","2024/2025","Hatayspor","Fenerbahce","10.60","7.97","1.20","","","1.03","12.50","1.18","4.81","1.53","2.53","2.28","1.68","1.49","2.64"
"60816","25-05-25 18:00","Turkey","Super Lig","2024/2025","Basaksehir","Adana Demirspor","1.10","10.90","19.40","","","1.04","11.00","1.21","4.50","1.49","2.63","2.19","1.73","1.77","2.05"
"60817","25-05-25 18:00","Turkey","Super Lig","2024/2025","Besiktas","Rizespor","1.41","5.07","7.02","1.02","24.00","1.11","6.50","1.39","3.00","2.08","1.80","3.30","1.34","1.57","2.42"
"60818","25-05-25 18:00","Turkey","Super Lig","2024/2025","Kayserispor","Bodrumspor","3.34","3.59","2.10","1.04","11.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.25"
"60819","25-05-25 18:00","Turkey","Super Lig","2024/2025","Konyaspor","Alanyaspor","2.50","3.51","2.71","1.05","10.00","1.32","3.40","2.08","1.80","3.53","1.30","6.97","1.10","1.77","2.05"
"60820","25-05-25 18:00","Turkey","Super Lig","2024/2025","Trabzonspor","Samsunspor","2.59","3.53","2.61","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.25"
"60821","24-05-25 18:00","Turkey","Super Lig","2024/2025","Gaziantep","Kasimpasa","2.83","3.86","2.27","1.02","21.00","1.13","6.00","1.45","2.75","2.19","1.73","3.53","1.30","1.43","2.82"
"60822","24-05-25 18:00","Turkey","Super Lig","2024/2025","Goztepe","Galatasaray","2.75","4.43","2.16","1.02","24.00","1.13","6.00","1.45","2.75","2.19","1.73","3.53","1.30","1.43","2.82"
"60823","24-05-25 15:00","Turkey","Super Lig","2024/2025","Eyupspor","Antalyaspor","1.89","3.67","3.97","1.03","13.80","1.21","4.51","1.68","2.19","2.67","1.48","4.91","1.18","1.60","2.34"
"60824","18-05-25 18:00","Turkey","Super Lig","2024/2025","Alanyaspor","Besiktas","3.42","3.65","2.06","1.03","13.00","1.25","4.00","1.78","2.10","2.78","1.45","5.11","1.17","1.60","2.34"
"60825","18-05-25 18:00","Turkey","Super Lig","2024/2025","Antalyaspor","Gaziantep","2.49","3.05","3.10","1.04","11.00","1.27","3.75","2.04","1.83","3.13","1.37","6.11","1.13","1.65","2.25"
"60826","18-05-25 18:00","Turkey","Super Lig","2024/2025","Bodrumspor","Trabzonspor","1.89","3.55","4.17","1.05","10.00","1.30","3.50","2.08","1.80","3.53","1.30","6.55","1.11","1.85","1.96"
"60827","18-05-25 18:00","Turkey","Super Lig","2024/2025","Fenerbahce","Eyupspor","1.32","5.51","8.83","1.01","28.00","1.08","8.00","1.32","3.40","1.86","2.00","2.78","1.45","1.57","2.42"
"60828","18-05-25 18:00","Turkey","Super Lig","2024/2025","Galatasaray","Kayserispor","1.16","8.36","14.50","1.01","29.00","1.05","10.00","1.27","3.75","1.67","2.20","2.50","1.54","1.77","2.05"
"60829","18-05-25 18:00","Turkey","Super Lig","2024/2025","Kasimpasa","Basaksehir","2.62","3.66","2.52","1.02","20.00","1.13","6.00","1.49","2.63","2.29","1.67","3.64","1.29","1.43","2.82"
"60830","18-05-25 18:00","Turkey","Super Lig","2024/2025","Rizespor","Goztepe","1.99","3.59","3.67","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.70","2.15"
"60831","18-05-25 18:00","Turkey","Super Lig","2024/2025","Samsunspor","Sivasspor","1.77","3.68","4.63","1.03","13.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.77","2.05"
"60832","17-05-25 18:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Hatayspor","2.83","4.20","2.17","1.01","29.00","1.06","9.00","1.30","3.50","1.86","2.00","2.78","1.45","1.30","3.54"
"60833","12-05-25 19:00","Turkey","Super Lig","2024/2025","Kayserispor","Antalyaspor","1.90","3.67","3.93","1.03","13.00","1.27","3.75","1.86","2.00","3.13","1.37","5.63","1.14","1.65","2.24"
"60834","11-05-25 18:00","Turkey","Super Lig","2024/2025","Besiktas","Adana Demirspor","1.08","12.60","22.00","1.01","34.00","1.03","13.00","1.15","5.50","1.45","2.75","2.04","1.83","1.90","1.90"
"60835","11-05-25 18:00","Turkey","Super Lig","2024/2025","Goztepe","Hatayspor","1.25","8.03","8.03","1.01","29.00","1.06","9.00","1.27","3.75","1.74","2.10","2.59","1.50","1.65","2.25"
"60836","11-05-25 15:00","Turkey","Super Lig","2024/2025","Sivasspor","Bodrumspor","2.16","3.23","3.57","1.08","8.00","1.39","3.00","2.29","1.67","3.96","1.25","8.41","1.07","1.83","1.98"
"60837","10-05-25 18:00","Turkey","Super Lig","2024/2025","Trabzonspor","Galatasaray","4.95","4.75","1.56","1.02","20.00","1.15","5.50","1.49","2.63","2.31","1.62","3.96","1.25","1.60","2.34"
"60838","10-05-25 15:00","Turkey","Super Lig","2024/2025","Eyupspor","Kasimpasa","2.90","3.64","2.30","1.01","16.00","1.17","5.00","1.65","2.25","2.50","1.54","4.56","1.20","1.52","2.54"
"60839","10-05-25 15:00","Turkey","Super Lig","2024/2025","Konyaspor","Rizespor","2.46","3.37","2.87","1.04","11.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.65","2.24"
"60840","09-05-25 19:00","Turkey","Super Lig","2024/2025","Basaksehir","Fenerbahce","4.53","4.22","1.68","1.01","16.50","1.17","5.00","1.58","2.38","2.41","1.57","4.27","1.22","1.57","2.41"
"60841","09-05-25 19:00","Turkey","Super Lig","2024/2025","Gaziantep","Alanyaspor","2.79","3.47","2.46","1.03","13.00","1.25","4.00","1.78","2.10","2.78","1.45","5.11","1.17","1.57","2.41"
"60842","05-05-25 19:00","Turkey","Super Lig","2024/2025","Kasimpasa","Trabzonspor","2.17","3.96","2.96","1.01","22.00","1.11","6.50","1.39","3.00","2.08","1.80","3.30","1.34","1.36","3.17"
"60843","04-05-25 18:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Goztepe","9.98","6.55","1.25","1.02","24.00","1.10","7.00","1.39","3.00","2.04","1.83","3.13","1.37","1.78","2.04"
"60844","04-05-25 18:00","Turkey","Super Lig","2024/2025","Fenerbahce","Besiktas","1.46","4.99","5.97","1.02","20.00","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","1.57","2.41"
"60845","04-05-25 15:00","Turkey","Super Lig","2024/2025","Samsunspor","Eyupspor","2.15","3.39","3.42","1.04","11.00","1.30","3.50","2.04","1.83","3.30","1.34","6.55","1.11","1.71","2.14"
"60846","03-05-25 18:00","Turkey","Super Lig","2024/2025","Galatasaray","Sivasspor","1.14","9.54","13.60","1.01","34.00","1.05","10.00","1.25","4.00","1.65","2.25","2.41","1.57","1.78","2.04"
"60847","03-05-25 18:00","Turkey","Super Lig","2024/2025","Hatayspor","Basaksehir","5.83","4.58","1.51","1.02","23.00","1.11","6.50","1.45","2.75","2.19","1.73","3.30","1.34","1.52","2.54"
"60848","03-05-25 15:00","Turkey","Super Lig","2024/2025","Alanyaspor","Kayserispor","2.21","3.35","3.33","1.05","10.00","1.30","3.50","2.04","1.83","3.53","1.30","6.55","1.11","1.77","2.05"
"60849","03-05-25 15:00","Turkey","Super Lig","2024/2025","Rizespor","Gaziantep","1.73","4.07","4.41","1.02","15.00","1.17","5.00","1.65","2.25","2.50","1.54","4.27","1.22","1.62","2.31"
"60850","02-05-25 19:00","Turkey","Super Lig","2024/2025","Antalyaspor","Konyaspor","2.74","3.25","2.63","1.06","9.00","1.34","3.25","2.19","1.73","3.64","1.29","7.73","1.09","1.78","2.04"
"60851","28-04-25 19:00","Turkey","Super Lig","2024/2025","Goztepe","Basaksehir","2.36","3.36","3.03","1.06","9.00","1.34","3.25","2.19","1.73","3.64","1.29","6.97","1.10","1.78","2.04"
"60852","27-04-25 18:00","Turkey","Super Lig","2024/2025","Eyupspor","Galatasaray","6.87","4.26","1.49","1.01","16.50","1.16","5.26","1.53","2.50","2.38","1.58","4.06","1.24","1.71","2.14"
"60853","27-04-25 18:00","Turkey","Super Lig","2024/2025","Kayserispor","Rizespor","2.13","3.45","3.43","1.04","11.00","1.25","4.00","1.86","2.00","2.96","1.40","5.63","1.14","1.65","2.25"
"60854","27-04-25 15:00","Turkey","Super Lig","2024/2025","Konyaspor","Adana Demirspor","1.22","7.68","10.10","1.01","26.00","1.11","6.50","1.39","3.00","2.08","1.80","3.30","1.34","1.90","1.90"
"60855","27-04-25 15:00","Turkey","Super Lig","2024/2025","Trabzonspor","Alanyaspor","1.63","3.98","5.32","1.03","13.00","1.22","4.33","1.74","2.10","2.78","1.45","5.11","1.17","1.70","2.15"
"60856","26-04-25 18:00","Turkey","Super Lig","2024/2025","Bodrumspor","Samsunspor","2.56","3.03","3.02","1.11","6.50","1.53","2.50","2.59","1.50","5.11","1.17","9.97","1.05","2.06","1.76"
"60857","26-04-25 18:00","Turkey","Super Lig","2024/2025","Gaziantep","Fenerbahce","6.85","4.56","1.46","1.02","20.00","1.15","5.50","1.49","2.63","2.21","1.67","3.64","1.29","1.57","2.41"
"60858","26-04-25 15:00","Turkey","Super Lig","2024/2025","Sivasspor","Antalyaspor","1.94","3.55","3.91","1.03","13.00","1.27","3.75","1.95","1.91","3.13","1.37","6.11","1.13","1.71","2.14"
"60859","25-04-25 19:00","Turkey","Super Lig","2024/2025","Besiktas","Hatayspor","1.23","6.56","11.60","1.01","29.00","1.05","10.00","1.25","4.00","1.65","2.25","2.50","1.54","1.62","2.31"
"60860","21-04-25 19:00","Turkey","Super Lig","2024/2025","Alanyaspor","Samsunspor","2.52","3.28","2.85","1.06","9.00","1.34","3.25","2.19","1.73","3.96","1.25","7.73","1.09","1.83","1.98"
"60861","20-04-25 18:00","Turkey","Super Lig","2024/2025","Fenerbahce","Kayserispor","1.14","8.64","18.00","1.01","26.00","1.09","7.37","1.32","3.42","1.94","1.92","2.82","1.43","1.89","1.92"
"60862","20-04-25 15:00","Turkey","Super Lig","2024/2025","Rizespor","Eyupspor","2.18","3.37","3.38","1.05","10.50","1.30","3.58","1.98","1.88","3.36","1.33","6.63","1.11","1.74","2.10"
"60863","20-04-25 12:30","Turkey","Super Lig","2024/2025","Basaksehir","Gaziantep","1.70","4.09","4.54","1.02","15.00","1.19","4.74","1.61","2.32","2.47","1.54","4.61","1.20","1.65","2.24"
"60864","19-04-25 18:00","Turkey","Super Lig","2024/2025","Goztepe","Besiktas","2.98","3.38","2.38","1.04","11.60","1.25","3.95","1.94","1.92","2.98","1.39","5.82","1.14","1.65","2.24"
"60865","19-04-25 15:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Trabzonspor","9.90","7.83","1.22","1.01","27.00","1.09","7.37","1.30","3.58","1.86","2.01","2.82","1.43","1.74","2.10"
"60866","19-04-25 12:30","Turkey","Super Lig","2024/2025","Kasimpasa","Sivasspor","1.96","3.77","3.62","1.02","15.50","1.19","4.74","1.58","2.37","2.47","1.54","4.34","1.22","1.53","2.53"
"60867","18-04-25 19:00","Turkey","Super Lig","2024/2025","Galatasaray","Bodrumspor","1.26","5.56","12.60","1.03","11.70","1.20","4.61","1.60","2.34","2.62","1.49","4.57","1.20","2.16","1.70"
"60868","18-04-25 19:00","Turkey","Super Lig","2024/2025","Hatayspor","Konyaspor","4.33","4.06","1.74","1.01","17.50","1.17","5.00","1.53","2.50","2.41","1.57","4.27","1.22","1.57","2.42"
"60869","14-04-25 19:00","Turkey","Super Lig","2024/2025","Eyupspor","Adana Demirspor","1.20","7.53","11.50","","","1.08","8.00","1.32","3.40","1.95","1.91","2.96","1.40","1.78","2.04"
