"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"86841","26-01-26 07:40","Australia","A-League","2025/2026","Melbourne Victory","Sydney FC","4","0","H","0","0","D","4","0","H"
"85180","25-01-26 09:00","Australia","A-League","2025/2026","WS Wanderers","Perth Glory","1","0","H","0","0","D","1","0","H"
"84240","24-01-26 09:35","Australia","A-League","2025/2026","Macarthur FC","Melbourne City","6","2","H","3","1","H","3","1","H"
"84239","24-01-26 07:00","Australia","A-League","2025/2026","Brisbane Roar","Adelaide United","2","3","A","1","0","H","1","3","A"
"84238","24-01-26 05:00","Australia","A-League","2025/2026","Auckland FC","Central Coast Mariners","2","2","D","1","1","D","1","1","D"
"83913","23-01-26 09:35","Australia","A-League","2025/2026","Newcastle Jets","Wellington Phoenix","4","1","H","1","0","H","3","1","H"
"79671","18-01-26 07:00","Australia","A-League","2025/2026","Sydney FC","Wellington Phoenix","0","2","A","0","1","A","0","1","A"
"79670","18-01-26 04:00","Australia","A-League","2025/2026","Central Coast Mariners","Macarthur FC","1","1","D","0","0","D","1","1","D"
"79582","17-01-26 09:35","Australia","A-League","2025/2026","Adelaide United","Melbourne Victory","2","1","H","1","0","H","1","1","D"
"79581","17-01-26 07:00","Australia","A-League","2025/2026","WS Wanderers","Newcastle Jets","1","2","A","0","2","A","1","0","H"
"79564","16-01-26 11:45","Australia","A-League","2025/2026","Perth Glory","Brisbane Roar","1","2","A","1","1","D","0","1","A"
"79563","16-01-26 09:35","Australia","A-League","2025/2026","Melbourne City","Auckland FC","2","1","H","0","1","A","2","0","H"
"79010","11-01-26 07:00","Australia","A-League","2025/2026","Melbourne City","Newcastle Jets","0","1","A","0","0","D","0","1","A"
"79009","11-01-26 03:00","Australia","A-League","2025/2026","Wellington Phoenix","Adelaide United","2","2","D","0","2","A","2","0","H"
"77834","10-01-26 11:45","Australia","A-League","2025/2026","Perth Glory","Central Coast Mariners","3","0","H","2","0","H","1","0","H"
"77833","10-01-26 09:35","Australia","A-League","2025/2026","Macarthur FC","Sydney FC","0","3","A","0","1","A","0","2","A"
"77832","10-01-26 07:00","Australia","A-League","2025/2026","Melbourne Victory","WS Wanderers","0","1","A","0","1","A","0","0","D"
"76524","09-01-26 09:35","Australia","A-League","2025/2026","Brisbane Roar","Auckland FC","0","2","A","0","1","A","0","1","A"
"75798","06-01-26 09:00","Australia","A-League","2025/2026","Melbourne City","Brisbane Roar","1","0","H","1","0","H","0","0","D"
"75786","05-01-26 09:00","Australia","A-League","2025/2026","Macarthur FC","Auckland FC","1","1","D","0","1","A","1","0","H"
"75739","04-01-26 09:35","Australia","A-League","2025/2026","Adelaide United","Central Coast Mariners","0","4","A","0","3","A","0","1","A"
"75699","03-01-26 09:35","Australia","A-League","2025/2026","Melbourne City","Sydney FC","0","0","D","0","0","D","0","0","D"
"75698","03-01-26 07:00","Australia","A-League","2025/2026","Brisbane Roar","Wellington Phoenix","0","3","A","0","1","A","0","2","A"
"75691","02-01-26 09:35","Australia","A-League","2025/2026","Melbourne Victory","Perth Glory","3","2","H","1","1","D","2","1","H"
"75650","01-01-26 09:00","Australia","A-League","2025/2026","WS Wanderers","Macarthur FC","0","1","A","0","1","A","0","0","D"
