"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"72362","31-05-25 11:40","Australia","A-League","2024/2025","Melbourne City","Melbourne Victory","1","0","H","1","0","H","0","0","D"
"72363","24-05-25 11:35","Australia","A-League","2024/2025","Melbourne City","Western United","1","1","D","1","0","H","0","1","A"
"72364","24-05-25 08:00","Australia","A-League","2024/2025","Auckland FC","Melbourne Victory","0","2","A","0","0","D","0","2","A"
"72365","17-05-25 11:35","Australia","A-League","2024/2025","Melbourne Victory","Auckland FC","0","1","A","0","0","D","0","1","A"
"72366","16-05-25 11:35","Australia","A-League","2024/2025","Western United","Melbourne City","0","3","A","0","1","A","0","2","A"
"72367","10-05-25 11:35","Australia","A-League","2024/2025","WS Wanderers","Melbourne Victory","1","2","A","1","2","A","0","0","D"
"72368","09-05-25 11:35","Australia","A-League","2024/2025","Western United","Adelaide United","3","2","H","2","1","H","1","1","D"
"72369","04-05-25 09:00","Australia","A-League","2024/2025","Melbourne Victory","Newcastle Jets","1","1","D","0","0","D","1","1","D"
"72370","04-05-25 07:00","Australia","A-League","2024/2025","Wellington Phoenix","Perth Glory","0","2","A","0","1","A","0","1","A"
"72371","03-05-25 11:35","Australia","A-League","2024/2025","Macarthur FC","WS Wanderers","1","3","A","1","1","D","0","2","A"
"72372","03-05-25 10:00","Australia","A-League","2024/2025","Western United","Auckland FC","4","2","H","2","0","H","2","2","D"
"72373","03-05-25 09:00","Australia","A-League","2024/2025","Melbourne City","Sydney FC","5","1","H","3","0","H","2","1","H"
"72374","02-05-25 11:35","Australia","A-League","2024/2025","Central Coast Mariners","Brisbane Roar","1","2","A","1","1","D","0","1","A"
"72375","27-04-25 09:00","Australia","A-League","2024/2025","Western United","Sydney FC","1","0","H","1","0","H","0","0","D"
"72376","27-04-25 07:00","Australia","A-League","2024/2025","Auckland FC","Perth Glory","1","0","H","0","0","D","1","0","H"
"72377","26-04-25 11:35","Australia","A-League","2024/2025","Melbourne City","Adelaide United","0","0","D","0","0","D","0","0","D"
"72378","26-04-25 09:00","Australia","A-League","2024/2025","Newcastle Jets","WS Wanderers","0","1","A","0","0","D","0","1","A"
