"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"75080","07-12-25 20:00","Brazil","Serie A Betano","2025","Atletico-MG","Vasco","5","0","H","2","0","H","3","0","H"
"75081","07-12-25 20:00","Brazil","Serie A Betano","2025","Botafogo RJ","Fortaleza","4","2","H","1","1","D","3","1","H"
"75082","07-12-25 20:00","Brazil","Serie A Betano","2025","Ceara","Palmeiras","1","3","A","1","1","D","0","2","A"
"75083","07-12-25 20:00","Brazil","Serie A Betano","2025","Corinthians","Juventude","1","1","D","1","0","H","0","1","A"
"75084","07-12-25 20:00","Brazil","Serie A Betano","2025","Fluminense","Bahia","2","0","H","0","0","D","2","0","H"
"75085","07-12-25 20:00","Brazil","Serie A Betano","2025","Internacional","Bragantino","3","1","H","0","0","D","3","1","H"
"75086","07-12-25 20:00","Brazil","Serie A Betano","2025","Santos","Cruzeiro","3","0","H","2","0","H","1","0","H"
"75087","07-12-25 20:00","Brazil","Serie A Betano","2025","Sport Recife","Gremio","0","4","A","0","3","A","0","1","A"
"75088","07-12-25 20:00","Brazil","Serie A Betano","2025","Vitoria","Sao Paulo","1","0","H","0","0","D","1","0","H"
"75012","06-12-25 22:30","Brazil","Serie A Betano","2025","Mirassol","Flamengo RJ","3","3","D","2","2","D","1","1","D"
"74984","04-12-25 23:30","Brazil","Serie A Betano","2025","Cruzeiro","Botafogo RJ","2","2","D","1","0","H","1","2","A"
"74985","04-12-25 01:30","Brazil","Serie A Betano","2025","Atletico-MG","Palmeiras","0","3","A","0","2","A","0","1","A"
"74986","04-12-25 01:30","Brazil","Serie A Betano","2025","Flamengo RJ","Ceara","1","0","H","1","0","H","0","0","D"
"74987","04-12-25 00:00","Brazil","Serie A Betano","2025","Bahia","Sport Recife","2","0","H","1","0","H","1","0","H"
"74988","04-12-25 00:00","Brazil","Serie A Betano","2025","Sao Paulo","Internacional","3","0","H","2","0","H","1","0","H"
"74968","03-12-25 23:30","Brazil","Serie A Betano","2025","Juventude","Santos","0","3","A","0","0","D","0","3","A"
"74969","03-12-25 23:00","Brazil","Serie A Betano","2025","Bragantino","Vitoria","4","0","H","2","0","H","2","0","H"
"74970","03-12-25 23:00","Brazil","Serie A Betano","2025","Fortaleza","Corinthians","2","1","H","1","0","H","1","1","D"
"74971","03-12-25 01:30","Brazil","Serie A Betano","2025","Gremio","Fluminense","1","2","A","0","1","A","1","1","D"
"74951","02-12-25 23:00","Brazil","Serie A Betano","2025","Vasco","Mirassol","0","2","A","0","0","D","0","2","A"
"74892","30-11-25 22:30","Brazil","Serie A Betano","2025","Fortaleza","Atletico-MG","1","0","H","1","0","H","0","0","D"
"74893","30-11-25 20:00","Brazil","Serie A Betano","2025","Corinthians","Botafogo RJ","2","2","D","1","0","H","1","2","A"
"74894","30-11-25 01:00","Brazil","Serie A Betano","2025","Ceara","Cruzeiro","1","1","D","0","0","D","1","1","D"
"74801","29-11-25 20:00","Brazil","Serie A Betano","2025","Vitoria","Mirassol","2","0","H","1","0","H","1","0","H"
"74802","29-11-25 01:30","Brazil","Serie A Betano","2025","Santos","Sport Recife","3","0","H","2","0","H","1","0","H"
"74783","28-11-25 23:30","Brazil","Serie A Betano","2025","Vasco","Internacional","5","1","H","2","1","H","3","0","H"
"74784","28-11-25 23:00","Brazil","Serie A Betano","2025","Juventude","Bahia","1","1","D","1","1","D","0","0","D"
"74785","28-11-25 00:30","Brazil","Serie A Betano","2025","Fluminense","Sao Paulo","6","0","H","3","0","H","3","0","H"
"74762","26-11-25 23:00","Brazil","Serie A Betano","2025","Bragantino","Fortaleza","0","1","A","0","0","D","0","1","A"
"74763","26-11-25 01:30","Brazil","Serie A Betano","2025","Atletico-MG","Flamengo RJ","1","1","D","1","0","H","0","1","A"
"74764","26-11-25 01:30","Brazil","Serie A Betano","2025","Gremio","Palmeiras","3","2","H","1","1","D","2","1","H"
"74740","25-11-25 01:00","Brazil","Serie A Betano","2025","Internacional","Santos","1","1","D","1","0","H","0","1","A"
"74728","24-11-25 23:00","Brazil","Serie A Betano","2025","Mirassol","Ceara","3","0","H","2","0","H","1","0","H"
"74729","24-11-25 00:30","Brazil","Serie A Betano","2025","Cruzeiro","Corinthians","3","0","H","1","0","H","2","0","H"
"74678","23-11-25 22:30","Brazil","Serie A Betano","2025","Sport Recife","Vitoria","1","3","A","1","2","A","0","1","A"
"74679","23-11-25 20:00","Brazil","Serie A Betano","2025","Bahia","Vasco","1","0","H","0","0","D","1","0","H"
"74680","23-11-25 20:00","Brazil","Serie A Betano","2025","Sao Paulo","Juventude","2","1","H","1","0","H","1","1","D"
"74681","23-11-25 01:30","Brazil","Serie A Betano","2025","Flamengo RJ","Bragantino","3","0","H","0","0","D","3","0","H"
"74682","23-11-25 01:30","Brazil","Serie A Betano","2025","Palmeiras","Fluminense","0","0","D","0","0","D","0","0","D"
"74587","22-11-25 23:30","Brazil","Serie A Betano","2025","Botafogo RJ","Gremio","3","2","H","2","0","H","1","2","A"
"74569","21-11-25 01:30","Brazil","Serie A Betano","2025","Ceara","Internacional","1","2","A","0","0","D","1","2","A"
"74561","20-11-25 23:30","Brazil","Serie A Betano","2025","Corinthians","Sao Paulo","3","1","H","1","0","H","2","1","H"
"74562","20-11-25 22:00","Brazil","Serie A Betano","2025","Bahia","Fortaleza","2","3","A","0","2","A","2","1","H"
"74563","20-11-25 20:00","Brazil","Serie A Betano","2025","Juventude","Cruzeiro","3","3","D","2","1","H","1","2","A"
"74564","20-11-25 01:30","Brazil","Serie A Betano","2025","Fluminense","Flamengo RJ","2","1","H","2","0","H","0","1","A"
"74565","20-11-25 01:30","Brazil","Serie A Betano","2025","Gremio","Vasco","2","0","H","0","0","D","2","0","H"
"74566","20-11-25 01:30","Brazil","Serie A Betano","2025","Santos","Mirassol","1","1","D","1","0","H","0","1","A"
"74559","19-11-25 23:30","Brazil","Serie A Betano","2025","Palmeiras","Vitoria","0","0","D","0","0","D","0","0","D"
"74560","19-11-25 00:30","Brazil","Serie A Betano","2025","Botafogo RJ","Sport Recife","3","2","H","1","2","A","2","0","H"
"74548","16-11-25 23:00","Brazil","Serie A Betano","2025","Bragantino","Atletico-MG","2","0","H","0","0","D","2","0","H"
"74549","16-11-25 01:00","Brazil","Serie A Betano","2025","Santos","Palmeiras","1","0","H","0","0","D","1","0","H"
"74527","15-11-25 22:30","Brazil","Serie A Betano","2025","Sport Recife","Flamengo RJ","1","5","A","1","1","D","0","4","A"
"74525","13-11-25 00:30","Brazil","Serie A Betano","2025","Atletico-MG","Fortaleza","3","3","D","2","0","H","1","3","A"
"74520","10-11-25 00:30","Brazil","Serie A Betano","2025","Fortaleza","Gremio","2","2","D","1","2","A","1","0","H"
"74521","10-11-25 00:30","Brazil","Serie A Betano","2025","Mirassol","Palmeiras","2","1","H","2","1","H","0","0","D"
"74460","09-11-25 22:30","Brazil","Serie A Betano","2025","Flamengo RJ","Santos","3","2","H","1","0","H","2","2","D"
"74461","09-11-25 20:00","Brazil","Serie A Betano","2025","Corinthians","Ceara","0","1","A","0","1","A","0","0","D"
"74462","09-11-25 20:00","Brazil","Serie A Betano","2025","Cruzeiro","Fluminense","0","0","D","0","0","D","0","0","D"
"74463","09-11-25 20:00","Brazil","Serie A Betano","2025","Vitoria","Botafogo RJ","0","0","D","0","0","D","0","0","D"
"74464","09-11-25 01:00","Brazil","Serie A Betano","2025","Sao Paulo","Bragantino","0","1","A","0","0","D","0","1","A"
"74362","08-11-25 22:30","Brazil","Serie A Betano","2025","Internacional","Bahia","2","2","D","1","0","H","1","2","A"
"74363","08-11-25 22:00","Brazil","Serie A Betano","2025","Vasco","Juventude","1","3","A","1","2","A","0","1","A"
"74364","08-11-25 20:00","Brazil","Serie A Betano","2025","Sport Recife","Atletico-MG","2","4","A","1","0","H","1","4","A"
"74340","07-11-25 01:30","Brazil","Serie A Betano","2025","Palmeiras","Santos","2","0","H","0","0","D","2","0","H"
"74341","07-11-25 00:00","Brazil","Serie A Betano","2025","Ceara","Fortaleza","1","1","D","0","1","A","1","0","H"
"74333","06-11-25 23:30","Brazil","Serie A Betano","2025","Fluminense","Mirassol","1","0","H","1","0","H","0","0","D"
"74334","06-11-25 01:30","Brazil","Serie A Betano","2025","Sao Paulo","Flamengo RJ","2","2","D","1","1","D","1","1","D"
"74335","06-11-25 00:00","Brazil","Serie A Betano","2025","Atletico-MG","Bahia","3","0","H","0","0","D","3","0","H"
"74336","06-11-25 00:00","Brazil","Serie A Betano","2025","Gremio","Cruzeiro","0","1","A","0","1","A","0","0","D"
"74315","05-11-25 23:30","Brazil","Serie A Betano","2025","Botafogo RJ","Vasco","3","0","H","1","0","H","2","0","H"
"74316","05-11-25 23:00","Brazil","Serie A Betano","2025","Bragantino","Corinthians","2","1","H","1","0","H","1","1","D"
"74317","05-11-25 23:00","Brazil","Serie A Betano","2025","Sport Recife","Juventude","0","2","A","0","1","A","0","1","A"
"74318","05-11-25 23:00","Brazil","Serie A Betano","2025","Vitoria","Internacional","1","0","H","0","0","D","1","0","H"
"74283","03-11-25 00:30","Brazil","Serie A Betano","2025","Vasco","Sao Paulo","0","2","A","0","1","A","0","1","A"
"74229","02-11-25 22:30","Brazil","Serie A Betano","2025","Internacional","Atletico-MG","0","0","D","0","0","D","0","0","D"
"74230","02-11-25 22:30","Brazil","Serie A Betano","2025","Juventude","Palmeiras","0","2","A","0","1","A","0","1","A"
"74231","02-11-25 20:00","Brazil","Serie A Betano","2025","Bahia","Bragantino","2","1","H","0","1","A","2","0","H"
"74232","02-11-25 20:00","Brazil","Serie A Betano","2025","Ceara","Fluminense","2","0","H","1","0","H","1","0","H"
"74233","02-11-25 20:00","Brazil","Serie A Betano","2025","Corinthians","Gremio","2","0","H","1","0","H","1","0","H"
"74234","02-11-25 01:00","Brazil","Serie A Betano","2025","Flamengo RJ","Sport Recife","3","0","H","0","0","D","3","0","H"
"74156","01-11-25 22:00","Brazil","Serie A Betano","2025","Mirassol","Botafogo RJ","0","0","D","0","0","D","0","0","D"
"74157","01-11-25 20:00","Brazil","Serie A Betano","2025","Cruzeiro","Vitoria","3","1","H","3","1","H","0","0","D"
"74158","01-11-25 20:00","Brazil","Serie A Betano","2025","Santos","Fortaleza","1","1","D","0","1","A","1","0","H"
"72338","29-10-25 23:00","Brazil","Serie A Betano","2025","Fluminense","Ceara","1","0","H","1","0","H","0","0","D"
"70020","27-10-25 00:30","Brazil","Serie A Betano","2025","Palmeiras","Cruzeiro","0","0","D","0","0","D","0","0","D"
"69133","26-10-25 22:30","Brazil","Serie A Betano","2025","Bragantino","Vasco","0","3","A","0","1","A","0","2","A"
"69134","26-10-25 20:00","Brazil","Serie A Betano","2025","Botafogo RJ","Santos","2","2","D","2","1","H","0","1","A"
"69135","26-10-25 20:00","Brazil","Serie A Betano","2025","Gremio","Juventude","3","1","H","1","0","H","2","1","H"
