"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"65693","31-05-25 21:00","Europe","Champions League","2024/2025","PSG","Inter","5","0","H","2","0","H","3","0","H"
"65694","07-05-25 21:00","Europe","Champions League","2024/2025","PSG","Arsenal","2","1","H","1","0","H","1","1","D"
"65695","06-05-25 21:00","Europe","Champions League","2024/2025","Inter","Barcelona","3","3","D","2","0","H","1","3","A"
"65696","30-04-25 21:00","Europe","Champions League","2024/2025","Barcelona","Inter","3","3","D","2","2","D","1","1","D"
"65697","29-04-25 21:00","Europe","Champions League","2024/2025","Arsenal","PSG","0","1","A","0","1","A","0","0","D"
"65698","16-04-25 21:00","Europe","Champions League","2024/2025","Inter","Bayern Munich","2","2","D","0","0","D","2","2","D"
"65699","16-04-25 21:00","Europe","Champions League","2024/2025","Real Madrid","Arsenal","1","2","A","0","0","D","1","2","A"
"65700","15-04-25 21:00","Europe","Champions League","2024/2025","Aston Villa","PSG","3","2","H","1","2","A","2","0","H"
"65701","15-04-25 21:00","Europe","Champions League","2024/2025","Dortmund","Barcelona","3","1","H","1","0","H","2","1","H"
"65702","09-04-25 21:00","Europe","Champions League","2024/2025","Barcelona","Dortmund","4","0","H","1","0","H","3","0","H"
"65703","09-04-25 21:00","Europe","Champions League","2024/2025","PSG","Aston Villa","3","1","H","1","1","D","2","0","H"
"65704","08-04-25 21:00","Europe","Champions League","2024/2025","Arsenal","Real Madrid","3","0","H","0","0","D","3","0","H"
"65705","08-04-25 21:00","Europe","Champions League","2024/2025","Bayern Munich","Inter","1","2","A","0","1","A","1","1","D"
"65706","12-03-25 21:00","Europe","Champions League","2024/2025","Arsenal","PSV","2","2","D","2","1","H","0","1","A"
"65707","12-03-25 21:00","Europe","Champions League","2024/2025","Aston Villa","Club Brugge KV","3","0","H","0","0","D","3","0","H"
"65708","12-03-25 21:00","Europe","Champions League","2024/2025","Atl. Madrid","Real Madrid","1","0","H","1","0","H","0","0","D"
"65709","12-03-25 18:45","Europe","Champions League","2024/2025","Lille","Dortmund","1","2","A","1","0","H","0","2","A"
"65710","11-03-25 21:00","Europe","Champions League","2024/2025","Bayer Leverkusen","Bayern Munich","0","2","A","0","0","D","0","2","A"
"65711","11-03-25 21:00","Europe","Champions League","2024/2025","Inter","Feyenoord","2","1","H","1","1","D","1","0","H"
"65712","11-03-25 21:00","Europe","Champions League","2024/2025","Liverpool","PSG","0","1","A","0","1","A","0","0","D"
"65713","11-03-25 18:45","Europe","Champions League","2024/2025","Barcelona","Benfica","3","1","H","3","1","H","0","0","D"
"65714","05-03-25 21:00","Europe","Champions League","2024/2025","Bayern Munich","Bayer Leverkusen","3","0","H","1","0","H","2","0","H"
"65715","05-03-25 21:00","Europe","Champions League","2024/2025","Benfica","Barcelona","0","1","A","0","0","D","0","1","A"
"65716","05-03-25 21:00","Europe","Champions League","2024/2025","PSG","Liverpool","0","1","A","0","0","D","0","1","A"
"65717","05-03-25 18:45","Europe","Champions League","2024/2025","Feyenoord","Inter","0","2","A","0","1","A","0","1","A"
"65718","04-03-25 21:00","Europe","Champions League","2024/2025","Dortmund","Lille","1","1","D","1","0","H","0","1","A"
"65719","04-03-25 21:00","Europe","Champions League","2024/2025","PSV","Arsenal","1","7","A","1","3","A","0","4","A"
"65720","04-03-25 21:00","Europe","Champions League","2024/2025","Real Madrid","Atl. Madrid","2","1","H","1","1","D","1","0","H"
"65721","04-03-25 18:45","Europe","Champions League","2024/2025","Club Brugge KV","Aston Villa","1","3","A","1","1","D","0","2","A"
"65722","19-02-25 21:00","Europe","Champions League","2024/2025","PSG","Brest","7","0","H","2","0","H","5","0","H"
"65723","19-02-25 21:00","Europe","Champions League","2024/2025","PSV","Juventus","2","1","H","0","0","D","2","1","H"
"65724","19-02-25 21:00","Europe","Champions League","2024/2025","Real Madrid","Manchester City","3","1","H","2","0","H","1","1","D"
"65725","19-02-25 18:45","Europe","Champions League","2024/2025","Dortmund","Sporting CP","0","0","D","0","0","D","0","0","D"
"65726","18-02-25 21:00","Europe","Champions League","2024/2025","Atalanta","Club Brugge KV","1","3","A","0","3","A","1","0","H"
"65727","18-02-25 21:00","Europe","Champions League","2024/2025","Bayern Munich","Celtic","1","1","D","0","0","D","1","1","D"
"65728","18-02-25 21:00","Europe","Champions League","2024/2025","Benfica","Monaco","3","3","D","1","1","D","2","2","D"
"65729","18-02-25 18:45","Europe","Champions League","2024/2025","AC Milan","Feyenoord","1","1","D","1","0","H","0","1","A"
"65730","12-02-25 21:00","Europe","Champions League","2024/2025","Celtic","Bayern Munich","1","2","A","0","1","A","1","1","D"
"65731","12-02-25 21:00","Europe","Champions League","2024/2025","Feyenoord","AC Milan","1","0","H","1","0","H","0","0","D"
"65732","12-02-25 21:00","Europe","Champions League","2024/2025","Monaco","Benfica","0","1","A","0","0","D","0","1","A"
"65733","12-02-25 18:45","Europe","Champions League","2024/2025","Club Brugge KV","Atalanta","2","1","H","1","1","D","1","0","H"
"65734","11-02-25 21:00","Europe","Champions League","2024/2025","Juventus","PSV","2","1","H","1","0","H","1","1","D"
"65735","11-02-25 21:00","Europe","Champions League","2024/2025","Manchester City","Real Madrid","2","3","A","1","0","H","1","3","A"
"65736","11-02-25 21:00","Europe","Champions League","2024/2025","Sporting CP","Dortmund","0","3","A","0","0","D","0","3","A"
"65737","11-02-25 18:45","Europe","Champions League","2024/2025","Brest","PSG","0","3","A","0","2","A","0","1","A"
"65738","29-01-25 21:00","Europe","Champions League","2024/2025","Aston Villa","Celtic","4","2","H","2","2","D","2","0","H"
"65739","29-01-25 21:00","Europe","Champions League","2024/2025","Barcelona","Atalanta","2","2","D","0","0","D","2","2","D"
"65740","29-01-25 21:00","Europe","Champions League","2024/2025","Bayer Leverkusen","Sparta Prague","2","0","H","1","0","H","1","0","H"
"65741","29-01-25 21:00","Europe","Champions League","2024/2025","Bayern Munich","Slovan Bratislava","3","1","H","1","0","H","2","1","H"
"65742","29-01-25 21:00","Europe","Champions League","2024/2025","Brest","Real Madrid","0","3","A","0","1","A","0","2","A"
"65743","29-01-25 21:00","Europe","Champions League","2024/2025","D. Zagreb","AC Milan","2","1","H","1","0","H","1","1","D"
"65744","29-01-25 21:00","Europe","Champions League","2024/2025","Dortmund","Shakhtar Donetsk","3","1","H","2","0","H","1","1","D"
"65745","29-01-25 21:00","Europe","Champions League","2024/2025","Girona","Arsenal","1","2","A","1","2","A","0","0","D"
"65746","29-01-25 21:00","Europe","Champions League","2024/2025","Inter","Monaco","3","0","H","2","0","H","1","0","H"
"65747","29-01-25 21:00","Europe","Champions League","2024/2025","Juventus","Benfica","0","2","A","0","1","A","0","1","A"
"65748","29-01-25 21:00","Europe","Champions League","2024/2025","Lille","Feyenoord","6","1","H","2","1","H","4","0","H"
"65749","29-01-25 21:00","Europe","Champions League","2024/2025","Manchester City","Club Brugge KV","3","1","H","0","1","A","3","0","H"
"65750","29-01-25 21:00","Europe","Champions League","2024/2025","PSV","Liverpool","3","2","H","3","2","H","0","0","D"
"65751","29-01-25 21:00","Europe","Champions League","2024/2025","Salzburg","Atl. Madrid","1","4","A","0","3","A","1","1","D"
"65752","29-01-25 21:00","Europe","Champions League","2024/2025","Sporting CP","Bologna","1","1","D","0","1","A","1","0","H"
"65753","29-01-25 21:00","Europe","Champions League","2024/2025","Sturm Graz","RB Leipzig","1","0","H","1","0","H","0","0","D"
"65754","29-01-25 21:00","Europe","Champions League","2024/2025","Stuttgart","PSG","1","4","A","0","3","A","1","1","D"
"65755","29-01-25 21:00","Europe","Champions League","2024/2025","Young Boys","Crvena zvezda","0","1","A","0","0","D","0","1","A"
"65756","22-01-25 21:00","Europe","Champions League","2024/2025","AC Milan","Girona","1","0","H","1","0","H","0","0","D"
"65757","22-01-25 21:00","Europe","Champions League","2024/2025","Arsenal","D. Zagreb","3","0","H","1","0","H","2","0","H"
"65758","22-01-25 21:00","Europe","Champions League","2024/2025","Celtic","Young Boys","1","0","H","0","0","D","1","0","H"
"65759","22-01-25 21:00","Europe","Champions League","2024/2025","Feyenoord","Bayern Munich","3","0","H","2","0","H","1","0","H"
"65760","22-01-25 21:00","Europe","Champions League","2024/2025","PSG","Manchester City","4","2","H","0","0","D","4","2","H"
"65761","22-01-25 21:00","Europe","Champions League","2024/2025","Real Madrid","Salzburg","5","1","H","2","0","H","3","1","H"
"65762","22-01-25 21:00","Europe","Champions League","2024/2025","Sparta Prague","Inter","0","1","A","0","1","A","0","0","D"
"65763","22-01-25 18:45","Europe","Champions League","2024/2025","RB Leipzig","Sporting CP","2","1","H","1","0","H","1","1","D"
"65764","22-01-25 18:45","Europe","Champions League","2024/2025","Shakhtar Donetsk","Brest","2","0","H","2","0","H","0","0","D"
"65765","21-01-25 21:00","Europe","Champions League","2024/2025","Atl. Madrid","Bayer Leverkusen","2","1","H","0","1","A","2","0","H"
"65766","21-01-25 21:00","Europe","Champions League","2024/2025","Benfica","Barcelona","4","5","A","3","1","H","1","4","A"
"65767","21-01-25 21:00","Europe","Champions League","2024/2025","Bologna","Dortmund","2","1","H","0","1","A","2","0","H"
"65768","21-01-25 21:00","Europe","Champions League","2024/2025","Club Brugge KV","Juventus","0","0","D","0","0","D","0","0","D"
"65769","21-01-25 21:00","Europe","Champions League","2024/2025","Crvena zvezda","PSV","2","3","A","0","3","A","2","0","H"
"65770","21-01-25 21:00","Europe","Champions League","2024/2025","Liverpool","Lille","2","1","H","1","0","H","1","1","D"
"65771","21-01-25 21:00","Europe","Champions League","2024/2025","Slovan Bratislava","Stuttgart","1","3","A","0","2","A","1","1","D"
"65772","21-01-25 18:45","Europe","Champions League","2024/2025","Atalanta","Sturm Graz","5","0","H","1","0","H","4","0","H"
"65773","21-01-25 18:45","Europe","Champions League","2024/2025","Monaco","Aston Villa","1","0","H","1","0","H","0","0","D"
"65774","11-12-24 21:00","Europe","Champions League","2024/2025","AC Milan","Crvena zvezda","2","1","H","1","0","H","1","1","D"
"65775","11-12-24 21:00","Europe","Champions League","2024/2025","Arsenal","Monaco","3","0","H","1","0","H","2","0","H"
"65776","11-12-24 21:00","Europe","Champions League","2024/2025","Benfica","Bologna","0","0","D","0","0","D","0","0","D"
"65777","11-12-24 21:00","Europe","Champions League","2024/2025","Dortmund","Barcelona","2","3","A","0","0","D","2","3","A"
"65778","11-12-24 21:00","Europe","Champions League","2024/2025","Feyenoord","Sparta Prague","4","2","H","3","1","H","1","1","D"
"65779","11-12-24 21:00","Europe","Champions League","2024/2025","Juventus","Manchester City","2","0","H","0","0","D","2","0","H"
"65780","11-12-24 21:00","Europe","Champions League","2024/2025","Stuttgart","Young Boys","5","1","H","1","1","D","4","0","H"
"65781","11-12-24 18:45","Europe","Champions League","2024/2025","Atl. Madrid","Slovan Bratislava","3","1","H","2","0","H","1","1","D"
"65782","11-12-24 18:45","Europe","Champions League","2024/2025","Lille","Sturm Graz","3","2","H","2","1","H","1","1","D"
"65783","10-12-24 21:00","Europe","Champions League","2024/2025","Atalanta","Real Madrid","2","3","A","1","1","D","1","2","A"
"65784","10-12-24 21:00","Europe","Champions League","2024/2025","Bayer Leverkusen","Inter","1","0","H","0","0","D","1","0","H"
"65785","10-12-24 21:00","Europe","Champions League","2024/2025","Brest","PSV","1","0","H","1","0","H","0","0","D"
"65786","10-12-24 21:00","Europe","Champions League","2024/2025","Club Brugge KV","Sporting CP","2","1","H","1","1","D","1","0","H"
"65787","10-12-24 21:00","Europe","Champions League","2024/2025","RB Leipzig","Aston Villa","2","3","A","1","1","D","1","2","A"
"65788","10-12-24 21:00","Europe","Champions League","2024/2025","Salzburg","PSG","0","3","A","0","1","A","0","2","A"
