"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"90654","29-01-26 21:00","Europe","Europa League","2025/2026","Aston Villa","Salzburg","3","2","H","0","1","A","3","1","H"
"90655","29-01-26 21:00","Europe","Europa League","2025/2026","Basel","Plzen","0","1","A","0","1","A","0","0","D"
"90656","29-01-26 21:00","Europe","Europa League","2025/2026","Betis","Feyenoord","2","1","H","2","0","H","0","1","A"
"90657","29-01-26 21:00","Europe","Europa League","2025/2026","Celtic","Utrecht","4","2","H","3","1","H","1","1","D"
"90658","29-01-26 21:00","Europe","Europa League","2025/2026","Crvena zvezda","Celta Vigo","1","1","D","0","0","D","1","1","D"
"90659","29-01-26 21:00","Europe","Europa League","2025/2026","FC Porto","Rangers","3","1","H","3","1","H","0","0","D"
"90660","29-01-26 21:00","Europe","Europa League","2025/2026","FCSB","Fenerbahce","1","1","D","0","1","A","1","0","H"
"90661","29-01-26 21:00","Europe","Europa League","2025/2026","G.A. Eagles","Braga","0","0","D","0","0","D","0","0","D"
"90662","29-01-26 21:00","Europe","Europa League","2025/2026","Genk","Malmo FF","2","1","H","1","1","D","1","0","H"
"90663","29-01-26 21:00","Europe","Europa League","2025/2026","Lille","Freiburg","1","0","H","0","0","D","1","0","H"
"90664","29-01-26 21:00","Europe","Europa League","2025/2026","Ludogorets","Nice","1","0","H","1","0","H","0","0","D"
"90665","29-01-26 21:00","Europe","Europa League","2025/2026","Lyon","PAOK","4","2","H","1","1","D","3","1","H"
"90666","29-01-26 21:00","Europe","Europa League","2025/2026","Maccabi Tel Aviv","Bologna","0","3","A","0","1","A","0","2","A"
"90667","29-01-26 21:00","Europe","Europa League","2025/2026","Midtjylland","Din. Zagreb","2","0","H","0","0","D","2","0","H"
"90668","29-01-26 21:00","Europe","Europa League","2025/2026","Nottingham","Ferencvaros","4","0","H","2","0","H","2","0","H"
"90669","29-01-26 21:00","Europe","Europa League","2025/2026","Panathinaikos","AS Roma","1","1","D","0","0","D","1","1","D"
"90670","29-01-26 21:00","Europe","Europa League","2025/2026","Sturm Graz","Brann","1","0","H","0","0","D","1","0","H"
"90671","29-01-26 21:00","Europe","Europa League","2025/2026","Stuttgart","Young Boys","3","2","H","2","1","H","1","1","D"
"90672","22-01-26 21:00","Europe","Europa League","2025/2026","AS Roma","Stuttgart","2","0","H","1","0","H","1","0","H"
