"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"90465","21-05-25 21:00","Europe","Europa League","2024/2025","Tottenham","Manchester Utd","1","0","H","1","0","H","0","0","D"
"90466","08-05-25 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Tottenham","0","2","A","0","0","D","0","2","A"
"90467","08-05-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Ath Bilbao","4","1","H","0","1","A","4","0","H"
"90468","01-05-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Manchester Utd","0","3","A","0","3","A","0","0","D"
"90469","01-05-25 21:00","Europe","Europa League","2024/2025","Tottenham","Bodo/Glimt","3","1","H","2","0","H","1","1","D"
"90470","17-04-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Rangers","2","0","H","1","0","H","1","0","H"
"90471","17-04-25 21:00","Europe","Europa League","2024/2025","Eintracht Frankfurt","Tottenham","0","1","A","0","1","A","0","0","D"
"90472","17-04-25 21:00","Europe","Europa League","2024/2025","Lazio","Bodo/Glimt","2","0","H","1","0","H","1","0","H"
"90473","17-04-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Lyon","2","2","D","2","0","H","0","2","A"
"90474","10-04-25 21:00","Europe","Europa League","2024/2025","Lyon","Manchester Utd","2","2","D","1","1","D","1","1","D"
"90475","10-04-25 21:00","Europe","Europa League","2024/2025","Rangers","Ath Bilbao","0","0","D","0","0","D","0","0","D"
"90476","10-04-25 21:00","Europe","Europa League","2024/2025","Tottenham","Eintracht Frankfurt","1","1","D","1","1","D","0","0","D"
"90477","10-04-25 18:45","Europe","Europa League","2024/2025","Bodo/Glimt","Lazio","2","0","H","0","0","D","2","0","H"
"90478","13-03-25 21:00","Europe","Europa League","2024/2025","Lyon","FCSB","4","0","H","2","0","H","2","0","H"
"90479","13-03-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Real Sociedad","4","1","H","1","1","D","3","0","H"
"90480","13-03-25 21:00","Europe","Europa League","2024/2025","Rangers","Fenerbahce","0","2","A","0","1","A","0","1","A"
"90481","13-03-25 21:00","Europe","Europa League","2024/2025","Tottenham","AZ Alkmaar","3","1","H","1","0","H","2","1","H"
"90482","13-03-25 18:45","Europe","Europa League","2024/2025","Ath Bilbao","AS Roma","3","1","H","1","0","H","2","1","H"
"90483","13-03-25 18:45","Europe","Europa League","2024/2025","Eintracht Frankfurt","Ajax","4","1","H","2","0","H","2","1","H"
"90484","13-03-25 18:45","Europe","Europa League","2024/2025","Lazio","Plzen","1","1","D","0","0","D","1","1","D"
"90485","13-03-25 18:45","Europe","Europa League","2024/2025","Olympiacos Piraeus","Bodo/Glimt","2","1","H","0","1","A","2","0","H"
"90486","06-03-25 21:00","Europe","Europa League","2024/2025","Ajax","Eintracht Frankfurt","1","2","A","1","1","D","0","1","A"
"90487","06-03-25 21:00","Europe","Europa League","2024/2025","AS Roma","Ath Bilbao","2","1","H","0","0","D","2","1","H"
"90488","06-03-25 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Olympiacos Piraeus","3","0","H","2","0","H","1","0","H"
"90489","06-03-25 21:00","Europe","Europa League","2024/2025","Plzen","Lazio","1","2","A","0","1","A","1","1","D"
"90490","06-03-25 18:45","Europe","Europa League","2024/2025","AZ Alkmaar","Tottenham","1","0","H","1","0","H","0","0","D"
"90491","06-03-25 18:45","Europe","Europa League","2024/2025","FCSB","Lyon","1","3","A","0","1","A","1","2","A"
"90492","06-03-25 18:45","Europe","Europa League","2024/2025","Fenerbahce","Rangers","1","3","A","1","2","A","0","1","A"
"90493","06-03-25 18:45","Europe","Europa League","2024/2025","Real Sociedad","Manchester Utd","1","1","D","0","0","D","1","1","D"
"90494","20-02-25 21:00","Europe","Europa League","2024/2025","Ajax","Royale Union SG","0","2","A","0","2","A","0","0","D"
"90495","20-02-25 21:00","Europe","Europa League","2024/2025","Anderlecht","Fenerbahce","2","2","D","1","1","D","1","1","D"
"90496","20-02-25 21:00","Europe","Europa League","2024/2025","Plzen","Ferencvaros","3","0","H","3","0","H","0","0","D"
"90497","20-02-25 21:00","Europe","Europa League","2024/2025","Real Sociedad","Midtjylland","5","2","H","3","2","H","2","0","H"
"90498","20-02-25 18:45","Europe","Europa League","2024/2025","AS Roma","FC Porto","3","2","H","2","1","H","1","1","D"
"90499","20-02-25 18:45","Europe","Europa League","2024/2025","Bodo/Glimt","Twente","3","2","H","0","1","A","3","1","H"
"90500","20-02-25 18:45","Europe","Europa League","2024/2025","FCSB","PAOK","2","0","H","1","0","H","1","0","H"
"90501","20-02-25 18:45","Europe","Europa League","2024/2025","Galatasaray","AZ Alkmaar","2","2","D","0","1","A","2","1","H"
"90502","13-02-25 21:00","Europe","Europa League","2024/2025","AZ Alkmaar","Galatasaray","4","1","H","2","1","H","2","0","H"
"90503","13-02-25 21:00","Europe","Europa League","2024/2025","FC Porto","AS Roma","1","1","D","0","1","A","1","0","H"
"90504","13-02-25 21:00","Europe","Europa League","2024/2025","PAOK","FCSB","1","2","A","1","0","H","0","2","A"
"90505","13-02-25 21:00","Europe","Europa League","2024/2025","Twente","Bodo/Glimt","2","1","H","1","0","H","1","1","D"
"90506","13-02-25 18:45","Europe","Europa League","2024/2025","Fenerbahce","Anderlecht","3","0","H","2","0","H","1","0","H"
"90507","13-02-25 18:45","Europe","Europa League","2024/2025","Ferencvaros","Plzen","1","0","H","1","0","H","0","0","D"
"90508","13-02-25 18:45","Europe","Europa League","2024/2025","Midtjylland","Real Sociedad","1","2","A","1","2","A","0","0","D"
"90509","13-02-25 18:45","Europe","Europa League","2024/2025","Royale Union SG","Ajax","0","2","A","0","0","D","0","2","A"
"90510","30-01-25 21:00","Europe","Europa League","2024/2025","Ajax","Galatasaray","2","1","H","1","0","H","1","1","D"
"90511","30-01-25 21:00","Europe","Europa League","2024/2025","Anderlecht","Hoffenheim","3","4","A","1","1","D","2","3","A"
"90512","30-01-25 21:00","Europe","Europa League","2024/2025","AS Roma","Eintracht Frankfurt","2","0","H","1","0","H","1","0","H"
"90513","30-01-25 21:00","Europe","Europa League","2024/2025","Ath Bilbao","Plzen","3","1","H","1","0","H","2","1","H"
"90514","30-01-25 21:00","Europe","Europa League","2024/2025","Braga","Lazio","1","0","H","1","0","H","0","0","D"
"90515","30-01-25 21:00","Europe","Europa League","2024/2025","Dyn. Kyiv","RFS","1","0","H","0","0","D","1","0","H"
"90516","30-01-25 21:00","Europe","Europa League","2024/2025","FCSB","Manchester Utd","0","2","A","0","0","D","0","2","A"
"90517","30-01-25 21:00","Europe","Europa League","2024/2025","Ferencvaros","AZ Alkmaar","4","3","H","3","0","H","1","3","A"
"90518","30-01-25 21:00","Europe","Europa League","2024/2025","Lyon","Ludogorets","1","1","D","0","0","D","1","1","D"
"90519","30-01-25 21:00","Europe","Europa League","2024/2025","Maccabi Tel Aviv","FC Porto","0","1","A","0","0","D","0","1","A"
"90520","30-01-25 21:00","Europe","Europa League","2024/2025","Midtjylland","Fenerbahce","2","2","D","1","1","D","1","1","D"
"90521","30-01-25 21:00","Europe","Europa League","2024/2025","Nice","Bodo/Glimt","1","1","D","0","0","D","1","1","D"
"90522","30-01-25 21:00","Europe","Europa League","2024/2025","Olympiacos Piraeus","Qarabag","3","0","H","0","0","D","3","0","H"
"90523","30-01-25 21:00","Europe","Europa League","2024/2025","Rangers","Royale Union SG","2","1","H","1","0","H","1","1","D"
"90524","30-01-25 21:00","Europe","Europa League","2024/2025","Real Sociedad","PAOK","2","0","H","1","0","H","1","0","H"
"90525","30-01-25 21:00","Europe","Europa League","2024/2025","Slavia Prague","Malmo FF","2","2","D","0","0","D","2","2","D"
"90526","30-01-25 21:00","Europe","Europa League","2024/2025","Tottenham","Elfsborg","3","0","H","0","0","D","3","0","H"
"90527","30-01-25 21:00","Europe","Europa League","2024/2025","Twente","Besiktas","1","0","H","0","0","D","1","0","H"
"90528","23-01-25 21:00","Europe","Europa League","2024/2025","Eintracht Frankfurt","Ferencvaros","2","0","H","0","0","D","2","0","H"
"90529","23-01-25 21:00","Europe","Europa League","2024/2025","Elfsborg","Nice","1","0","H","0","0","D","1","0","H"
"90530","23-01-25 21:00","Europe","Europa League","2024/2025","Lazio","Real Sociedad","3","1","H","3","0","H","0","1","A"
"90531","23-01-25 21:00","Europe","Europa League","2024/2025","Ludogorets","Midtjylland","0","2","A","0","1","A","0","1","A"
"90532","23-01-25 21:00","Europe","Europa League","2024/2025","Manchester Utd","Rangers","2","1","H","0","0","D","2","1","H"
"90533","23-01-25 21:00","Europe","Europa League","2024/2025","PAOK","Slavia Prague","2","0","H","1","0","H","1","0","H"
"90534","23-01-25 21:00","Europe","Europa League","2024/2025","RFS","Ajax","1","0","H","0","0","D","1","0","H"
"90535","23-01-25 21:00","Europe","Europa League","2024/2025","Royale Union SG","Braga","2","1","H","0","1","A","2","0","H"
"90536","23-01-25 18:45","Europe","Europa League","2024/2025","AZ Alkmaar","AS Roma","1","0","H","0","0","D","1","0","H"
"90537","23-01-25 18:45","Europe","Europa League","2024/2025","Bodo/Glimt","Maccabi Tel Aviv","3","1","H","1","1","D","2","0","H"
"90538","23-01-25 18:45","Europe","Europa League","2024/2025","FC Porto","Olympiacos Piraeus","0","1","A","0","0","D","0","1","A"
"90539","23-01-25 18:45","Europe","Europa League","2024/2025","Fenerbahce","Lyon","0","0","D","0","0","D","0","0","D"
"90540","23-01-25 18:45","Europe","Europa League","2024/2025","Hoffenheim","Tottenham","2","3","A","0","2","A","2","1","H"
"90541","23-01-25 18:45","Europe","Europa League","2024/2025","Malmo FF","Twente","2","3","A","1","1","D","1","2","A"
"90542","23-01-25 18:45","Europe","Europa League","2024/2025","Plzen","Anderlecht","2","0","H","2","0","H","0","0","D"
"90543","23-01-25 18:45","Europe","Europa League","2024/2025","Qarabag","FCSB","2","3","A","2","2","D","0","1","A"
"90544","22-01-25 16:30","Europe","Europa League","2024/2025","Besiktas","Ath Bilbao","4","1","H","1","1","D","3","0","H"
"90545","21-01-25 16:30","Europe","Europa League","2024/2025","Galatasaray","Dyn. Kyiv","3","3","D","2","1","H","1","2","A"
"90546","12-12-24 21:00","Europe","Europa League","2024/2025","Ajax","Lazio","1","3","A","0","1","A","1","2","A"
"90547","12-12-24 21:00","Europe","Europa League","2024/2025","Bodo/Glimt","Besiktas","2","1","H","2","1","H","0","0","D"
"90548","12-12-24 21:00","Europe","Europa League","2024/2025","Elfsborg","Qarabag","1","0","H","0","0","D","1","0","H"
"90549","12-12-24 21:00","Europe","Europa League","2024/2025","FC Porto","Midtjylland","2","0","H","1","0","H","1","0","H"
"90550","12-12-24 21:00","Europe","Europa League","2024/2025","Lyon","Eintracht Frankfurt","3","2","H","1","1","D","2","1","H"
"90551","12-12-24 21:00","Europe","Europa League","2024/2025","Maccabi Tel Aviv","RFS","2","1","H","1","0","H","1","1","D"
"90552","12-12-24 21:00","Europe","Europa League","2024/2025","Rangers","Tottenham","1","1","D","0","0","D","1","1","D"
"90553","12-12-24 21:00","Europe","Europa League","2024/2025","Real Sociedad","Dyn. Kyiv","3","0","H","3","0","H","0","0","D"
"90554","12-12-24 21:00","Europe","Europa League","2024/2025","Slavia Prague","Anderlecht","1","2","A","0","2","A","1","0","H"
