"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"85220","25-01-26 20:45","France","Ligue 1","2025/2026","Lille","Strasbourg","1","4","A","0","2","A","1","2","A"
"85208","25-01-26 17:15","France","Ligue 1","2025/2026","Brest","Toulouse","0","2","A","0","2","A","0","0","D"
"85209","25-01-26 17:15","France","Ligue 1","2025/2026","Metz","Lyon","2","5","A","1","4","A","1","1","D"
"85210","25-01-26 17:15","France","Ligue 1","2025/2026","Paris FC","Angers","0","0","D","0","0","D","0","0","D"
"85194","25-01-26 15:00","France","Ligue 1","2025/2026","Nantes","Nice","1","4","A","1","3","A","0","1","A"
"84324","24-01-26 21:05","France","Ligue 1","2025/2026","Marseille","Lens","3","1","H","2","0","H","1","1","D"
"84314","24-01-26 19:00","France","Ligue 1","2025/2026","Le Havre","Monaco","0","0","D","0","0","D","0","0","D"
"84304","24-01-26 17:00","France","Ligue 1","2025/2026","Rennes","Lorient","0","2","A","0","1","A","0","1","A"
"83917","23-01-26 20:00","France","Ligue 1","2025/2026","Auxerre","PSG","0","1","A","0","0","D","0","1","A"
"79704","18-01-26 20:45","France","Ligue 1","2025/2026","Lyon","Brest","2","1","H","2","0","H","0","1","A"
"79693","18-01-26 17:15","France","Ligue 1","2025/2026","Nantes","Paris FC","1","2","A","0","1","A","1","1","D"
"79694","18-01-26 17:15","France","Ligue 1","2025/2026","Rennes","Le Havre","1","1","D","0","0","D","1","1","D"
"79683","18-01-26 15:00","France","Ligue 1","2025/2026","Strasbourg","Metz","2","1","H","2","1","H","0","0","D"
"79668","17-01-26 21:05","France","Ligue 1","2025/2026","Angers","Marseille","2","5","A","1","4","A","1","1","D"
"79656","17-01-26 19:00","France","Ligue 1","2025/2026","Toulouse","Nice","5","1","H","2","0","H","3","1","H"
"79646","17-01-26 17:00","France","Ligue 1","2025/2026","Lens","Auxerre","1","0","H","0","0","D","1","0","H"
"79576","16-01-26 21:00","France","Ligue 1","2025/2026","PSG","Lille","3","0","H","1","0","H","2","0","H"
"79565","16-01-26 19:00","France","Ligue 1","2025/2026","Monaco","Lorient","1","3","A","0","0","D","1","3","A"
"75781","04-01-26 20:45","France","Ligue 1","2025/2026","PSG","Paris FC","2","1","H","1","0","H","1","1","D"
"75771","04-01-26 17:15","France","Ligue 1","2025/2026","Brest","Auxerre","2","0","H","1","0","H","1","0","H"
"75772","04-01-26 17:15","France","Ligue 1","2025/2026","Le Havre","Angers","2","1","H","1","0","H","1","1","D"
"75773","04-01-26 17:15","France","Ligue 1","2025/2026","Lorient","Metz","1","1","D","0","1","A","1","0","H"
"75750","04-01-26 15:00","France","Ligue 1","2025/2026","Marseille","Nantes","0","2","A","0","1","A","0","1","A"
"75737","03-01-26 21:05","France","Ligue 1","2025/2026","Lille","Rennes","0","2","A","0","0","D","0","2","A"
"75724","03-01-26 19:00","France","Ligue 1","2025/2026","Nice","Strasbourg","1","1","D","0","1","A","1","0","H"
"75719","03-01-26 17:00","France","Ligue 1","2025/2026","Monaco","Lyon","1","3","A","1","1","D","0","2","A"
"75694","02-01-26 20:45","France","Ligue 1","2025/2026","Toulouse","Lens","0","3","A","0","0","D","0","3","A"
"75313","14-12-25 20:45","France","Ligue 1","2025/2026","Marseille","Monaco","1","0","H","0","0","D","1","0","H"
"75314","14-12-25 17:15","France","Ligue 1","2025/2026","Auxerre","Lille","3","4","A","0","1","A","3","3","D"
"75315","14-12-25 17:15","France","Ligue 1","2025/2026","Lens","Nice","2","0","H","1","0","H","1","0","H"
"75316","14-12-25 17:15","France","Ligue 1","2025/2026","Strasbourg","Lorient","0","0","D","0","0","D","0","0","D"
"75317","14-12-25 15:00","France","Ligue 1","2025/2026","Lyon","Le Havre","1","0","H","0","0","D","1","0","H"
"75259","13-12-25 21:05","France","Ligue 1","2025/2026","Paris FC","Toulouse","0","3","A","0","2","A","0","1","A"
"75260","13-12-25 19:00","France","Ligue 1","2025/2026","Metz","PSG","2","3","A","1","2","A","1","1","D"
"75261","13-12-25 17:00","France","Ligue 1","2025/2026","Rennes","Brest","3","1","H","2","1","H","1","0","H"
"75204","12-12-25 20:45","France","Ligue 1","2025/2026","Angers","Nantes","4","1","H","1","0","H","3","1","H"
"75091","07-12-25 20:45","France","Ligue 1","2025/2026","Lorient","Lyon","1","0","H","1","0","H","0","0","D"
"75092","07-12-25 17:15","France","Ligue 1","2025/2026","Auxerre","Metz","3","1","H","2","1","H","1","0","H"
"75093","07-12-25 17:15","France","Ligue 1","2025/2026","Le Havre","Paris FC","0","0","D","0","0","D","0","0","D"
"75094","07-12-25 15:00","France","Ligue 1","2025/2026","Nice","Angers","0","1","A","0","1","A","0","0","D"
"75034","06-12-25 21:05","France","Ligue 1","2025/2026","PSG","Rennes","5","0","H","2","0","H","3","0","H"
"75035","06-12-25 19:00","France","Ligue 1","2025/2026","Toulouse","Strasbourg","1","0","H","1","0","H","0","0","D"
"75036","06-12-25 17:00","France","Ligue 1","2025/2026","Nantes","Lens","1","2","A","1","1","D","0","1","A"
"74994","05-12-25 21:00","France","Ligue 1","2025/2026","Lille","Marseille","1","0","H","1","0","H","0","0","D"
"74995","05-12-25 19:00","France","Ligue 1","2025/2026","Brest","Monaco","1","0","H","1","0","H","0","0","D"
"74900","30-11-25 20:45","France","Ligue 1","2025/2026","Lyon","Nantes","3","0","H","0","0","D","3","0","H"
"74901","30-11-25 17:15","France","Ligue 1","2025/2026","Angers","Lens","1","2","A","0","1","A","1","1","D"
"74902","30-11-25 17:15","France","Ligue 1","2025/2026","Le Havre","Lille","0","1","A","0","0","D","0","1","A"
"74903","30-11-25 17:15","France","Ligue 1","2025/2026","Lorient","Nice","3","1","H","2","1","H","1","0","H"
"74904","30-11-25 15:00","France","Ligue 1","2025/2026","Strasbourg","Brest","1","2","A","1","0","H","0","2","A"
"74841","29-11-25 21:05","France","Ligue 1","2025/2026","Marseille","Toulouse","2","2","D","0","1","A","2","1","H"
"74842","29-11-25 19:00","France","Ligue 1","2025/2026","Paris FC","Auxerre","1","1","D","1","1","D","0","0","D"
"74843","29-11-25 17:00","France","Ligue 1","2025/2026","Monaco","PSG","1","0","H","0","0","D","1","0","H"
"74787","28-11-25 20:45","France","Ligue 1","2025/2026","Metz","Rennes","0","1","A","0","1","A","0","0","D"
"74686","23-11-25 20:45","France","Ligue 1","2025/2026","Lille","Paris FC","4","2","H","1","1","D","3","1","H"
"74687","23-11-25 17:15","France","Ligue 1","2025/2026","Brest","Metz","3","2","H","1","1","D","2","1","H"
"74688","23-11-25 17:15","France","Ligue 1","2025/2026","Nantes","Lorient","1","1","D","0","1","A","1","0","H"
"74689","23-11-25 17:15","France","Ligue 1","2025/2026","Toulouse","Angers","0","1","A","0","1","A","0","0","D"
"74690","23-11-25 15:00","France","Ligue 1","2025/2026","Auxerre","Lyon","0","0","D","0","0","D","0","0","D"
"74627","22-11-25 21:05","France","Ligue 1","2025/2026","PSG","Le Havre","3","0","H","1","0","H","2","0","H"
"74628","22-11-25 19:00","France","Ligue 1","2025/2026","Rennes","Monaco","4","1","H","1","0","H","3","1","H"
"74629","22-11-25 17:00","France","Ligue 1","2025/2026","Lens","Strasbourg","1","0","H","0","0","D","1","0","H"
"74571","21-11-25 20:45","France","Ligue 1","2025/2026","Nice","Marseille","1","5","A","0","2","A","1","3","A"
"74470","09-11-25 20:45","France","Ligue 1","2025/2026","Lyon","PSG","2","3","A","1","2","A","1","1","D"
"74471","09-11-25 17:15","France","Ligue 1","2025/2026","Angers","Auxerre","2","0","H","0","0","D","2","0","H"
"74472","09-11-25 17:15","France","Ligue 1","2025/2026","Metz","Nice","2","1","H","0","1","A","2","0","H"
"74473","09-11-25 17:15","France","Ligue 1","2025/2026","Strasbourg","Lille","2","0","H","1","0","H","1","0","H"
"74474","09-11-25 15:00","France","Ligue 1","2025/2026","Lorient","Toulouse","1","1","D","1","0","H","0","1","A"
"74403","08-11-25 21:05","France","Ligue 1","2025/2026","Monaco","Lens","1","4","A","1","3","A","0","1","A"
"74404","08-11-25 19:00","France","Ligue 1","2025/2026","Le Havre","Nantes","1","1","D","0","1","A","1","0","H"
"74405","08-11-25 17:00","France","Ligue 1","2025/2026","Marseille","Brest","3","0","H","2","0","H","1","0","H"
"74343","07-11-25 20:45","France","Ligue 1","2025/2026","Paris FC","Rennes","0","1","A","0","0","D","0","1","A"
"74237","02-11-25 20:45","France","Ligue 1","2025/2026","Brest","Lyon","0","0","D","0","0","D","0","0","D"
"74238","02-11-25 17:15","France","Ligue 1","2025/2026","Lens","Lorient","3","0","H","1","0","H","2","0","H"
"74239","02-11-25 17:15","France","Ligue 1","2025/2026","Lille","Angers","1","0","H","1","0","H","0","0","D"
"74240","02-11-25 17:15","France","Ligue 1","2025/2026","Nantes","Metz","0","2","A","0","0","D","0","2","A"
"74241","02-11-25 17:15","France","Ligue 1","2025/2026","Toulouse","Le Havre","0","0","D","0","0","D","0","0","D"
"74242","02-11-25 15:00","France","Ligue 1","2025/2026","Rennes","Strasbourg","4","1","H","2","0","H","2","1","H"
"74177","01-11-25 21:05","France","Ligue 1","2025/2026","Auxerre","Marseille","0","1","A","0","1","A","0","0","D"
"74178","01-11-25 19:00","France","Ligue 1","2025/2026","Monaco","Paris FC","0","1","A","0","0","D","0","1","A"
"74179","01-11-25 17:00","France","Ligue 1","2025/2026","PSG","Nice","1","0","H","0","0","D","1","0","H"
"72339","29-10-25 21:05","France","Ligue 1","2025/2026","Marseille","Angers","2","2","D","0","1","A","2","1","H"
