"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"15300","17-05-25 21:00","France","Ligue 1","2024/2025","Lens","Monaco","4","0","H","1","0","H","3","0","H"
"15301","17-05-25 21:00","France","Ligue 1","2024/2025","Lille","Reims","2","1","H","1","0","H","1","1","D"
"15302","17-05-25 21:00","France","Ligue 1","2024/2025","Lyon","Angers","2","0","H","0","0","D","2","0","H"
"15303","17-05-25 21:00","France","Ligue 1","2024/2025","Marseille","Rennes","4","2","H","3","1","H","1","1","D"
"15304","17-05-25 21:00","France","Ligue 1","2024/2025","Nantes","Montpellier","3","0","H","2","0","H","1","0","H"
"15305","17-05-25 21:00","France","Ligue 1","2024/2025","Nice","Brest","6","0","H","3","0","H","3","0","H"
"15306","17-05-25 21:00","France","Ligue 1","2024/2025","PSG","Auxerre","3","1","H","0","1","A","3","0","H"
"15307","17-05-25 21:00","France","Ligue 1","2024/2025","St Etienne","Toulouse","2","3","A","1","2","A","1","1","D"
"15308","17-05-25 21:00","France","Ligue 1","2024/2025","Strasbourg","Le Havre","2","3","A","1","1","D","1","2","A"
"15309","10-05-25 21:00","France","Ligue 1","2024/2025","Angers","Strasbourg","2","1","H","1","1","D","1","0","H"
"15310","10-05-25 21:00","France","Ligue 1","2024/2025","Auxerre","Nantes","1","1","D","1","0","H","0","1","A"
"15311","10-05-25 21:00","France","Ligue 1","2024/2025","Brest","Lille","2","0","H","1","0","H","1","0","H"
"15312","10-05-25 21:00","France","Ligue 1","2024/2025","Le Havre","Marseille","1","3","A","0","0","D","1","3","A"
"15313","10-05-25 21:00","France","Ligue 1","2024/2025","Monaco","Lyon","2","0","H","0","0","D","2","0","H"
"15314","10-05-25 21:00","France","Ligue 1","2024/2025","Montpellier","PSG","1","4","A","0","1","A","1","3","A"
"15315","10-05-25 21:00","France","Ligue 1","2024/2025","Reims","St Etienne","0","2","A","0","2","A","0","0","D"
"15316","10-05-25 21:00","France","Ligue 1","2024/2025","Rennes","Nice","2","0","H","1","0","H","1","0","H"
"15317","10-05-25 21:00","France","Ligue 1","2024/2025","Toulouse","Lens","1","1","D","0","0","D","1","1","D"
"15318","04-05-25 20:45","France","Ligue 1","2024/2025","Lille","Marseille","1","1","D","0","0","D","1","1","D"
"15319","04-05-25 17:15","France","Ligue 1","2024/2025","Auxerre","Le Havre","1","2","A","0","0","D","1","2","A"
"15320","04-05-25 17:15","France","Ligue 1","2024/2025","Brest","Montpellier","1","0","H","1","0","H","0","0","D"
"15321","04-05-25 17:15","France","Ligue 1","2024/2025","Lyon","Lens","1","2","A","0","1","A","1","1","D"
"15322","04-05-25 15:00","France","Ligue 1","2024/2025","Nantes","Angers","0","1","A","0","0","D","0","1","A"
"15323","03-05-25 21:05","France","Ligue 1","2024/2025","St Etienne","Monaco","1","3","A","0","1","A","1","2","A"
"15324","03-05-25 19:00","France","Ligue 1","2024/2025","Toulouse","Rennes","2","1","H","1","0","H","1","1","D"
"15325","03-05-25 17:00","France","Ligue 1","2024/2025","Strasbourg","PSG","2","1","H","2","0","H","0","1","A"
"15326","02-05-25 20:45","France","Ligue 1","2024/2025","Nice","Reims","1","0","H","1","0","H","0","0","D"
"15327","27-04-25 20:45","France","Ligue 1","2024/2025","Marseille","Brest","4","1","H","3","1","H","1","0","H"
"15328","27-04-25 17:15","France","Ligue 1","2024/2025","Lens","Auxerre","0","4","A","0","3","A","0","1","A"
"15329","27-04-25 17:15","France","Ligue 1","2024/2025","Montpellier","Reims","0","0","D","0","0","D","0","0","D"
"15330","27-04-25 17:15","France","Ligue 1","2024/2025","Nantes","Toulouse","0","0","D","0","0","D","0","0","D"
"15331","27-04-25 15:00","France","Ligue 1","2024/2025","Angers","Lille","0","2","A","0","1","A","0","1","A"
"15332","26-04-25 21:05","France","Ligue 1","2024/2025","Lyon","Rennes","4","1","H","3","0","H","1","1","D"
"15333","26-04-25 19:00","France","Ligue 1","2024/2025","Le Havre","Monaco","1","1","D","1","0","H","0","1","A"
"15334","26-04-25 17:00","France","Ligue 1","2024/2025","Strasbourg","St Etienne","3","1","H","1","1","D","2","0","H"
"15335","25-04-25 20:45","France","Ligue 1","2024/2025","PSG","Nice","1","3","A","1","1","D","0","2","A"
"15336","22-04-25 20:45","France","Ligue 1","2024/2025","Nantes","PSG","1","1","D","0","1","A","1","0","H"
"15337","20-04-25 20:45","France","Ligue 1","2024/2025","St Etienne","Lyon","2","1","H","1","0","H","1","1","D"
"15338","20-04-25 17:15","France","Ligue 1","2024/2025","Brest","Lens","1","3","A","1","2","A","0","1","A"
"15339","20-04-25 17:15","France","Ligue 1","2024/2025","Nice","Angers","2","1","H","1","0","H","1","1","D"
"15340","20-04-25 17:15","France","Ligue 1","2024/2025","Reims","Toulouse","1","0","H","1","0","H","0","0","D"
"15341","20-04-25 15:00","France","Ligue 1","2024/2025","Lille","Auxerre","3","1","H","2","0","H","1","1","D"
"15342","19-04-25 21:05","France","Ligue 1","2024/2025","Marseille","Montpellier","5","1","H","1","0","H","4","1","H"
"15343","19-04-25 19:00","France","Ligue 1","2024/2025","Monaco","Strasbourg","0","0","D","0","0","D","0","0","D"
"15344","19-04-25 17:00","France","Ligue 1","2024/2025","PSG","Le Havre","2","1","H","1","0","H","1","1","D"
"15345","18-04-25 20:45","France","Ligue 1","2024/2025","Rennes","Nantes","2","1","H","1","0","H","1","1","D"
"15346","13-04-25 20:45","France","Ligue 1","2024/2025","Auxerre","Lyon","1","3","A","0","0","D","1","3","A"
"15347","13-04-25 17:15","France","Ligue 1","2024/2025","Angers","Montpellier","2","0","H","2","0","H","0","0","D"
"15348","13-04-25 17:15","France","Ligue 1","2024/2025","Le Havre","Rennes","1","5","A","1","3","A","0","2","A"
"15349","13-04-25 15:00","France","Ligue 1","2024/2025","St Etienne","Brest","3","3","D","2","3","A","1","0","H"
"15350","12-04-25 21:05","France","Ligue 1","2024/2025","Strasbourg","Nice","2","2","D","0","1","A","2","1","H"
