"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"87032","27-01-26 20:30","Germany","Bundesliga","2025/2026","St. Pauli","RB Leipzig","1","1","D","0","0","D","1","1","D"
"87033","27-01-26 20:30","Germany","Bundesliga","2025/2026","Werder Bremen","Hoffenheim","0","2","A","0","1","A","0","1","A"
"85213","25-01-26 17:30","Germany","Bundesliga","2025/2026","Freiburg","FC Koln","2","1","H","2","1","H","0","0","D"
"85200","25-01-26 15:30","Germany","Bundesliga","2025/2026","B. Monchengladbach","Stuttgart","0","3","A","0","1","A","0","2","A"
"84309","24-01-26 18:30","Germany","Bundesliga","2025/2026","Union Berlin","Dortmund","0","3","A","0","1","A","0","2","A"
"84264","24-01-26 15:30","Germany","Bundesliga","2025/2026","Bayer Leverkusen","Werder Bremen","1","0","H","1","0","H","0","0","D"
"84265","24-01-26 15:30","Germany","Bundesliga","2025/2026","Bayern Munich","Augsburg","1","2","A","1","0","H","0","2","A"
"84266","24-01-26 15:30","Germany","Bundesliga","2025/2026","Eintracht Frankfurt","Hoffenheim","1","3","A","1","0","H","0","3","A"
"84267","24-01-26 15:30","Germany","Bundesliga","2025/2026","Heidenheim","RB Leipzig","0","3","A","0","0","D","0","3","A"
"84268","24-01-26 15:30","Germany","Bundesliga","2025/2026","Mainz","Wolfsburg","3","1","H","0","1","A","3","0","H"
"83923","23-01-26 20:30","Germany","Bundesliga","2025/2026","St. Pauli","Hamburger SV","0","0","D","0","0","D","0","0","D"
"79697","18-01-26 17:30","Germany","Bundesliga","2025/2026","Augsburg","Freiburg","2","2","D","0","0","D","2","2","D"
"79688","18-01-26 15:30","Germany","Bundesliga","2025/2026","Stuttgart","Union Berlin","1","1","D","0","0","D","1","1","D"
"79652","17-01-26 18:30","Germany","Bundesliga","2025/2026","RB Leipzig","Bayern Munich","1","5","A","1","0","H","0","5","A"
"79605","17-01-26 15:30","Germany","Bundesliga","2025/2026","Dortmund","St. Pauli","3","2","H","1","0","H","2","2","D"
"79606","17-01-26 15:30","Germany","Bundesliga","2025/2026","FC Koln","Mainz","2","1","H","0","1","A","2","0","H"
"79607","17-01-26 15:30","Germany","Bundesliga","2025/2026","Hamburger SV","B. Monchengladbach","0","0","D","0","0","D","0","0","D"
"79608","17-01-26 15:30","Germany","Bundesliga","2025/2026","Hoffenheim","Bayer Leverkusen","1","0","H","1","0","H","0","0","D"
"79609","17-01-26 15:30","Germany","Bundesliga","2025/2026","Wolfsburg","Heidenheim","1","1","D","0","1","A","1","0","H"
"79571","16-01-26 20:30","Germany","Bundesliga","2025/2026","Werder Bremen","Eintracht Frankfurt","3","3","D","1","1","D","2","2","D"
"79561","15-01-26 20:30","Germany","Bundesliga","2025/2026","Augsburg","Union Berlin","1","1","D","1","0","H","0","1","A"
"79554","14-01-26 20:30","Germany","Bundesliga","2025/2026","FC Koln","Bayern Munich","1","3","A","1","1","D","0","2","A"
"79555","14-01-26 20:30","Germany","Bundesliga","2025/2026","Hoffenheim","B. Monchengladbach","5","1","H","4","0","H","1","1","D"
"79556","14-01-26 20:30","Germany","Bundesliga","2025/2026","RB Leipzig","Freiburg","2","0","H","0","0","D","2","0","H"
"79552","14-01-26 18:30","Germany","Bundesliga","2025/2026","Wolfsburg","St. Pauli","2","1","H","1","1","D","1","0","H"
"79550","13-01-26 20:30","Germany","Bundesliga","2025/2026","Dortmund","Werder Bremen","3","0","H","1","0","H","2","0","H"
"79551","13-01-26 20:30","Germany","Bundesliga","2025/2026","Mainz","Heidenheim","2","1","H","1","0","H","1","1","D"
"79549","13-01-26 18:30","Germany","Bundesliga","2025/2026","Stuttgart","Eintracht Frankfurt","3","2","H","2","1","H","1","1","D"
"79027","11-01-26 17:30","Germany","Bundesliga","2025/2026","Bayern Munich","Wolfsburg","8","1","H","2","1","H","6","0","H"
"79020","11-01-26 15:30","Germany","Bundesliga","2025/2026","B. Monchengladbach","Augsburg","4","0","H","3","0","H","1","0","H"
"77855","10-01-26 18:30","Germany","Bundesliga","2025/2026","Bayer Leverkusen","Stuttgart","1","4","A","0","4","A","1","0","H"
"77841","10-01-26 15:30","Germany","Bundesliga","2025/2026","Freiburg","Hamburger SV","2","1","H","0","0","D","2","1","H"
"77842","10-01-26 15:30","Germany","Bundesliga","2025/2026","Heidenheim","FC Koln","2","2","D","2","1","H","0","1","A"
"77843","10-01-26 15:30","Germany","Bundesliga","2025/2026","Union Berlin","Mainz","2","2","D","0","1","A","2","1","H"
"76525","09-01-26 20:30","Germany","Bundesliga","2025/2026","Eintracht Frankfurt","Dortmund","3","3","D","1","1","D","2","2","D"
"75464","21-12-25 17:30","Germany","Bundesliga","2025/2026","Heidenheim","Bayern Munich","0","4","A","0","2","A","0","2","A"
