"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"14234","17-05-25 15:30","Germany","Bundesliga","2024/2025","Augsburg","Union Berlin","1","2","A","1","0","H","0","2","A"
"14235","17-05-25 15:30","Germany","Bundesliga","2024/2025","B. Monchengladbach","Wolfsburg","0","1","A","0","0","D","0","1","A"
"14236","17-05-25 15:30","Germany","Bundesliga","2024/2025","Dortmund","Holstein Kiel","3","0","H","1","0","H","2","0","H"
"14237","17-05-25 15:30","Germany","Bundesliga","2024/2025","Freiburg","Eintracht Frankfurt","1","3","A","1","1","D","0","2","A"
"14238","17-05-25 15:30","Germany","Bundesliga","2024/2025","Heidenheim","Werder Bremen","1","4","A","0","2","A","1","2","A"
"14239","17-05-25 15:30","Germany","Bundesliga","2024/2025","Hoffenheim","Bayern Munich","0","4","A","0","1","A","0","3","A"
"14240","17-05-25 15:30","Germany","Bundesliga","2024/2025","Mainz","Bayer Leverkusen","2","2","D","1","0","H","1","2","A"
"14241","17-05-25 15:30","Germany","Bundesliga","2024/2025","RB Leipzig","Stuttgart","2","3","A","2","1","H","0","2","A"
"14242","17-05-25 15:30","Germany","Bundesliga","2024/2025","St. Pauli","Bochum","0","2","A","0","1","A","0","1","A"
"14243","11-05-25 19:30","Germany","Bundesliga","2024/2025","Stuttgart","Augsburg","4","0","H","1","0","H","3","0","H"
"14244","11-05-25 17:30","Germany","Bundesliga","2024/2025","Eintracht Frankfurt","St. Pauli","2","2","D","1","2","A","1","0","H"
"14245","11-05-25 15:30","Germany","Bundesliga","2024/2025","Bayer Leverkusen","Dortmund","2","4","A","1","2","A","1","2","A"
"14246","10-05-25 18:30","Germany","Bundesliga","2024/2025","Bayern Munich","B. Monchengladbach","2","0","H","1","0","H","1","0","H"
"14247","10-05-25 15:30","Germany","Bundesliga","2024/2025","Bochum","Mainz","1","4","A","0","1","A","1","3","A"
"14248","10-05-25 15:30","Germany","Bundesliga","2024/2025","Holstein Kiel","Freiburg","1","2","A","1","1","D","0","1","A"
"14249","10-05-25 15:30","Germany","Bundesliga","2024/2025","Union Berlin","Heidenheim","0","3","A","0","1","A","0","2","A"
"14250","10-05-25 15:30","Germany","Bundesliga","2024/2025","Werder Bremen","RB Leipzig","0","0","D","0","0","D","0","0","D"
"14251","09-05-25 20:30","Germany","Bundesliga","2024/2025","Wolfsburg","Hoffenheim","2","2","D","1","1","D","1","1","D"
"14252","04-05-25 19:30","Germany","Bundesliga","2024/2025","Mainz","Eintracht Frankfurt","1","1","D","0","1","A","1","0","H"
"14253","04-05-25 17:30","Germany","Bundesliga","2024/2025","Freiburg","Bayer Leverkusen","2","2","D","1","0","H","1","2","A"
