"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"86845","26-01-26 20:45","Italy","Serie A","2025/2026","Verona","Udinese","1","3","A","1","1","D","0","2","A"
"85221","25-01-26 20:45","Italy","Serie A","2025/2026","AS Roma","AC Milan","1","1","D","0","0","D","1","1","D"
"85214","25-01-26 18:00","Italy","Serie A","2025/2026","Juventus","Napoli","3","0","H","1","0","H","2","0","H"
"85195","25-01-26 15:00","Italy","Serie A","2025/2026","Atalanta","Parma","4","0","H","2","0","H","2","0","H"
"85196","25-01-26 15:00","Italy","Serie A","2025/2026","Genoa","Bologna","3","2","H","0","1","A","3","1","H"
"85182","25-01-26 12:30","Italy","Serie A","2025/2026","Sassuolo","Cremonese","1","0","H","1","0","H","0","0","D"
"84320","24-01-26 20:45","Italy","Serie A","2025/2026","Lecce","Lazio","0","0","D","0","0","D","0","0","D"
"84306","24-01-26 18:00","Italy","Serie A","2025/2026","Fiorentina","Cagliari","1","2","A","0","1","A","1","1","D"
"84257","24-01-26 15:00","Italy","Serie A","2025/2026","Como","Torino","6","0","H","2","0","H","4","0","H"
"83926","23-01-26 20:45","Italy","Serie A","2025/2026","Inter","Pisa","6","2","H","3","2","H","3","0","H"
"81003","19-01-26 20:45","Italy","Serie A","2025/2026","Lazio","Como","0","3","A","0","2","A","0","1","A"
"81000","19-01-26 18:30","Italy","Serie A","2025/2026","Cremonese","Verona","0","0","D","0","0","D","0","0","D"
"79705","18-01-26 20:45","Italy","Serie A","2025/2026","AC Milan","Lecce","1","0","H","0","0","D","1","0","H"
"79698","18-01-26 18:00","Italy","Serie A","2025/2026","Torino","AS Roma","0","2","A","0","1","A","0","1","A"
"79684","18-01-26 15:00","Italy","Serie A","2025/2026","Bologna","Fiorentina","1","2","A","0","2","A","1","0","H"
"79673","18-01-26 12:30","Italy","Serie A","2025/2026","Parma","Genoa","0","0","D","0","0","D","0","0","D"
