"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"14920","25-05-25 20:45","Italy","Serie A","2024/2025","Atalanta","Parma","2","3","A","2","0","H","0","3","A"
"14921","25-05-25 20:45","Italy","Serie A","2024/2025","Empoli","Verona","1","2","A","1","1","D","0","1","A"
"14922","25-05-25 20:45","Italy","Serie A","2024/2025","Lazio","Lecce","0","1","A","0","1","A","0","0","D"
"14923","25-05-25 20:45","Italy","Serie A","2024/2025","Torino","AS Roma","0","2","A","0","1","A","0","1","A"
"14924","25-05-25 20:45","Italy","Serie A","2024/2025","Udinese","Fiorentina","2","3","A","1","0","H","1","3","A"
"14925","25-05-25 20:45","Italy","Serie A","2024/2025","Venezia","Juventus","2","3","A","1","2","A","1","1","D"
"14926","24-05-25 20:45","Italy","Serie A","2024/2025","AC Milan","Monza","2","0","H","0","0","D","2","0","H"
"14927","24-05-25 18:00","Italy","Serie A","2024/2025","Bologna","Genoa","1","3","A","0","3","A","1","0","H"
"14928","23-05-25 20:45","Italy","Serie A","2024/2025","Como","Inter","0","2","A","0","1","A","0","1","A"
"14929","23-05-25 20:45","Italy","Serie A","2024/2025","Napoli","Cagliari","2","0","H","1","0","H","1","0","H"
"14930","18-05-25 20:45","Italy","Serie A","2024/2025","AS Roma","AC Milan","3","1","H","1","1","D","2","0","H"
"14931","18-05-25 20:45","Italy","Serie A","2024/2025","Cagliari","Venezia","3","0","H","2","0","H","1","0","H"
"14932","18-05-25 20:45","Italy","Serie A","2024/2025","Fiorentina","Bologna","3","2","H","1","0","H","2","2","D"
"14933","18-05-25 20:45","Italy","Serie A","2024/2025","Inter","Lazio","2","2","D","1","0","H","1","2","A"
"14934","18-05-25 20:45","Italy","Serie A","2024/2025","Juventus","Udinese","2","0","H","0","0","D","2","0","H"
"14935","18-05-25 20:45","Italy","Serie A","2024/2025","Lecce","Torino","1","0","H","0","0","D","1","0","H"
"14936","18-05-25 20:45","Italy","Serie A","2024/2025","Monza","Empoli","1","3","A","1","0","H","0","3","A"
"14937","18-05-25 20:45","Italy","Serie A","2024/2025","Parma","Napoli","0","0","D","0","0","D","0","0","D"
"14938","18-05-25 20:45","Italy","Serie A","2024/2025","Verona","Como","1","1","D","0","1","A","1","0","H"
"14939","17-05-25 20:45","Italy","Serie A","2024/2025","Genoa","Atalanta","2","3","A","1","0","H","1","3","A"
"14940","12-05-25 20:45","Italy","Serie A","2024/2025","Atalanta","AS Roma","2","1","H","1","1","D","1","0","H"
"14941","12-05-25 18:30","Italy","Serie A","2024/2025","Venezia","Fiorentina","2","1","H","0","0","D","2","1","H"
"14942","11-05-25 20:45","Italy","Serie A","2024/2025","Napoli","Genoa","2","2","D","1","1","D","1","1","D"
"14943","11-05-25 18:00","Italy","Serie A","2024/2025","Torino","Inter","0","2","A","0","1","A","0","1","A"
"14944","11-05-25 15:00","Italy","Serie A","2024/2025","Verona","Lecce","1","1","D","1","1","D","0","0","D"
"14945","11-05-25 12:30","Italy","Serie A","2024/2025","Udinese","Monza","1","2","A","0","0","D","1","2","A"
"14946","10-05-25 20:45","Italy","Serie A","2024/2025","Empoli","Parma","2","1","H","1","0","H","1","1","D"
"14947","10-05-25 18:00","Italy","Serie A","2024/2025","Lazio","Juventus","1","1","D","0","0","D","1","1","D"
"14948","10-05-25 15:00","Italy","Serie A","2024/2025","Como","Cagliari","3","1","H","2","1","H","1","0","H"
"14949","09-05-25 20:45","Italy","Serie A","2024/2025","AC Milan","Bologna","3","1","H","0","0","D","3","1","H"
"14950","05-05-25 20:45","Italy","Serie A","2024/2025","Genoa","AC Milan","1","2","A","0","0","D","1","2","A"
"14951","04-05-25 20:45","Italy","Serie A","2024/2025","Bologna","Juventus","1","1","D","0","1","A","1","0","H"
"14952","04-05-25 18:00","Italy","Serie A","2024/2025","AS Roma","Fiorentina","1","0","H","1","0","H","0","0","D"
"14953","04-05-25 15:00","Italy","Serie A","2024/2025","Monza","Atalanta","0","4","A","0","2","A","0","2","A"
"14954","04-05-25 12:30","Italy","Serie A","2024/2025","Empoli","Lazio","0","1","A","0","1","A","0","0","D"
"14955","03-05-25 20:45","Italy","Serie A","2024/2025","Inter","Verona","1","0","H","1","0","H","0","0","D"
"14956","03-05-25 18:00","Italy","Serie A","2024/2025","Lecce","Napoli","0","1","A","0","1","A","0","0","D"
"14957","03-05-25 15:00","Italy","Serie A","2024/2025","Cagliari","Udinese","1","2","A","1","1","D","0","1","A"
"14958","03-05-25 15:00","Italy","Serie A","2024/2025","Parma","Como","0","1","A","0","0","D","0","1","A"
"14959","02-05-25 20:45","Italy","Serie A","2024/2025","Torino","Venezia","1","1","D","0","1","A","1","0","H"
"14960","28-04-25 20:45","Italy","Serie A","2024/2025","Lazio","Parma","2","2","D","0","1","A","2","1","H"
"14961","28-04-25 20:45","Italy","Serie A","2024/2025","Verona","Cagliari","0","2","A","0","1","A","0","1","A"
"14962","28-04-25 18:30","Italy","Serie A","2024/2025","Udinese","Bologna","0","0","D","0","0","D","0","0","D"
"14963","27-04-25 20:45","Italy","Serie A","2024/2025","Atalanta","Lecce","1","1","D","0","1","A","1","0","H"
"14964","27-04-25 20:45","Italy","Serie A","2024/2025","Napoli","Torino","2","0","H","2","0","H","0","0","D"
"14965","27-04-25 18:00","Italy","Serie A","2024/2025","Juventus","Monza","2","0","H","2","0","H","0","0","D"
"14966","27-04-25 15:00","Italy","Serie A","2024/2025","Fiorentina","Empoli","2","1","H","2","0","H","0","1","A"
"14967","27-04-25 15:00","Italy","Serie A","2024/2025","Inter","AS Roma","0","1","A","0","1","A","0","0","D"
"14968","27-04-25 12:30","Italy","Serie A","2024/2025","Como","Genoa","1","0","H","0","0","D","1","0","H"
"14969","27-04-25 12:30","Italy","Serie A","2024/2025","Venezia","AC Milan","0","2","A","0","1","A","0","1","A"
"14970","23-04-25 18:30","Italy","Serie A","2024/2025","Cagliari","Fiorentina","1","2","A","1","1","D","0","1","A"
"14971","23-04-25 18:30","Italy","Serie A","2024/2025","Genoa","Lazio","0","2","A","0","1","A","0","1","A"
"14972","23-04-25 18:30","Italy","Serie A","2024/2025","Parma","Juventus","1","0","H","1","0","H","0","0","D"
"14973","23-04-25 18:30","Italy","Serie A","2024/2025","Torino","Udinese","2","0","H","1","0","H","1","0","H"
"14974","20-04-25 20:45","Italy","Serie A","2024/2025","AC Milan","Atalanta","0","1","A","0","0","D","0","1","A"
"14975","20-04-25 18:00","Italy","Serie A","2024/2025","Bologna","Inter","1","0","H","0","0","D","1","0","H"
"14976","20-04-25 15:00","Italy","Serie A","2024/2025","Empoli","Venezia","2","2","D","0","0","D","2","2","D"
"14977","19-04-25 20:45","Italy","Serie A","2024/2025","AS Roma","Verona","1","0","H","1","0","H","0","0","D"
"14978","19-04-25 18:00","Italy","Serie A","2024/2025","Monza","Napoli","0","1","A","0","0","D","0","1","A"
