"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"85206","25-01-26 16:45","Netherlands","Eredivisie","2025/2026","Feyenoord","Heracles","4","2","H","2","1","H","2","1","H"
"85207","25-01-26 16:45","Netherlands","Eredivisie","2025/2026","Utrecht","Sparta Rotterdam","0","1","A","0","1","A","0","0","D"
"85190","25-01-26 14:30","Netherlands","Eredivisie","2025/2026","Groningen","Sittard","1","2","A","1","2","A","0","0","D"
"85181","25-01-26 12:15","Netherlands","Eredivisie","2025/2026","Telstar","AZ Alkmaar","0","1","A","0","0","D","0","1","A"
"84321","24-01-26 21:00","Netherlands","Eredivisie","2025/2026","Twente","Excelsior","0","0","D","0","0","D","0","0","D"
"84318","24-01-26 20:00","Netherlands","Eredivisie","2025/2026","PSV","NAC Breda","2","2","D","1","2","A","1","0","H"
"84313","24-01-26 18:45","Netherlands","Eredivisie","2025/2026","Nijmegen","Zwolle","2","1","H","1","1","D","1","0","H"
"84302","24-01-26 16:30","Netherlands","Eredivisie","2025/2026","Ajax","FC Volendam","2","0","H","2","0","H","0","0","D"
"83896","21-01-26 18:45","Netherlands","Eredivisie","2025/2026","AZ Alkmaar","Excelsior","1","1","D","0","0","D","1","1","D"
"79692","18-01-26 16:45","Netherlands","Eredivisie","2025/2026","Feyenoord","Sparta Rotterdam","3","4","A","0","1","A","3","3","D"
"79680","18-01-26 14:30","Netherlands","Eredivisie","2025/2026","FC Volendam","Utrecht","2","1","H","2","0","H","0","1","A"
"79681","18-01-26 14:30","Netherlands","Eredivisie","2025/2026","Heracles","Twente","0","2","A","0","1","A","0","1","A"
"79672","18-01-26 12:15","Netherlands","Eredivisie","2025/2026","Heerenveen","Groningen","0","2","A","0","0","D","0","2","A"
"79665","17-01-26 21:00","Netherlands","Eredivisie","2025/2026","NAC Breda","Nijmegen","3","4","A","1","2","A","2","2","D"
"79660","17-01-26 20:00","Netherlands","Eredivisie","2025/2026","Excelsior","Telstar","2","2","D","0","0","D","2","2","D"
"79661","17-01-26 20:00","Netherlands","Eredivisie","2025/2026","Sittard","PSV","1","2","A","1","1","D","0","1","A"
"79655","17-01-26 18:45","Netherlands","Eredivisie","2025/2026","Zwolle","AZ Alkmaar","3","1","H","2","0","H","1","1","D"
"79644","17-01-26 16:30","Netherlands","Eredivisie","2025/2026","Ajax","G.A. Eagles","2","2","D","2","0","H","0","2","A"
"79025","11-01-26 16:45","Netherlands","Eredivisie","2025/2026","Sparta Rotterdam","Heracles","2","0","H","1","0","H","1","0","H"
"79015","11-01-26 14:30","Netherlands","Eredivisie","2025/2026","G.A. Eagles","Sittard","2","2","D","1","1","D","1","1","D"
"79016","11-01-26 14:30","Netherlands","Eredivisie","2025/2026","Telstar","Ajax","2","3","A","0","2","A","2","1","H"
"79011","11-01-26 12:15","Netherlands","Eredivisie","2025/2026","Heerenveen","Feyenoord","2","2","D","1","2","A","1","0","H"
"77871","10-01-26 21:00","Netherlands","Eredivisie","2025/2026","Groningen","NAC Breda","0","0","D","0","0","D","0","0","D"
"77872","10-01-26 20:00","Netherlands","Eredivisie","2025/2026","PSV","Excelsior","5","1","H","4","1","H","1","0","H"
"77873","10-01-26 18:45","Netherlands","Eredivisie","2025/2026","Twente","Zwolle","1","1","D","0","0","D","1","1","D"
"77874","10-01-26 16:30","Netherlands","Eredivisie","2025/2026","AZ Alkmaar","FC Volendam","1","0","H","1","0","H","0","0","D"
"75472","21-12-25 16:45","Netherlands","Eredivisie","2025/2026","FC Volendam","Sparta Rotterdam","0","1","A","0","0","D","0","1","A"
"75473","21-12-25 16:45","Netherlands","Eredivisie","2025/2026","Sittard","AZ Alkmaar","4","3","H","2","2","D","2","1","H"
"75474","21-12-25 14:30","Netherlands","Eredivisie","2025/2026","Feyenoord","Twente","1","1","D","0","1","A","1","0","H"
"75475","21-12-25 14:30","Netherlands","Eredivisie","2025/2026","G.A. Eagles","Groningen","1","1","D","1","0","H","0","1","A"
"75476","21-12-25 12:15","Netherlands","Eredivisie","2025/2026","Utrecht","PSV","1","2","A","1","0","H","0","2","A"
"75438","20-12-25 21:00","Netherlands","Eredivisie","2025/2026","NAC Breda","Telstar","0","1","A","0","0","D","0","1","A"
"75439","20-12-25 20:00","Netherlands","Eredivisie","2025/2026","Nijmegen","Ajax","2","2","D","1","2","A","1","0","H"
"75440","20-12-25 18:45","Netherlands","Eredivisie","2025/2026","Excelsior","Zwolle","2","1","H","1","0","H","1","1","D"
"75441","20-12-25 16:30","Netherlands","Eredivisie","2025/2026","Heracles","Heerenveen","0","3","A","0","0","D","0","3","A"
"75331","14-12-25 16:45","Netherlands","Eredivisie","2025/2026","NAC Breda","Utrecht","1","1","D","1","1","D","0","0","D"
"75332","14-12-25 14:30","Netherlands","Eredivisie","2025/2026","Ajax","Feyenoord","2","0","H","1","0","H","1","0","H"
"75333","14-12-25 14:30","Netherlands","Eredivisie","2025/2026","Twente","G.A. Eagles","2","0","H","2","0","H","0","0","D"
"75334","14-12-25 12:15","Netherlands","Eredivisie","2025/2026","Sparta Rotterdam","Heerenveen","0","3","A","0","1","A","0","2","A"
"75284","13-12-25 21:00","Netherlands","Eredivisie","2025/2026","Zwolle","Sittard","1","0","H","1","0","H","0","0","D"
"75285","13-12-25 20:00","Netherlands","Eredivisie","2025/2026","PSV","Heracles","4","3","H","2","1","H","2","2","D"
"75286","13-12-25 18:45","Netherlands","Eredivisie","2025/2026","Groningen","FC Volendam","3","0","H","1","0","H","2","0","H"
