"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"54657","25-05-25 18:00","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Twente","3","2","H","1","2","A","2","0","H"
"54658","22-05-25 21:00","Netherlands","Eredivisie","2024/2025","Twente","Nijmegen","2","2","D","1","0","H","1","2","A"
"54659","22-05-25 18:45","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Heerenveen","4","1","H","3","0","H","1","1","D"
"54660","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Ajax","Twente","2","0","H","1","0","H","1","0","H"
"54661","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Almere City","1","1","D","0","1","A","1","0","H"
"54662","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Heerenveen","Feyenoord","2","0","H","2","0","H","0","0","D"
"54663","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Heracles","Nijmegen","1","2","A","0","0","D","1","2","A"
"54664","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","NAC Breda","Willem II","1","1","D","1","1","D","0","0","D"
"54665","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Sittard","Utrecht","0","0","D","0","0","D","0","0","D"
"54666","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Sparta Rotterdam","PSV","1","3","A","0","1","A","1","2","A"
"54667","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Waalwijk","G.A. Eagles","5","3","H","1","1","D","4","2","H"
"54668","18-05-25 14:30","Netherlands","Eredivisie","2024/2025","Zwolle","Groningen","2","0","H","1","0","H","1","0","H"
"54669","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Almere City","Sittard","1","1","D","1","0","H","0","1","A"
"54670","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Feyenoord","Waalwijk","2","0","H","1","0","H","1","0","H"
"54671","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","G.A. Eagles","Heerenveen","1","0","H","0","0","D","1","0","H"
"54672","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Groningen","Ajax","2","2","D","0","1","A","2","1","H"
"54673","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Nijmegen","NAC Breda","3","0","H","1","0","H","2","0","H"
"54674","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","PSV","Heracles","4","1","H","4","0","H","0","1","A"
"54675","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Twente","AZ Alkmaar","2","3","A","2","2","D","0","1","A"
"54676","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Utrecht","Sparta Rotterdam","1","1","D","1","1","D","0","0","D"
"54677","14-05-25 20:00","Netherlands","Eredivisie","2024/2025","Willem II","Zwolle","1","2","A","0","1","A","1","1","D"
"54678","11-05-25 16:45","Netherlands","Eredivisie","2024/2025","Ajax","Nijmegen","0","3","A","0","0","D","0","3","A"
"54679","11-05-25 16:45","Netherlands","Eredivisie","2024/2025","AZ Alkmaar","Groningen","3","0","H","2","0","H","1","0","H"
"54680","11-05-25 14:30","Netherlands","Eredivisie","2024/2025","Feyenoord","PSV","2","3","A","2","0","H","0","3","A"
"54681","11-05-25 14:30","Netherlands","Eredivisie","2024/2025","Twente","Utrecht","2","0","H","1","0","H","1","0","H"
"54682","11-05-25 12:15","Netherlands","Eredivisie","2024/2025","Zwolle","G.A. Eagles","1","1","D","0","0","D","1","1","D"
"54683","10-05-25 21:00","Netherlands","Eredivisie","2024/2025","Almere City","Sparta Rotterdam","0","3","A","0","0","D","0","3","A"
"54684","10-05-25 18:45","Netherlands","Eredivisie","2024/2025","Sittard","NAC Breda","1","0","H","1","0","H","0","0","D"
"54685","10-05-25 16:30","Netherlands","Eredivisie","2024/2025","Waalwijk","Heerenveen","3","1","H","1","1","D","2","0","H"
"54686","09-05-25 20:00","Netherlands","Eredivisie","2024/2025","Willem II","Heracles","1","2","A","0","1","A","1","1","D"
"54687","04-05-25 14:30","Netherlands","Eredivisie","2024/2025","G.A. Eagles","AZ Alkmaar","0","3","A","0","2","A","0","1","A"
"54688","04-05-25 14:30","Netherlands","Eredivisie","2024/2025","Sparta Rotterdam","Twente","0","2","A","0","2","A","0","0","D"
"54689","04-05-25 12:15","Netherlands","Eredivisie","2024/2025","NAC Breda","Zwolle","1","3","A","0","0","D","1","3","A"
"54690","03-05-25 21:00","Netherlands","Eredivisie","2024/2025","PSV","Sittard","4","1","H","2","0","H","2","1","H"
"54691","03-05-25 20:00","Netherlands","Eredivisie","2024/2025","Groningen","Waalwijk","6","1","H","2","0","H","4","1","H"
"54692","03-05-25 18:45","Netherlands","Eredivisie","2024/2025","Heracles","Feyenoord","1","4","A","0","3","A","1","1","D"
"54693","03-05-25 16:30","Netherlands","Eredivisie","2024/2025","Nijmegen","Willem II","1","1","D","0","1","A","1","0","H"
"54694","27-04-25 16:45","Netherlands","Eredivisie","2024/2025","Almere City","G.A. Eagles","0","0","D","0","0","D","0","0","D"
"54695","27-04-25 14:30","Netherlands","Eredivisie","2024/2025","Ajax","Sparta Rotterdam","1","1","D","0","0","D","1","1","D"
"54696","27-04-25 14:30","Netherlands","Eredivisie","2024/2025","Heerenveen","Nijmegen","1","0","H","0","0","D","1","0","H"
"54697","27-04-25 12:15","Netherlands","Eredivisie","2024/2025","Sittard","Willem II","1","0","H","0","0","D","1","0","H"
"54698","25-04-25 21:00","Netherlands","Eredivisie","2024/2025","Feyenoord","Zwolle","4","0","H","3","0","H","1","0","H"
