"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"86849","26-01-26 21:15","Portugal","Liga Portugal","2025/2026","FC Porto","Gil Vicente","3","0","H","1","0","H","2","0","H"
"85224","25-01-26 21:30","Portugal","Liga Portugal","2025/2026","Braga","Alverca","5","0","H","4","0","H","1","0","H"
"85218","25-01-26 19:00","Portugal","Liga Portugal","2025/2026","Benfica","Estrela","4","0","H","1","0","H","3","0","H"
"85219","25-01-26 19:00","Portugal","Liga Portugal","2025/2026","Famalicao","Tondela","3","0","H","1","0","H","2","0","H"
"85205","25-01-26 16:30","Portugal","Liga Portugal","2025/2026","Nacional","Rio Ave","4","0","H","1","0","H","3","0","H"
"84325","24-01-26 21:30","Portugal","Liga Portugal","2025/2026","Estoril","Vitoria Guimaraes","4","2","H","1","2","A","3","0","H"
"84315","24-01-26 19:00","Portugal","Liga Portugal","2025/2026","Arouca","Sporting CP","1","2","A","0","1","A","1","1","D"
"84303","24-01-26 16:30","Portugal","Liga Portugal","2025/2026","Moreirense","Santa Clara","1","0","H","0","0","D","1","0","H"
"83929","23-01-26 21:15","Portugal","Liga Portugal","2025/2026","Casa Pia","AFS","3","3","D","1","0","H","2","3","A"
"81006","19-01-26 21:15","Portugal","Liga Portugal","2025/2026","Estrela","Estoril","0","5","A","0","1","A","0","4","A"
"79708","18-01-26 21:30","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","FC Porto","0","1","A","0","0","D","0","1","A"
"79703","18-01-26 19:00","Portugal","Liga Portugal","2025/2026","Tondela","Braga","0","1","A","0","0","D","0","1","A"
"79691","18-01-26 16:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Famalicao","0","1","A","0","0","D","0","1","A"
"79669","17-01-26 21:30","Portugal","Liga Portugal","2025/2026","Rio Ave","Benfica","0","2","A","0","2","A","0","0","D"
"79657","17-01-26 19:00","Portugal","Liga Portugal","2025/2026","AFS","Arouca","0","1","A","0","1","A","0","0","D"
"79658","17-01-26 19:00","Portugal","Liga Portugal","2025/2026","Alverca","Moreirense","2","1","H","0","0","D","2","1","H"
"79645","17-01-26 16:30","Portugal","Liga Portugal","2025/2026","Gil Vicente","Nacional","2","1","H","1","1","D","1","0","H"
"79578","16-01-26 21:15","Portugal","Liga Portugal","2025/2026","Sporting CP","Casa Pia","3","0","H","2","0","H","1","0","H"
"79030","11-01-26 19:00","Portugal","Liga Portugal","2025/2026","Moreirense","Tondela","1","0","H","0","0","D","1","0","H"
"79024","11-01-26 16:30","Portugal","Liga Portugal","2025/2026","Nacional","Santa Clara","3","3","D","2","2","D","1","1","D"
"75785","04-01-26 21:30","Portugal","Liga Portugal","2025/2026","Alverca","Famalicao","1","0","H","0","0","D","1","0","H"
"75780","04-01-26 19:00","Portugal","Liga Portugal","2025/2026","Santa Clara","FC Porto","0","1","A","0","0","D","0","1","A"
"75770","04-01-26 16:30","Portugal","Liga Portugal","2025/2026","Rio Ave","Casa Pia","3","1","H","0","0","D","3","1","H"
"75738","03-01-26 21:30","Portugal","Liga Portugal","2025/2026","AFS","Moreirense","0","2","A","0","1","A","0","1","A"
"75725","03-01-26 19:00","Portugal","Liga Portugal","2025/2026","Benfica","Estoril","3","1","H","2","1","H","1","0","H"
"75726","03-01-26 19:00","Portugal","Liga Portugal","2025/2026","Estrela","Braga","3","3","D","1","1","D","2","2","D"
"75718","03-01-26 16:30","Portugal","Liga Portugal","2025/2026","Tondela","Arouca","3","1","H","2","1","H","1","0","H"
"75697","02-01-26 21:45","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Nacional","2","1","H","0","0","D","2","1","H"
"75692","02-01-26 19:45","Portugal","Liga Portugal","2025/2026","Gil Vicente","Sporting CP","1","1","D","0","1","A","1","0","H"
"75636","29-12-25 21:15","Portugal","Liga Portugal","2025/2026","FC Porto","AFS","2","0","H","0","0","D","2","0","H"
"75579","28-12-25 21:30","Portugal","Liga Portugal","2025/2026","Sporting CP","Rio Ave","4","0","H","1","0","H","3","0","H"
"75580","28-12-25 19:00","Portugal","Liga Portugal","2025/2026","Braga","Benfica","2","2","D","2","1","H","0","1","A"
"75581","28-12-25 16:30","Portugal","Liga Portugal","2025/2026","Arouca","Gil Vicente","2","2","D","2","1","H","0","1","A"
"75582","28-12-25 16:30","Portugal","Liga Portugal","2025/2026","Casa Pia","Vitoria Guimaraes","0","0","D","0","0","D","0","0","D"
"75564","27-12-25 21:30","Portugal","Liga Portugal","2025/2026","Estoril","Alverca","4","1","H","2","0","H","2","1","H"
"75565","27-12-25 19:00","Portugal","Liga Portugal","2025/2026","Famalicao","Estrela","2","3","A","2","2","D","0","1","A"
"75502","23-12-25 21:45","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Sporting CP","1","4","A","0","2","A","1","2","A"
"75496","22-12-25 21:45","Portugal","Liga Portugal","2025/2026","Benfica","Famalicao","1","0","H","1","0","H","0","0","D"
"75497","22-12-25 19:45","Portugal","Liga Portugal","2025/2026","Alverca","FC Porto","0","3","A","0","1","A","0","2","A"
"75477","21-12-25 21:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Arouca","0","0","D","0","0","D","0","0","D"
"75478","21-12-25 19:00","Portugal","Liga Portugal","2025/2026","Tondela","Casa Pia","1","2","A","0","0","D","1","2","A"
"75479","21-12-25 16:30","Portugal","Liga Portugal","2025/2026","AFS","Nacional","2","2","D","2","0","H","0","2","A"
"75442","20-12-25 21:30","Portugal","Liga Portugal","2025/2026","Estrela","Moreirense","0","0","D","0","0","D","0","0","D"
"75443","20-12-25 19:00","Portugal","Liga Portugal","2025/2026","Gil Vicente","Rio Ave","2","2","D","1","1","D","1","1","D"
"75374","19-12-25 21:15","Portugal","Liga Portugal","2025/2026","Estoril","Braga","1","0","H","1","0","H","0","0","D"
"75354","15-12-25 21:45","Portugal","Liga Portugal","2025/2026","FC Porto","Estrela","3","1","H","1","0","H","2","1","H"
"75355","15-12-25 19:45","Portugal","Liga Portugal","2025/2026","Braga","Santa Clara","1","0","H","1","0","H","0","0","D"
"75356","15-12-25 18:30","Portugal","Liga Portugal","2025/2026","Nacional","Tondela","3","1","H","0","0","D","3","1","H"
"75335","14-12-25 21:30","Portugal","Liga Portugal","2025/2026","Arouca","Alverca","1","0","H","0","0","D","1","0","H"
"75336","14-12-25 19:00","Portugal","Liga Portugal","2025/2026","Moreirense","Benfica","0","4","A","0","1","A","0","3","A"
"75337","14-12-25 16:30","Portugal","Liga Portugal","2025/2026","Famalicao","Estoril","4","0","H","2","0","H","2","0","H"
"75288","13-12-25 21:30","Portugal","Liga Portugal","2025/2026","Sporting CP","AFS","6","0","H","3","0","H","3","0","H"
"75289","13-12-25 19:00","Portugal","Liga Portugal","2025/2026","Rio Ave","Vitoria Guimaraes","0","1","A","0","1","A","0","0","D"
"75290","13-12-25 16:30","Portugal","Liga Portugal","2025/2026","Casa Pia","Gil Vicente","1","1","D","0","1","A","1","0","H"
"75144","08-12-25 21:30","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Gil Vicente","0","0","D","0","0","D","0","0","D"
"75110","07-12-25 21:30","Portugal","Liga Portugal","2025/2026","Tondela","FC Porto","0","2","A","0","0","D","0","2","A"
"75111","07-12-25 19:00","Portugal","Liga Portugal","2025/2026","Alverca","Nacional","1","0","H","0","0","D","1","0","H"
"75112","07-12-25 19:00","Portugal","Liga Portugal","2025/2026","Estrela","Arouca","3","1","H","2","0","H","1","1","D"
"75113","07-12-25 16:30","Portugal","Liga Portugal","2025/2026","Estoril","Moreirense","3","3","D","1","1","D","2","2","D"
"75057","06-12-25 21:30","Portugal","Liga Portugal","2025/2026","Famalicao","Braga","1","2","A","1","1","D","0","1","A"
"75058","06-12-25 19:00","Portugal","Liga Portugal","2025/2026","AFS","Rio Ave","1","2","A","0","1","A","1","1","D"
"75059","06-12-25 16:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Casa Pia","1","0","H","1","0","H","0","0","D"
"75005","05-12-25 21:15","Portugal","Liga Portugal","2025/2026","Benfica","Sporting CP","1","1","D","1","1","D","0","0","D"
"74946","01-12-25 21:15","Portugal","Liga Portugal","2025/2026","Arouca","Braga","0","4","A","0","3","A","0","1","A"
"74921","30-11-25 21:30","Portugal","Liga Portugal","2025/2026","FC Porto","Estoril","1","0","H","1","0","H","0","0","D"
"74922","30-11-25 19:00","Portugal","Liga Portugal","2025/2026","Sporting CP","Estrela","4","0","H","3","0","H","1","0","H"
"74923","30-11-25 16:30","Portugal","Liga Portugal","2025/2026","Rio Ave","Santa Clara","1","1","D","1","1","D","0","0","D"
"74867","29-11-25 21:30","Portugal","Liga Portugal","2025/2026","Gil Vicente","Tondela","0","1","A","0","1","A","0","0","D"
"74868","29-11-25 19:00","Portugal","Liga Portugal","2025/2026","Nacional","Benfica","1","2","A","0","0","D","1","2","A"
"74869","29-11-25 16:30","Portugal","Liga Portugal","2025/2026","Casa Pia","Alverca","0","2","A","0","0","D","0","2","A"
"74870","29-11-25 16:30","Portugal","Liga Portugal","2025/2026","Moreirense","Famalicao","2","2","D","0","1","A","2","1","H"
"74794","28-11-25 21:15","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","AFS","4","0","H","3","0","H","1","0","H"
"74492","09-11-25 21:30","Portugal","Liga Portugal","2025/2026","Benfica","Casa Pia","2","2","D","1","0","H","1","2","A"
"74493","09-11-25 21:30","Portugal","Liga Portugal","2025/2026","Braga","Moreirense","2","1","H","1","0","H","1","1","D"
"74494","09-11-25 19:00","Portugal","Liga Portugal","2025/2026","Famalicao","FC Porto","0","1","A","0","1","A","0","0","D"
"74495","09-11-25 16:30","Portugal","Liga Portugal","2025/2026","AFS","Gil Vicente","1","1","D","0","1","A","1","0","H"
"74496","09-11-25 16:30","Portugal","Liga Portugal","2025/2026","Estrela","Nacional","1","1","D","0","1","A","1","0","H"
"74433","08-11-25 21:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Sporting CP","1","2","A","1","1","D","0","1","A"
"74434","08-11-25 19:00","Portugal","Liga Portugal","2025/2026","Tondela","Vitoria Guimaraes","0","1","A","0","0","D","0","1","A"
"74435","08-11-25 16:30","Portugal","Liga Portugal","2025/2026","Alverca","Rio Ave","1","1","D","0","1","A","1","0","H"
"74356","07-11-25 21:15","Portugal","Liga Portugal","2025/2026","Estoril","Arouca","4","3","H","2","2","D","2","1","H"
"74288","03-11-25 21:45","Portugal","Liga Portugal","2025/2026","Gil Vicente","Santa Clara","1","0","H","1","0","H","0","0","D"
"74262","02-11-25 21:30","Portugal","Liga Portugal","2025/2026","FC Porto","Braga","2","1","H","1","0","H","1","1","D"
"74263","02-11-25 19:00","Portugal","Liga Portugal","2025/2026","Arouca","Moreirense","0","2","A","0","2","A","0","0","D"
"74264","02-11-25 16:30","Portugal","Liga Portugal","2025/2026","AFS","Tondela","2","2","D","1","1","D","1","1","D"
"74205","01-11-25 21:30","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Benfica","0","3","A","0","0","D","0","3","A"
"74206","01-11-25 19:00","Portugal","Liga Portugal","2025/2026","Casa Pia","Estrela","3","5","A","1","2","A","2","3","A"
"74207","01-11-25 19:00","Portugal","Liga Portugal","2025/2026","Rio Ave","Estoril","0","4","A","0","2","A","0","2","A"
"74208","01-11-25 16:30","Portugal","Liga Portugal","2025/2026","Nacional","Famalicao","0","1","A","0","1","A","0","0","D"
"74148","31-10-25 21:15","Portugal","Liga Portugal","2025/2026","Sporting CP","Alverca","2","0","H","0","0","D","2","0","H"
"70022","27-10-25 21:15","Portugal","Liga Portugal","2025/2026","Moreirense","FC Porto","1","2","A","1","1","D","0","1","A"
"69164","26-10-25 21:30","Portugal","Liga Portugal","2025/2026","Braga","Casa Pia","4","0","H","2","0","H","2","0","H"
"69165","26-10-25 19:00","Portugal","Liga Portugal","2025/2026","Tondela","Sporting CP","0","3","A","0","1","A","0","2","A"
"69166","26-10-25 16:30","Portugal","Liga Portugal","2025/2026","Estoril","Nacional","1","1","D","0","1","A","1","0","H"
"69167","26-10-25 16:30","Portugal","Liga Portugal","2025/2026","Famalicao","Vitoria Guimaraes","2","0","H","1","0","H","1","0","H"
"67677","25-10-25 21:30","Portugal","Liga Portugal","2025/2026","Benfica","Arouca","5","0","H","3","0","H","2","0","H"
"67678","25-10-25 21:30","Portugal","Liga Portugal","2025/2026","Estrela","Rio Ave","1","2","A","1","0","H","0","2","A"
"67679","25-10-25 19:00","Portugal","Liga Portugal","2025/2026","Santa Clara","AFS","2","0","H","0","0","D","2","0","H"
"67361","24-10-25 21:15","Portugal","Liga Portugal","2025/2026","Alverca","Gil Vicente","0","4","A","0","2","A","0","2","A"
"65621","05-10-25 22:15","Portugal","Liga Portugal","2025/2026","FC Porto","Benfica","0","0","D","0","0","D","0","0","D"
"65622","05-10-25 20:15","Portugal","Liga Portugal","2025/2026","Sporting CP","Braga","1","1","D","1","0","H","0","1","A"
"65623","05-10-25 18:30","Portugal","Liga Portugal","2025/2026","Rio Ave","Tondela","3","0","H","2","0","H","1","0","H"
"65624","05-10-25 16:30","Portugal","Liga Portugal","2025/2026","Arouca","Famalicao","1","1","D","0","0","D","1","1","D"
"65568","04-10-25 21:30","Portugal","Liga Portugal","2025/2026","Vitoria Guimaraes","Santa Clara","2","1","H","0","1","A","2","0","H"
"65569","04-10-25 19:00","Portugal","Liga Portugal","2025/2026","AFS","Alverca","1","3","A","1","1","D","0","2","A"
"65570","04-10-25 16:30","Portugal","Liga Portugal","2025/2026","Gil Vicente","Estrela","2","0","H","2","0","H","0","0","D"
"65571","04-10-25 16:30","Portugal","Liga Portugal","2025/2026","Nacional","Moreirense","3","2","H","1","1","D","2","1","H"
"65495","03-10-25 21:15","Portugal","Liga Portugal","2025/2026","Casa Pia","Estoril","2","2","D","2","1","H","0","1","A"
"65439","29-09-25 21:00","Portugal","Liga Portugal","2025/2026","Arouca","FC Porto","0","4","A","0","1","A","0","3","A"
"65404","28-09-25 21:30","Portugal","Liga Portugal","2025/2026","Famalicao","Rio Ave","0","0","D","0","0","D","0","0","D"
"65405","28-09-25 19:00","Portugal","Liga Portugal","2025/2026","Braga","Nacional","0","1","A","0","1","A","0","0","D"
"65406","28-09-25 16:30","Portugal","Liga Portugal","2025/2026","Alverca","Vitoria Guimaraes","2","0","H","1","0","H","1","0","H"
"65360","27-09-25 21:30","Portugal","Liga Portugal","2025/2026","Estoril","Sporting CP","0","1","A","0","1","A","0","0","D"
"65361","27-09-25 19:00","Portugal","Liga Portugal","2025/2026","Estrela","AFS","3","0","H","3","0","H","0","0","D"
"65362","27-09-25 17:30","Portugal","Liga Portugal","2025/2026","Santa Clara","Tondela","1","2","A","0","0","D","1","2","A"
"65363","27-09-25 16:30","Portugal","Liga Portugal","2025/2026","Moreirense","Casa Pia","2","1","H","1","1","D","1","0","H"
