"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"57689","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","AFS","Moreirense","0","3","A","0","2","A","0","1","A"
"57690","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","Arouca","Boavista","4","1","H","3","1","H","1","0","H"
"57691","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","Braga","Benfica","1","1","D","1","0","H","0","1","A"
"57692","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","Estoril","Estrela","4","0","H","4","0","H","0","0","D"
"57693","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","FC Porto","Nacional","3","0","H","1","0","H","2","0","H"
"57694","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","SC Farense","Santa Clara","1","2","A","1","1","D","0","1","A"
"57695","17-05-25 19:00","Portugal","Liga Portugal","2024/2025","Sporting CP","Vitoria Guimaraes","2","0","H","0","0","D","2","0","H"
"57696","16-05-25 20:00","Portugal","Liga Portugal","2024/2025","Famalicao","Casa Pia","2","1","H","1","0","H","1","1","D"
"57697","16-05-25 20:00","Portugal","Liga Portugal","2024/2025","Rio Ave","Gil Vicente","1","1","D","1","1","D","0","0","D"
"57698","11-05-25 21:30","Portugal","Liga Portugal","2024/2025","Boavista","FC Porto","1","2","A","1","2","A","0","0","D"
"57699","11-05-25 19:00","Portugal","Liga Portugal","2024/2025","Moreirense","Estoril","2","2","D","1","0","H","1","2","A"
"57700","11-05-25 19:00","Portugal","Liga Portugal","2024/2025","Vitoria Guimaraes","SC Farense","1","2","A","0","1","A","1","1","D"
"57701","11-05-25 16:30","Portugal","Liga Portugal","2024/2025","Estrela","AFS","0","1","A","0","0","D","0","1","A"
"57702","10-05-25 21:30","Portugal","Liga Portugal","2024/2025","Casa Pia","Braga","2","1","H","1","1","D","1","0","H"
"57703","10-05-25 21:30","Portugal","Liga Portugal","2024/2025","Gil Vicente","Arouca","1","1","D","0","0","D","1","1","D"
"57704","10-05-25 19:00","Portugal","Liga Portugal","2024/2025","Benfica","Sporting CP","1","1","D","0","1","A","1","0","H"
"57705","10-05-25 16:30","Portugal","Liga Portugal","2024/2025","Nacional","Rio Ave","3","3","D","0","3","A","3","0","H"
"57706","10-05-25 16:30","Portugal","Liga Portugal","2024/2025","Santa Clara","Famalicao","2","1","H","1","0","H","1","1","D"
"57707","05-05-25 21:15","Portugal","Liga Portugal","2024/2025","AFS","Boavista","1","2","A","0","0","D","1","2","A"
"57708","05-05-25 20:30","Portugal","Liga Portugal","2024/2025","Rio Ave","Estrela","2","0","H","0","0","D","2","0","H"
"57709","04-05-25 21:30","Portugal","Liga Portugal","2024/2025","Sporting CP","Gil Vicente","2","1","H","0","1","A","2","0","H"
"57710","04-05-25 19:00","Portugal","Liga Portugal","2024/2025","Arouca","Casa Pia","0","0","D","0","0","D","0","0","D"
"57711","03-05-25 21:30","Portugal","Liga Portugal","2024/2025","Estoril","Benfica","1","2","A","0","2","A","1","0","H"
"57712","03-05-25 19:00","Portugal","Liga Portugal","2024/2025","Braga","Santa Clara","1","1","D","0","1","A","1","0","H"
"57713","03-05-25 16:30","Portugal","Liga Portugal","2024/2025","Nacional","Vitoria Guimaraes","1","2","A","0","1","A","1","1","D"
"57714","03-05-25 16:30","Portugal","Liga Portugal","2024/2025","SC Farense","Famalicao","2","1","H","1","1","D","1","0","H"
"57715","02-05-25 21:15","Portugal","Liga Portugal","2024/2025","FC Porto","Moreirense","3","1","H","1","1","D","2","0","H"
"57716","29-04-25 21:30","Portugal","Liga Portugal","2024/2025","Casa Pia","Estoril","1","3","A","1","1","D","0","2","A"
"57717","27-04-25 21:30","Portugal","Liga Portugal","2024/2025","Boavista","Sporting CP","0","5","A","0","2","A","0","3","A"
"57718","27-04-25 19:00","Portugal","Liga Portugal","2024/2025","Benfica","AFS","6","0","H","4","0","H","2","0","H"
"57719","27-04-25 19:00","Portugal","Liga Portugal","2024/2025","Vitoria Guimaraes","Rio Ave","3","0","H","3","0","H","0","0","D"
"57720","27-04-25 16:30","Portugal","Liga Portugal","2024/2025","Moreirense","Nacional","1","1","D","0","0","D","1","1","D"
"57721","26-04-25 21:30","Portugal","Liga Portugal","2024/2025","Estrela","FC Porto","2","0","H","1","0","H","1","0","H"
"57722","26-04-25 19:00","Portugal","Liga Portugal","2024/2025","Gil Vicente","SC Farense","1","0","H","0","0","D","1","0","H"
"57723","26-04-25 16:30","Portugal","Liga Portugal","2024/2025","Santa Clara","Arouca","2","0","H","2","0","H","0","0","D"
"57724","25-04-25 21:30","Portugal","Liga Portugal","2024/2025","Famalicao","Braga","1","1","D","1","0","H","0","1","A"
"57725","19-04-25 21:30","Portugal","Liga Portugal","2024/2025","Vitoria Guimaraes","Benfica","0","3","A","0","1","A","0","2","A"
"57726","19-04-25 19:00","Portugal","Liga Portugal","2024/2025","Arouca","Estrela","1","0","H","0","0","D","1","0","H"
"57727","19-04-25 19:00","Portugal","Liga Portugal","2024/2025","Estoril","Braga","0","2","A","0","2","A","0","0","D"
"57728","19-04-25 16:30","Portugal","Liga Portugal","2024/2025","AFS","Casa Pia","1","1","D","1","0","H","0","1","A"
"57729","19-04-25 16:30","Portugal","Liga Portugal","2024/2025","Nacional","Gil Vicente","0","3","A","0","1","A","0","2","A"
"57730","18-04-25 21:30","Portugal","Liga Portugal","2024/2025","Sporting CP","Moreirense","3","1","H","2","0","H","1","1","D"
"57731","18-04-25 19:00","Portugal","Liga Portugal","2024/2025","FC Porto","Famalicao","2","1","H","1","0","H","1","1","D"
"57732","18-04-25 16:30","Portugal","Liga Portugal","2024/2025","Rio Ave","Santa Clara","1","1","D","1","0","H","0","1","A"
"57733","18-04-25 16:30","Portugal","Liga Portugal","2024/2025","SC Farense","Boavista","0","1","A","0","0","D","0","1","A"
"57734","13-04-25 21:30","Portugal","Liga Portugal","2024/2025","Moreirense","Rio Ave","0","2","A","0","0","D","0","2","A"
"57735","13-04-25 19:00","Portugal","Liga Portugal","2024/2025","Benfica","Arouca","2","2","D","0","0","D","2","2","D"
"57736","13-04-25 19:00","Portugal","Liga Portugal","2024/2025","Braga","AFS","4","1","H","3","1","H","1","0","H"
"57737","13-04-25 16:30","Portugal","Liga Portugal","2024/2025","Estrela","SC Farense","0","1","A","0","0","D","0","1","A"
