"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"75114","07-12-25 17:00","Russia","Premier League","2025/2026","Baltika","Krylya Sovetov","2","0","H","2","0","H","0","0","D"
"75115","07-12-25 17:00","Russia","Premier League","2025/2026","Krasnodar","CSKA Moscow","3","2","H","1","1","D","2","1","H"
"75116","07-12-25 14:30","Russia","Premier League","2025/2026","Sochi","Lokomotiv Moscow","2","4","A","1","3","A","1","1","D"
"75117","07-12-25 12:00","Russia","Premier League","2025/2026","Dynamo Makhachkala","Pari NN","0","1","A","0","1","A","0","0","D"
"75060","06-12-25 17:30","Russia","Premier League","2025/2026","Zenit","Akron Togliatti","2","0","H","2","0","H","0","0","D"
"75061","06-12-25 14:45","Russia","Premier League","2025/2026","Spartak Moscow","Dynamo Moscow","1","1","D","1","0","H","0","1","A"
"75062","06-12-25 12:00","Russia","Premier League","2025/2026","FK Rostov","Rubin Kazan","2","0","H","0","0","D","2","0","H"
"75006","05-12-25 17:00","Russia","Premier League","2025/2026","Akhmat Grozny","Orenburg","1","0","H","0","0","D","1","0","H"
"74947","01-12-25 17:30","Russia","Premier League","2025/2026","Sochi","Dynamo Makhachkala","0","0","D","0","0","D","0","0","D"
"74924","30-11-25 17:00","Russia","Premier League","2025/2026","Zenit","Rubin Kazan","1","0","H","0","0","D","1","0","H"
"74925","30-11-25 14:30","Russia","Premier League","2025/2026","Akhmat Grozny","Dynamo Moscow","2","1","H","0","1","A","2","0","H"
"74926","30-11-25 14:30","Russia","Premier League","2025/2026","FK Rostov","Lokomotiv Moscow","1","3","A","1","2","A","0","1","A"
"74927","30-11-25 12:00","Russia","Premier League","2025/2026","Krasnodar","Krylya Sovetov","5","0","H","2","0","H","3","0","H"
"74871","29-11-25 17:30","Russia","Premier League","2025/2026","Baltika","Spartak Moscow","1","0","H","0","0","D","1","0","H"
"74872","29-11-25 14:30","Russia","Premier League","2025/2026","CSKA Moscow","Orenburg","2","0","H","0","0","D","2","0","H"
"74873","29-11-25 12:00","Russia","Premier League","2025/2026","Akron Togliatti","Pari NN","1","2","A","0","2","A","1","0","H"
"74707","23-11-25 17:45","Russia","Premier League","2025/2026","Lokomotiv Moscow","Krasnodar","1","1","D","1","1","D","0","0","D"
"74708","23-11-25 15:30","Russia","Premier League","2025/2026","Dynamo Moscow","Dynamo Makhachkala","3","0","H","1","0","H","2","0","H"
