"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"67365","24-05-25 15:30","Russia","Premier League","2024/2025","Akron Togliatti","Lokomotiv Moscow","1","4","A","0","1","A","1","3","A"
"67366","24-05-25 15:30","Russia","Premier League","2024/2025","CSKA Moscow","Pari NN","2","0","H","1","0","H","1","0","H"
"67367","24-05-25 15:30","Russia","Premier League","2024/2025","Dynamo Makhachkala","FK Rostov","1","1","D","1","0","H","0","1","A"
"67368","24-05-25 15:30","Russia","Premier League","2024/2025","Fakel Voronezh","Krylya Sovetov","1","1","D","0","1","A","1","0","H"
"67369","24-05-25 15:30","Russia","Premier League","2024/2025","Krasnodar","Dynamo Moscow","3","0","H","0","0","D","3","0","H"
"67370","24-05-25 15:30","Russia","Premier League","2024/2025","Rubin Kazan","Orenburg","4","2","H","3","2","H","1","0","H"
"67371","24-05-25 15:30","Russia","Premier League","2024/2025","Spartak Moscow","Khimki","5","0","H","2","0","H","3","0","H"
"67372","24-05-25 15:30","Russia","Premier League","2024/2025","Zenit","Akhmat Grozny","3","0","H","2","0","H","1","0","H"
"67373","19-05-25 19:30","Russia","Premier League","2024/2025","Lokomotiv Moscow","CSKA Moscow","2","2","D","2","0","H","0","2","A"
"67374","18-05-25 18:00","Russia","Premier League","2024/2025","FK Rostov","Zenit","0","1","A","0","1","A","0","0","D"
"67375","18-05-25 15:30","Russia","Premier League","2024/2025","Dynamo Moscow","Akron Togliatti","2","1","H","1","0","H","1","1","D"
"67376","18-05-25 13:00","Russia","Premier League","2024/2025","Akhmat Grozny","Dynamo Makhachkala","1","1","D","0","1","A","1","0","H"
"67377","18-05-25 12:30","Russia","Premier League","2024/2025","Krylya Sovetov","Spartak Moscow","0","2","A","0","2","A","0","0","D"
"67378","17-05-25 18:00","Russia","Premier League","2024/2025","Pari NN","Fakel Voronezh","1","1","D","0","1","A","1","0","H"
"67379","17-05-25 15:30","Russia","Premier League","2024/2025","Khimki","Rubin Kazan","3","2","H","1","1","D","2","1","H"
"67380","17-05-25 13:00","Russia","Premier League","2024/2025","Orenburg","Krasnodar","1","2","A","1","1","D","0","1","A"
"67381","12-05-25 18:00","Russia","Premier League","2024/2025","Pari NN","Krylya Sovetov","5","2","H","4","1","H","1","1","D"
"67382","11-05-25 18:30","Russia","Premier League","2024/2025","Dynamo Moscow","Spartak Moscow","2","0","H","2","0","H","0","0","D"
"67383","11-05-25 18:30","Russia","Premier League","2024/2025","Rubin Kazan","FK Rostov","1","0","H","0","0","D","1","0","H"
"67384","11-05-25 15:30","Russia","Premier League","2024/2025","Fakel Voronezh","Lokomotiv Moscow","0","1","A","0","1","A","0","0","D"
"67385","11-05-25 13:00","Russia","Premier League","2024/2025","Akron Togliatti","Akhmat Grozny","3","2","H","2","1","H","1","1","D"
"67386","10-05-25 18:30","Russia","Premier League","2024/2025","CSKA Moscow","Krasnodar","1","0","H","0","0","D","1","0","H"
"67387","10-05-25 16:00","Russia","Premier League","2024/2025","Dynamo Makhachkala","Zenit","0","1","A","0","1","A","0","0","D"
"67388","10-05-25 13:30","Russia","Premier League","2024/2025","Orenburg","Khimki","1","1","D","0","0","D","1","1","D"
"67389","05-05-25 17:30","Russia","Premier League","2024/2025","Krylya Sovetov","Dynamo Moscow","1","3","A","1","1","D","0","2","A"
"67390","04-05-25 18:30","Russia","Premier League","2024/2025","Khimki","FK Rostov","1","1","D","0","0","D","1","1","D"
"67391","04-05-25 18:30","Russia","Premier League","2024/2025","Zenit","Pari NN","2","1","H","0","1","A","2","0","H"
"67392","04-05-25 15:30","Russia","Premier League","2024/2025","Akhmat Grozny","CSKA Moscow","1","1","D","1","1","D","0","0","D"
"67393","04-05-25 13:00","Russia","Premier League","2024/2025","Fakel Voronezh","Spartak Moscow","0","0","D","0","0","D","0","0","D"
"67394","03-05-25 18:30","Russia","Premier League","2024/2025","Krasnodar","Rubin Kazan","2","1","H","2","0","H","0","1","A"
"67395","03-05-25 16:00","Russia","Premier League","2024/2025","Lokomotiv Moscow","Orenburg","1","1","D","0","0","D","1","1","D"
"67396","02-05-25 17:00","Russia","Premier League","2024/2025","Akron Togliatti","Dynamo Makhachkala","1","0","H","0","0","D","1","0","H"
"67397","27-04-25 18:00","Russia","Premier League","2024/2025","Rubin Kazan","Fakel Voronezh","2","1","H","0","1","A","2","0","H"
"67398","27-04-25 15:30","Russia","Premier League","2024/2025","Khimki","Akron Togliatti","2","2","D","2","1","H","0","1","A"
"67399","27-04-25 13:00","Russia","Premier League","2024/2025","Krylya Sovetov","Orenburg","2","0","H","0","0","D","2","0","H"
"67400","26-04-25 18:30","Russia","Premier League","2024/2025","Spartak Moscow","CSKA Moscow","1","2","A","0","1","A","1","1","D"
"67401","26-04-25 15:30","Russia","Premier League","2024/2025","FK Rostov","Lokomotiv Moscow","1","1","D","1","0","H","0","1","A"
"67402","26-04-25 13:00","Russia","Premier League","2024/2025","Dynamo Moscow","Zenit","1","1","D","1","1","D","0","0","D"
"67403","26-04-25 13:00","Russia","Premier League","2024/2025","Pari NN","Akhmat Grozny","1","0","H","1","0","H","0","0","D"
"67404","25-04-25 18:30","Russia","Premier League","2024/2025","Dynamo Makhachkala","Krasnodar","2","3","A","1","2","A","1","1","D"
"67405","20-04-25 18:30","Russia","Premier League","2024/2025","CSKA Moscow","Krylya Sovetov","1","1","D","0","0","D","1","1","D"
"67406","20-04-25 15:30","Russia","Premier League","2024/2025","Zenit","Khimki","1","0","H","1","0","H","0","0","D"
"67407","20-04-25 13:00","Russia","Premier League","2024/2025","Dynamo Moscow","Rubin Kazan","3","1","H","1","1","D","2","0","H"
"67408","20-04-25 13:00","Russia","Premier League","2024/2025","Fakel Voronezh","FK Rostov","0","2","A","0","1","A","0","1","A"
"67409","19-04-25 18:30","Russia","Premier League","2024/2025","Krasnodar","Akhmat Grozny","3","1","H","1","0","H","2","1","H"
"67410","19-04-25 16:00","Russia","Premier League","2024/2025","Lokomotiv Moscow","Pari NN","3","0","H","1","0","H","2","0","H"
"67411","19-04-25 13:30","Russia","Premier League","2024/2025","Akron Togliatti","Spartak Moscow","2","3","A","2","1","H","0","2","A"
"67412","19-04-25 11:00","Russia","Premier League","2024/2025","Orenburg","Dynamo Makhachkala","2","1","H","0","1","A","2","0","H"
"67413","13-04-25 18:30","Russia","Premier League","2024/2025","Khimki","Krylya Sovetov","1","3","A","1","0","H","0","3","A"
"67414","13-04-25 16:00","Russia","Premier League","2024/2025","Zenit","Krasnodar","4","1","H","2","1","H","2","0","H"
"67415","13-04-25 13:30","Russia","Premier League","2024/2025","Akron Togliatti","Fakel Voronezh","1","0","H","0","0","D","1","0","H"
"67416","12-04-25 18:30","Russia","Premier League","2024/2025","Akhmat Grozny","FK Rostov","2","1","H","0","0","D","2","1","H"
"67417","12-04-25 16:00","Russia","Premier League","2024/2025","Rubin Kazan","Lokomotiv Moscow","1","0","H","0","0","D","1","0","H"
"67418","12-04-25 13:30","Russia","Premier League","2024/2025","Pari NN","Dynamo Moscow","1","1","D","0","0","D","1","1","D"
"67419","12-04-25 11:00","Russia","Premier League","2024/2025","Orenburg","CSKA Moscow","0","2","A","0","0","D","0","2","A"
"67420","11-04-25 18:30","Russia","Premier League","2024/2025","Spartak Moscow","Dynamo Makhachkala","1","2","A","0","2","A","1","0","H"
"67421","06-04-25 18:30","Russia","Premier League","2024/2025","CSKA Moscow","Dynamo Moscow","3","1","H","1","1","D","2","0","H"
"67422","06-04-25 15:30","Russia","Premier League","2024/2025","FK Rostov","Spartak Moscow","0","3","A","0","0","D","0","3","A"
"67423","06-04-25 13:00","Russia","Premier League","2024/2025","Dynamo Makhachkala","Khimki","4","1","H","3","0","H","1","1","D"
"67424","05-04-25 18:45","Russia","Premier League","2024/2025","Krasnodar","Akron Togliatti","1","0","H","0","0","D","1","0","H"
"67425","05-04-25 16:30","Russia","Premier League","2024/2025","Lokomotiv Moscow","Zenit","1","1","D","0","0","D","1","1","D"
"67426","05-04-25 14:15","Russia","Premier League","2024/2025","Fakel Voronezh","Akhmat Grozny","0","0","D","0","0","D","0","0","D"
"67427","05-04-25 12:00","Russia","Premier League","2024/2025","Krylya Sovetov","Rubin Kazan","1","1","D","1","0","H","0","1","A"
"67428","04-04-25 18:00","Russia","Premier League","2024/2025","Pari NN","Orenburg","1","2","A","1","2","A","0","0","D"
"67429","31-03-25 17:30","Russia","Premier League","2024/2025","Akron Togliatti","FK Rostov","2","3","A","1","1","D","1","2","A"
