"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"85201","25-01-26 16:00","Scotland","Premiership","2025/2026","Hearts","Celtic","2","2","D","0","1","A","2","1","H"
"85202","25-01-26 16:00","Scotland","Premiership","2025/2026","Rangers","Dundee FC","3","0","H","0","0","D","3","0","H"
"84297","24-01-26 16:00","Scotland","Premiership","2025/2026","Aberdeen","Livingston","6","2","H","3","2","H","3","0","H"
"84298","24-01-26 16:00","Scotland","Premiership","2025/2026","Falkirk","Hibernian","4","1","H","2","0","H","2","1","H"
"84299","24-01-26 16:00","Scotland","Premiership","2025/2026","Motherwell","Kilmarnock","4","0","H","2","0","H","2","0","H"
"82054","20-01-26 20:45","Scotland","Premiership","2025/2026","Livingston","St. Mirren","1","1","D","0","0","D","1","1","D"
"79558","14-01-26 20:45","Scotland","Premiership","2025/2026","Falkirk","Celtic","0","1","A","0","1","A","0","0","D"
"79559","14-01-26 20:45","Scotland","Premiership","2025/2026","Hearts","St. Mirren","2","0","H","0","0","D","2","0","H"
"79028","11-01-26 17:30","Scotland","Premiership","2025/2026","Aberdeen","Rangers","0","2","A","0","1","A","0","1","A"
"79019","11-01-26 15:00","Scotland","Premiership","2025/2026","Dundee FC","Hearts","0","1","A","0","1","A","0","0","D"
"77848","10-01-26 16:00","Scotland","Premiership","2025/2026","Celtic","Dundee Utd","4","0","H","2","0","H","2","0","H"
"77849","10-01-26 16:00","Scotland","Premiership","2025/2026","Hibernian","Motherwell","1","1","D","0","0","D","1","1","D"
"77850","10-01-26 16:00","Scotland","Premiership","2025/2026","Livingston","Kilmarnock","1","1","D","1","0","H","0","1","A"
"77851","10-01-26 16:00","Scotland","Premiership","2025/2026","St. Mirren","Falkirk","0","2","A","0","0","D","0","2","A"
"75803","06-01-26 21:00","Scotland","Premiership","2025/2026","Rangers","Aberdeen","2","0","H","2","0","H","0","0","D"
"75710","03-01-26 16:00","Scotland","Premiership","2025/2026","Dundee Utd","Dundee FC","0","1","A","0","1","A","0","0","D"
"75711","03-01-26 16:00","Scotland","Premiership","2025/2026","Falkirk","Aberdeen","1","0","H","0","0","D","1","0","H"
"75712","03-01-26 16:00","Scotland","Premiership","2025/2026","Hearts","Livingston","1","0","H","1","0","H","0","0","D"
"75713","03-01-26 16:00","Scotland","Premiership","2025/2026","Kilmarnock","Hibernian","1","3","A","0","1","A","1","2","A"
