"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"70030","18-05-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Hearts","0","1","A","0","0","D","0","1","A"
"70031","18-05-25 16:00","Scotland","Premiership","2024/2025","Ross County","Motherwell","1","1","D","1","0","H","0","1","A"
"70032","18-05-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Dundee FC","0","2","A","0","1","A","0","1","A"
"70033","17-05-25 13:30","Scotland","Premiership","2024/2025","Celtic","St. Mirren","1","1","D","0","0","D","1","1","D"
"70034","17-05-25 13:30","Scotland","Premiership","2024/2025","Dundee Utd","Aberdeen","2","1","H","0","1","A","2","0","H"
"70035","17-05-25 13:30","Scotland","Premiership","2024/2025","Hibernian","Rangers","2","2","D","1","1","D","1","1","D"
"70036","14-05-25 21:00","Scotland","Premiership","2024/2025","Aberdeen","Celtic","1","5","A","1","2","A","0","3","A"
"70037","14-05-25 20:45","Scotland","Premiership","2024/2025","Dundee FC","Ross County","1","1","D","0","0","D","1","1","D"
"70038","14-05-25 20:45","Scotland","Premiership","2024/2025","Hearts","St Johnstone","2","1","H","2","0","H","0","1","A"
"70039","14-05-25 20:45","Scotland","Premiership","2024/2025","Motherwell","Kilmarnock","3","0","H","0","0","D","3","0","H"
"70040","14-05-25 20:45","Scotland","Premiership","2024/2025","Rangers","Dundee Utd","3","1","H","1","1","D","2","0","H"
"70041","14-05-25 20:45","Scotland","Premiership","2024/2025","St. Mirren","Hibernian","2","2","D","1","2","A","1","0","H"
"70042","11-05-25 13:00","Scotland","Premiership","2024/2025","Rangers","Aberdeen","4","0","H","0","0","D","4","0","H"
"70043","10-05-25 16:00","Scotland","Premiership","2024/2025","Hearts","Motherwell","3","0","H","1","0","H","2","0","H"
"70044","10-05-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Dundee FC","3","2","H","1","0","H","2","2","D"
"70045","10-05-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Ross County","2","1","H","1","1","D","1","0","H"
"70046","10-05-25 16:00","Scotland","Premiership","2024/2025","Celtic","Hibernian","3","1","H","2","1","H","1","0","H"
"70047","10-05-25 16:00","Scotland","Premiership","2024/2025","Dundee Utd","St. Mirren","0","2","A","0","1","A","0","1","A"
"70048","04-05-25 13:00","Scotland","Premiership","2024/2025","Rangers","Celtic","1","1","D","1","0","H","0","1","A"
"70049","03-05-25 16:00","Scotland","Premiership","2024/2025","Dundee FC","Motherwell","1","2","A","1","0","H","0","2","A"
"70050","03-05-25 16:00","Scotland","Premiership","2024/2025","Ross County","Hearts","1","3","A","1","1","D","0","2","A"
"70051","03-05-25 16:00","Scotland","Premiership","2024/2025","St Johnstone","Kilmarnock","0","2","A","0","1","A","0","1","A"
"70052","03-05-25 16:00","Scotland","Premiership","2024/2025","Hibernian","Dundee Utd","3","1","H","2","0","H","1","1","D"
"70053","03-05-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Aberdeen","1","0","H","0","0","D","1","0","H"
"70054","26-04-25 16:00","Scotland","Premiership","2024/2025","Hearts","Dundee FC","0","1","A","0","1","A","0","0","D"
"70055","26-04-25 16:00","Scotland","Premiership","2024/2025","Kilmarnock","Ross County","2","0","H","1","0","H","1","0","H"
"70056","26-04-25 16:00","Scotland","Premiership","2024/2025","Motherwell","St Johnstone","3","2","H","2","1","H","1","1","D"
"70057","26-04-25 16:00","Scotland","Premiership","2024/2025","Aberdeen","Hibernian","1","0","H","0","0","D","1","0","H"
"70058","26-04-25 16:00","Scotland","Premiership","2024/2025","St. Mirren","Rangers","2","2","D","1","1","D","1","1","D"
"70059","26-04-25 13:30","Scotland","Premiership","2024/2025","Dundee Utd","Celtic","0","5","A","0","3","A","0","2","A"
"70060","13-04-25 15:30","Scotland","Premiership","2024/2025","Hibernian","Dundee FC","4","0","H","1","0","H","3","0","H"
"70061","13-04-25 13:00","Scotland","Premiership","2024/2025","Aberdeen","Rangers","2","2","D","2","0","H","0","2","A"
