"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"13854","25-05-25 21:00","Spain","LaLiga","2024/2025","Ath Bilbao","Barcelona","0","3","A","0","2","A","0","1","A"
"13855","25-05-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Sevilla","4","2","H","3","1","H","1","1","D"
"13856","25-05-25 14:00","Spain","LaLiga","2024/2025","Girona","Atl. Madrid","0","4","A","0","0","D","0","4","A"
"13857","24-05-25 21:00","Spain","LaLiga","2024/2025","Alaves","Osasuna","1","1","D","0","0","D","1","1","D"
"13858","24-05-25 21:00","Spain","LaLiga","2024/2025","Getafe","Celta Vigo","1","2","A","1","1","D","0","1","A"
"13859","24-05-25 21:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Mallorca","0","0","D","0","0","D","0","0","D"
"13860","24-05-25 18:30","Spain","LaLiga","2024/2025","Espanyol","Las Palmas","2","0","H","0","0","D","2","0","H"
"13861","24-05-25 18:30","Spain","LaLiga","2024/2025","Leganes","Valladolid","3","0","H","3","0","H","0","0","D"
"13862","24-05-25 16:15","Spain","LaLiga","2024/2025","Real Madrid","Real Sociedad","2","0","H","1","0","H","1","0","H"
"13863","23-05-25 21:00","Spain","LaLiga","2024/2025","Betis","Valencia","1","1","D","1","0","H","0","1","A"
"13864","18-05-25 19:00","Spain","LaLiga","2024/2025","Atl. Madrid","Betis","4","1","H","2","0","H","2","1","H"
"13865","18-05-25 19:00","Spain","LaLiga","2024/2025","Barcelona","Villarreal","2","3","A","2","1","H","0","2","A"
"13866","18-05-25 19:00","Spain","LaLiga","2024/2025","Celta Vigo","Rayo Vallecano","1","2","A","1","2","A","0","0","D"
"13867","18-05-25 19:00","Spain","LaLiga","2024/2025","Las Palmas","Leganes","0","1","A","0","1","A","0","0","D"
"13868","18-05-25 19:00","Spain","LaLiga","2024/2025","Mallorca","Getafe","1","2","A","0","0","D","1","2","A"
"13869","18-05-25 19:00","Spain","LaLiga","2024/2025","Osasuna","Espanyol","2","0","H","1","0","H","1","0","H"
"13870","18-05-25 19:00","Spain","LaLiga","2024/2025","Real Sociedad","Girona","3","2","H","2","1","H","1","1","D"
"13871","18-05-25 19:00","Spain","LaLiga","2024/2025","Sevilla","Real Madrid","0","2","A","0","0","D","0","2","A"
"13872","18-05-25 19:00","Spain","LaLiga","2024/2025","Valencia","Ath Bilbao","0","1","A","0","0","D","0","1","A"
"13873","18-05-25 19:00","Spain","LaLiga","2024/2025","Valladolid","Alaves","0","1","A","0","1","A","0","0","D"
"13874","15-05-25 21:30","Spain","LaLiga","2024/2025","Espanyol","Barcelona","0","2","A","0","0","D","0","2","A"
"13875","15-05-25 21:30","Spain","LaLiga","2024/2025","Getafe","Ath Bilbao","0","2","A","0","0","D","0","2","A"
"13876","15-05-25 19:00","Spain","LaLiga","2024/2025","Osasuna","Atl. Madrid","2","0","H","1","0","H","1","0","H"
"13877","15-05-25 19:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Betis","2","2","D","2","0","H","0","2","A"
"13878","14-05-25 21:30","Spain","LaLiga","2024/2025","Real Madrid","Mallorca","2","1","H","0","1","A","2","0","H"
"13879","14-05-25 19:00","Spain","LaLiga","2024/2025","Alaves","Valencia","1","0","H","0","0","D","1","0","H"
"13880","14-05-25 19:00","Spain","LaLiga","2024/2025","Villarreal","Leganes","3","0","H","3","0","H","0","0","D"
"13881","13-05-25 21:30","Spain","LaLiga","2024/2025","Sevilla","Las Palmas","1","0","H","0","0","D","1","0","H"
"13882","13-05-25 20:00","Spain","LaLiga","2024/2025","Real Sociedad","Celta Vigo","0","1","A","0","1","A","0","0","D"
"13883","13-05-25 19:00","Spain","LaLiga","2024/2025","Valladolid","Girona","0","1","A","0","0","D","0","1","A"
"13884","11-05-25 21:00","Spain","LaLiga","2024/2025","Betis","Osasuna","1","1","D","0","0","D","1","1","D"
"13885","11-05-25 18:30","Spain","LaLiga","2024/2025","Ath Bilbao","Alaves","1","0","H","0","0","D","1","0","H"
"13886","11-05-25 16:15","Spain","LaLiga","2024/2025","Barcelona","Real Madrid","4","3","H","4","2","H","0","1","A"
"13887","11-05-25 14:00","Spain","LaLiga","2024/2025","Leganes","Espanyol","3","2","H","2","0","H","1","2","A"
"13888","10-05-25 21:00","Spain","LaLiga","2024/2025","Atl. Madrid","Real Sociedad","4","0","H","4","0","H","0","0","D"
"13889","10-05-25 18:30","Spain","LaLiga","2024/2025","Girona","Villarreal","0","1","A","0","0","D","0","1","A"
"13890","10-05-25 18:30","Spain","LaLiga","2024/2025","Mallorca","Valladolid","2","1","H","1","1","D","1","0","H"
"13891","10-05-25 16:15","Spain","LaLiga","2024/2025","Celta Vigo","Sevilla","3","2","H","1","1","D","2","1","H"
"13892","10-05-25 14:00","Spain","LaLiga","2024/2025","Valencia","Getafe","3","0","H","3","0","H","0","0","D"
"13893","09-05-25 21:00","Spain","LaLiga","2024/2025","Las Palmas","Rayo Vallecano","0","1","A","0","0","D","0","1","A"
"13894","05-05-25 21:00","Spain","LaLiga","2024/2025","Girona","Mallorca","1","0","H","1","0","H","0","0","D"
"13895","04-05-25 21:00","Spain","LaLiga","2024/2025","Real Sociedad","Ath Bilbao","0","0","D","0","0","D","0","0","D"
"13896","04-05-25 18:30","Spain","LaLiga","2024/2025","Espanyol","Betis","1","2","A","1","0","H","0","2","A"
"13897","04-05-25 16:15","Spain","LaLiga","2024/2025","Sevilla","Leganes","2","2","D","1","1","D","1","1","D"
"13898","04-05-25 14:00","Spain","LaLiga","2024/2025","Real Madrid","Celta Vigo","3","2","H","2","0","H","1","2","A"
"13899","03-05-25 21:00","Spain","LaLiga","2024/2025","Valladolid","Barcelona","1","2","A","1","0","H","0","2","A"
"13900","03-05-25 18:30","Spain","LaLiga","2024/2025","Las Palmas","Valencia","2","3","A","1","1","D","1","2","A"
"13901","03-05-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Osasuna","4","2","H","3","0","H","1","2","A"
"13902","03-05-25 14:00","Spain","LaLiga","2024/2025","Alaves","Atl. Madrid","0","0","D","0","0","D","0","0","D"
"13903","02-05-25 21:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Getafe","1","0","H","1","0","H","0","0","D"
"13904","27-04-25 16:15","Spain","LaLiga","2024/2025","Villarreal","Espanyol","1","0","H","0","0","D","1","0","H"
"13905","24-04-25 21:30","Spain","LaLiga","2024/2025","Atl. Madrid","Rayo Vallecano","3","0","H","2","0","H","1","0","H"
"13906","24-04-25 21:30","Spain","LaLiga","2024/2025","Betis","Valladolid","5","1","H","1","1","D","4","0","H"
"13907","24-04-25 19:00","Spain","LaLiga","2024/2025","Leganes","Girona","1","1","D","0","0","D","1","1","D"
"13908","24-04-25 19:00","Spain","LaLiga","2024/2025","Osasuna","Sevilla","1","0","H","1","0","H","0","0","D"
"13909","23-04-25 21:30","Spain","LaLiga","2024/2025","Alaves","Real Sociedad","1","0","H","0","0","D","1","0","H"
"13910","23-04-25 21:30","Spain","LaLiga","2024/2025","Getafe","Real Madrid","0","1","A","0","1","A","0","0","D"
"13911","23-04-25 19:00","Spain","LaLiga","2024/2025","Ath Bilbao","Las Palmas","1","0","H","1","0","H","0","0","D"
