"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"86842","26-01-26 18:00","Turkey","Super Lig","2025/2026","Eyupspor","Besiktas","2","2","D","0","1","A","2","1","H"
"85215","25-01-26 18:00","Turkey","Super Lig","2025/2026","Fenerbahce","Goztepe","1","1","D","1","1","D","0","0","D"
"85198","25-01-26 15:00","Turkey","Super Lig","2025/2026","Antalyaspor","Genclerbirligi","2","1","H","1","1","D","1","0","H"
"85199","25-01-26 15:00","Turkey","Super Lig","2025/2026","Rizespor","Alanyaspor","1","1","D","0","0","D","1","1","D"
"85183","25-01-26 12:30","Turkey","Super Lig","2025/2026","Gaziantep","Konyaspor","1","1","D","1","0","H","0","1","A"
"84307","24-01-26 18:00","Turkey","Super Lig","2025/2026","Karagumruk","Galatasaray","1","3","A","1","1","D","0","2","A"
"84263","24-01-26 15:00","Turkey","Super Lig","2025/2026","Samsunspor","Kocaelispor","0","0","D","0","0","D","0","0","D"
"84241","24-01-26 12:30","Turkey","Super Lig","2025/2026","Kayserispor","Basaksehir","0","3","A","0","1","A","0","2","A"
"83914","23-01-26 18:00","Turkey","Super Lig","2025/2026","Trabzonspor","Kasimpasa","2","1","H","0","0","D","2","1","H"
"80998","19-01-26 18:00","Turkey","Super Lig","2025/2026","Besiktas","Kayserispor","1","0","H","0","0","D","1","0","H"
"80999","19-01-26 18:00","Turkey","Super Lig","2025/2026","Goztepe","Rizespor","3","1","H","1","0","H","2","1","H"
"80997","19-01-26 15:00","Turkey","Super Lig","2025/2026","Konyaspor","Eyupspor","1","1","D","0","0","D","1","1","D"
"79699","18-01-26 18:00","Turkey","Super Lig","2025/2026","Alanyaspor","Fenerbahce","2","3","A","2","1","H","0","2","A"
"79686","18-01-26 15:00","Turkey","Super Lig","2025/2026","Genclerbirligi","Samsunspor","1","1","D","0","1","A","1","0","H"
