"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"60806","01-06-25 18:00","Turkey","Super Lig","2024/2025","Bodrumspor","Besiktas","0","4","A","0","3","A","0","1","A"
"60807","01-06-25 18:00","Turkey","Super Lig","2024/2025","Samsunspor","Kayserispor","2","1","H","0","0","D","2","1","H"
"60808","31-05-25 18:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Gaziantep","2","2","D","2","1","H","0","1","A"
"60809","31-05-25 18:00","Turkey","Super Lig","2024/2025","Alanyaspor","Sivasspor","2","0","H","1","0","H","1","0","H"
"60810","31-05-25 15:00","Turkey","Super Lig","2024/2025","Fenerbahce","Konyaspor","2","1","H","0","1","A","2","0","H"
"60811","31-05-25 15:00","Turkey","Super Lig","2024/2025","Rizespor","Hatayspor","5","2","H","1","0","H","4","2","H"
"60812","30-05-25 19:00","Turkey","Super Lig","2024/2025","Antalyaspor","Trabzonspor","0","2","A","0","0","D","0","2","A"
"60813","30-05-25 19:00","Turkey","Super Lig","2024/2025","Galatasaray","Basaksehir","2","0","H","1","0","H","1","0","H"
"60814","30-05-25 19:00","Turkey","Super Lig","2024/2025","Kasimpasa","Goztepe","1","2","A","0","1","A","1","1","D"
"60815","26-05-25 19:00","Turkey","Super Lig","2024/2025","Hatayspor","Fenerbahce","4","2","H","1","1","D","3","1","H"
"60816","25-05-25 18:00","Turkey","Super Lig","2024/2025","Basaksehir","Adana Demirspor","2","3","A","2","1","H","0","2","A"
"60817","25-05-25 18:00","Turkey","Super Lig","2024/2025","Besiktas","Rizespor","1","2","A","0","0","D","1","2","A"
"60818","25-05-25 18:00","Turkey","Super Lig","2024/2025","Kayserispor","Bodrumspor","1","1","D","0","1","A","1","0","H"
"60819","25-05-25 18:00","Turkey","Super Lig","2024/2025","Konyaspor","Alanyaspor","1","2","A","0","2","A","1","0","H"
"60820","25-05-25 18:00","Turkey","Super Lig","2024/2025","Trabzonspor","Samsunspor","2","2","D","0","1","A","2","1","H"
"60821","24-05-25 18:00","Turkey","Super Lig","2024/2025","Gaziantep","Kasimpasa","2","2","D","2","0","H","0","2","A"
"60822","24-05-25 18:00","Turkey","Super Lig","2024/2025","Goztepe","Galatasaray","0","2","A","0","0","D","0","2","A"
"60823","24-05-25 15:00","Turkey","Super Lig","2024/2025","Eyupspor","Antalyaspor","2","1","H","2","0","H","0","1","A"
"60824","18-05-25 18:00","Turkey","Super Lig","2024/2025","Alanyaspor","Besiktas","1","1","D","1","0","H","0","1","A"
"60825","18-05-25 18:00","Turkey","Super Lig","2024/2025","Antalyaspor","Gaziantep","0","0","D","0","0","D","0","0","D"
"60826","18-05-25 18:00","Turkey","Super Lig","2024/2025","Bodrumspor","Trabzonspor","1","1","D","1","0","H","0","1","A"
"60827","18-05-25 18:00","Turkey","Super Lig","2024/2025","Fenerbahce","Eyupspor","2","1","H","1","0","H","1","1","D"
"60828","18-05-25 18:00","Turkey","Super Lig","2024/2025","Galatasaray","Kayserispor","3","0","H","2","0","H","1","0","H"
"60829","18-05-25 18:00","Turkey","Super Lig","2024/2025","Kasimpasa","Basaksehir","2","3","A","1","1","D","1","2","A"
"60830","18-05-25 18:00","Turkey","Super Lig","2024/2025","Rizespor","Goztepe","6","3","H","2","2","D","4","1","H"
"60831","18-05-25 18:00","Turkey","Super Lig","2024/2025","Samsunspor","Sivasspor","1","0","H","1","0","H","0","0","D"
"60832","17-05-25 18:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Hatayspor","0","5","A","0","3","A","0","2","A"
"60833","12-05-25 19:00","Turkey","Super Lig","2024/2025","Kayserispor","Antalyaspor","3","1","H","2","1","H","1","0","H"
"60834","11-05-25 18:00","Turkey","Super Lig","2024/2025","Besiktas","Adana Demirspor","4","1","H","2","1","H","2","0","H"
"60835","11-05-25 18:00","Turkey","Super Lig","2024/2025","Goztepe","Hatayspor","1","1","D","1","1","D","0","0","D"
"60836","11-05-25 15:00","Turkey","Super Lig","2024/2025","Sivasspor","Bodrumspor","0","0","D","0","0","D","0","0","D"
"60837","10-05-25 18:00","Turkey","Super Lig","2024/2025","Trabzonspor","Galatasaray","0","2","A","0","0","D","0","2","A"
"60838","10-05-25 15:00","Turkey","Super Lig","2024/2025","Eyupspor","Kasimpasa","0","3","A","0","1","A","0","2","A"
"60839","10-05-25 15:00","Turkey","Super Lig","2024/2025","Konyaspor","Rizespor","2","1","H","0","0","D","2","1","H"
"60840","09-05-25 19:00","Turkey","Super Lig","2024/2025","Basaksehir","Fenerbahce","1","4","A","0","1","A","1","3","A"
"60841","09-05-25 19:00","Turkey","Super Lig","2024/2025","Gaziantep","Alanyaspor","0","1","A","0","0","D","0","1","A"
"60842","05-05-25 19:00","Turkey","Super Lig","2024/2025","Kasimpasa","Trabzonspor","1","1","D","1","0","H","0","1","A"
"60843","04-05-25 18:00","Turkey","Super Lig","2024/2025","Adana Demirspor","Goztepe","1","2","A","1","2","A","0","0","D"
