"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"18851","07-12-24 22:00","USA","MLS","2024","Los Angeles Galaxy","New York Red Bulls","2","1","H","2","1","H","0","0","D"
"18852","01-12-24 04:00","USA","MLS","2024","Los Angeles Galaxy","Seattle Sounders","1","0","H","0","0","D","1","0","H"
"18853","01-12-24 01:30","USA","MLS","2024","Orlando City","New York Red Bulls","0","1","A","0","0","D","0","1","A"
"18854","25-11-24 00:00","USA","MLS","2024","Los Angeles Galaxy","Minnesota United","6","2","H","3","2","H","3","0","H"
"18855","24-11-24 21:30","USA","MLS","2024","Orlando City","Atlanta Utd","1","0","H","1","0","H","0","0","D"
"20856","24-11-24 04:30","USA","MLS","2024","Los Angeles FC","Seattle Sounders","1","1","D","0","0","D","1","1","D"
"18857","23-11-24 23:30","USA","MLS","2024","New York City","New York Red Bulls","0","2","A","0","2","A","0","0","D"
"18858","10-11-24 02:00","USA","MLS","2024","Inter Miami","Atlanta Utd","2","3","A","1","2","A","1","1","D"
"20857","10-11-24 00:00","USA","MLS","2024","Orlando City","Charlotte","1","1","D","0","0","D","1","1","D"
"20858","09-11-24 22:00","USA","MLS","2024","FC Cincinnati","New York City","0","0","D","0","0","D","0","0","D"
"18861","09-11-24 04:30","USA","MLS","2024","Los Angeles FC","Vancouver Whitecaps","1","0","H","0","0","D","1","0","H"
"18862","04-11-24 02:45","USA","MLS","2024","Vancouver Whitecaps","Los Angeles FC","3","0","H","2","0","H","1","0","H"
"20859","04-11-24 00:30","USA","MLS","2024","Houston Dynamo","Seattle Sounders","1","1","D","0","0","D","1","1","D"
"20860","03-11-24 22:30","USA","MLS","2024","New York Red Bulls","Columbus Crew","2","2","D","0","0","D","2","2","D"
"20861","03-11-24 02:00","USA","MLS","2024","Minnesota United","Real Salt Lake","1","1","D","0","0","D","1","1","D"
"18866","03-11-24 00:00","USA","MLS","2024","Atlanta Utd","Inter Miami","2","1","H","0","1","A","2","0","H"
"18867","02-11-24 22:00","USA","MLS","2024","New York City","FC Cincinnati","3","1","H","2","0","H","1","1","D"
"18868","02-11-24 02:30","USA","MLS","2024","Colorado Rapids","Los Angeles Galaxy","1","4","A","1","2","A","0","2","A"
"20862","02-11-24 00:30","USA","MLS","2024","Charlotte","Orlando City","0","0","D","0","0","D","0","0","D"
"20863","30-10-24 01:50","USA","MLS","2024","Real Salt Lake","Minnesota United","0","0","D","0","0","D","0","0","D"
"18871","29-10-24 23:45","USA","MLS","2024","Columbus Crew","New York Red Bulls","0","1","A","0","1","A","0","0","D"
"20864","29-10-24 01:50","USA","MLS","2024","Seattle Sounders","Houston Dynamo","0","0","D","0","0","D","0","0","D"
"18873","28-10-24 23:45","USA","MLS","2024","FC Cincinnati","New York City","1","0","H","0","0","D","1","0","H"
"18874","28-10-24 02:45","USA","MLS","2024","Los Angeles FC","Vancouver Whitecaps","2","1","H","1","0","H","1","1","D"
"18875","28-10-24 00:30","USA","MLS","2024","Orlando City","Charlotte","2","0","H","1","0","H","1","0","H"
"18876","27-10-24 04:00","USA","MLS","2024","Los Angeles Galaxy","Colorado Rapids","5","0","H","1","0","H","4","0","H"
"18877","26-10-24 02:30","USA","MLS","2024","Inter Miami","Atlanta Utd","2","1","H","1","1","D","1","0","H"
"18878","24-10-24 04:30","USA","MLS","2024","Vancouver Whitecaps","Portland Timbers","5","0","H","3","0","H","2","0","H"
"20865","23-10-24 01:30","USA","MLS","2024","CF Montreal","Atlanta Utd","2","2","D","0","2","A","2","0","H"
"18880","20-10-24 03:00","USA","MLS","2024","Austin FC","Colorado Rapids","3","2","H","1","1","D","2","1","H"
"18881","20-10-24 03:00","USA","MLS","2024","FC Dallas","Sporting Kansas City","2","1","H","2","0","H","0","1","A"
"18882","20-10-24 03:00","USA","MLS","2024","Houston Dynamo","Los Angeles Galaxy","2","1","H","1","0","H","1","1","D"
"18883","20-10-24 03:00","USA","MLS","2024","Los Angeles FC","San Jose Earthquakes","3","1","H","0","1","A","3","0","H"
"18884","20-10-24 03:00","USA","MLS","2024","Minnesota United","St. Louis City","4","1","H","1","0","H","3","1","H"
"18885","20-10-24 03:00","USA","MLS","2024","Real Salt Lake","Vancouver Whitecaps","2","1","H","0","0","D","2","1","H"
"18886","20-10-24 03:00","USA","MLS","2024","Seattle Sounders","Portland Timbers","1","1","D","1","0","H","0","1","A"
"18887","20-10-24 00:00","USA","MLS","2024","CF Montreal","New York City","2","0","H","2","0","H","0","0","D"
"18888","20-10-24 00:00","USA","MLS","2024","Chicago Fire","Nashville SC","0","3","A","0","0","D","0","3","A"
"18889","20-10-24 00:00","USA","MLS","2024","DC United","Charlotte","0","3","A","0","0","D","0","3","A"
"18890","20-10-24 00:00","USA","MLS","2024","Inter Miami","New England Revolution","6","2","H","2","2","D","4","0","H"
"18891","20-10-24 00:00","USA","MLS","2024","New York Red Bulls","Columbus Crew","2","3","A","0","2","A","2","1","H"
"18892","20-10-24 00:00","USA","MLS","2024","Orlando City","Atlanta Utd","1","2","A","1","2","A","0","0","D"
"18893","20-10-24 00:00","USA","MLS","2024","Philadelphia Union","FC Cincinnati","1","2","A","1","1","D","0","1","A"
"18894","14-10-24 01:30","USA","MLS","2024","Vancouver Whitecaps","Los Angeles FC","1","2","A","0","1","A","1","1","D"
